,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,pre_footprint_first_7D,pre_footprint_business_7D,pre_footprint_premium_economy_7D,pre_footprint_economy_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first_7D,actual_footprint_business_7D,actual_footprint_premium_economy_7D,actual_footprint_economy_7D
3,520880696,2019-01-01,BKK,CPH,TG950,8639.395948887284,9016.24609745479,34.6495003700258,38.084904274974384,1.043619964960171,1.043619964960171,1.0991472854806428,-0.5578535377763106,,,,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,,,,,7444.5555612433545,6092.522889174768,2983.532016316808,2304.9078167324087,,,,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,,,,,7444.5555612433545,6092.522889174768,2983.532016316808,2304.9078167324087
10,521046686,2019-01-02,BKK,CPH,TG950,8639.395948887284,9020.45214393697,34.6495003700258,37.931615357344114,1.044106809932558,1.044106809932558,1.094723299102967,-0.5502296856967159,1.043619964960171,1.043619964960171,1.0991472854806428,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7444.5555612433545,6092.522889174768,2983.532016316808,2304.9078167324087,7450.313867569774,6097.234230714567,2985.8320670824182,2306.6827492222287,1.043619964960171,1.043619964960171,1.0991472854806428,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7444.5555612433545,6092.522889174768,2983.532016316808,2304.9078167324087,7450.313867569774,6097.234230714567,2985.8320670824182,2306.6827492222287
20,521223528,2019-01-03,BKK,CPH,TG950,8639.395948887284,9007.12445778814,34.6495003700258,37.757513791267705,1.0425641458125574,1.0425641458125574,1.089698650429331,-0.574387361602688,1.0438633874463645,1.0438633874463645,1.0969352922918048,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7447.408156882617,6094.856831061437,2984.671433779536,2305.7870969223513,7442.200945282336,6090.5963852066625,2982.5915077823784,2304.182033119424,1.0438633874463645,1.0438633874463645,1.0969352922918048,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7447.408156882617,6094.856831061437,2984.671433779536,2305.7870969223513,7442.200945282336,6090.5963852066625,2982.5915077823784,2304.182033119424
24,521296120,2019-01-04,BKK,CPH,DY7210,8639.395948887284,9050.30863889722,34.6495003700258,36.40420401908971,1.0475626643854494,1.0475626643854494,1.050641528169966,-0.4961120000846907,,,,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,,,,,7508.892822408931,6145.162466492059,3009.230365521013,2324.7390463814572,,,,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,,,,,7508.892822408931,6145.162466492059,3009.230365521013,2324.7390463814572
25,521311893,2019-01-04,BKK,CPH,TG952,8639.395948887284,9062.562982669288,34.6495003700258,38.18872428971141,1.048981090377795,1.048981090377795,1.102143577306739,-0.47389985748317975,1.0434303069017623,1.0434303069017623,1.094523078337647,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7445.611593841678,6093.386915846124,2983.9538293376154,2305.2333267804715,7481.228419839683,6122.527955299039,2998.1803229038646,2316.211808657698,1.0434303069017623,1.0434303069017623,1.094523078337647,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7445.611593841678,6093.386915846124,2983.9538293376154,2305.2333267804715,7481.228419839683,6122.527955299039,2998.1803229038646,2316.211808657698
32,521401221,2019-01-04,BKK,CPH,TG950,8639.395948887284,9069.075195817328,34.6495003700258,37.77363582488794,1.0497348714507504,1.0497348714507504,1.090163939494052,-0.46209586293347354,1.0448180027707703,1.0448180027707703,1.09642820307992,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7454.460947020562,6100.627295719757,2987.488542567591,2307.961039337031,7492.939312419247,6132.109594682317,3002.8580260194512,2319.8215582170233,1.0448180027707703,1.0448180027707703,1.09642820307992,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7454.460947020562,6100.627295719757,2987.488542567591,2307.961039337031,7492.939312419247,6132.109594682317,3002.8580260194512,2319.8215582170233
40,521578595,2019-01-05,BKK,CPH,TG950,8639.395948887284,9092.217271936166,34.6495003700258,38.22032631654455,1.0524135397576266,1.0524135397576266,1.103055625864313,-0.42014868857572696,1.0458013765067664,1.0458013765067664,1.0951753503627464,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7462.120472381532,6106.894180106005,2990.5480007089327,2310.3220009894894,7505.205972563987,6142.14595298256,3007.757720384084,2323.6026168127746,1.0458013765067664,1.0458013765067664,1.0951753503627464,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7462.120472381532,6106.894180106005,2990.5480007089327,2310.3220009894894,7505.205972563987,6142.14595298256,3007.757720384084,2323.6026168127746
42,521661300,2019-01-06,BKK,CPH,TG952,8639.395948887284,9105.271332031438,34.6495003700258,38.39394607501387,1.0539245319812152,1.0539245319812152,1.1080663693560002,-0.39648698544758276,1.0469034037152432,1.0469034037152432,1.0964887296130075,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7469.258178640588,6112.734121590688,2993.399027697635,2312.522117833545,7513.794240385814,6149.172717564054,3011.1881478151886,2326.2498527749,1.0469034037152432,1.0469034037152432,1.0964887296130075,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7469.258178640588,6112.734121590688,2993.399027697635,2312.522117833545,7513.794240385814,6149.172717564054,3011.1881478151886,2326.2498527749
47,521744117,2019-01-06,BKK,CPH,TG950,8639.395948887284,9042.189224022708,34.6495003700258,38.08793198555493,1.046622851588056,1.046622851588056,1.0992346665553543,-0.510829197870883,1.0479064220389533,1.0479064220389533,1.0981426781477206,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7475.535356785587,6117.869994618415,2995.9063323771434,2314.456986665171,7465.861414908478,6109.954951264415,2992.0422521841842,2311.4751040127094,1.0479064220389533,1.0479064220389533,1.0981426781477206,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7475.535356785587,6117.869994618415,2995.9063323771434,2314.456986665171,7465.861414908478,6109.954951264415,2992.0422521841842,2311.4751040127094
52,521918156,2019-01-07,BKK,CPH,TG950,8639.395948887284,9043.50252196241,34.6495003700258,37.672635978072776,1.0467748642921235,1.0467748642921235,1.0872490389691791,-0.5084487226975479,1.047745975732591,1.047745975732591,1.0982791766986748,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7474.32533403246,6116.879976002219,2995.4230107888206,2314.084010901778,7473.654031654547,6116.330728602107,2995.154871259461,2313.8770895722223,1.047745975732591,1.047745975732591,1.0982791766986748,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7474.32533403246,6116.879976002219,2995.4230107888206,2314.084010901778,7473.654031654547,6116.330728602107,2995.154871259461,2313.8770895722223
