,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,pre_footprint_first_7D,pre_footprint_business_7D,pre_footprint_premium_economy_7D,pre_footprint_economy_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first_7D,actual_footprint_business_7D,actual_footprint_premium_economy_7D,actual_footprint_economy_7D
1,520844677,2019-01-01,CPH,BKK,TG951,8639.395948887284,9015.429265668408,34.6495003700258,35.99591745485127,1.0435254176340367,1.0435254176340367,1.0388581962350667,-0.31886230477942484,,,,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,,,,,7492.294799284606,6131.582265753976,3002.60058696624,2319.622894367283,,,,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,,,,,7492.294799284606,6131.582265753976,3002.60058696624,2319.622894367283
11,520997627,2019-01-02,CPH,BKK,TG951,8639.395948887284,9020.313491819994,34.6495003700258,35.88662852148972,1.0440907611118078,1.0440907611118078,1.0357040689837511,-0.313380865406843,1.0435254176340367,1.0435254176340367,1.0388581962350667,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7492.294799284606,6131.582265753976,3002.60058696624,2319.622894367283,7499.834967990285,6137.751494694984,3005.6123702617474,2321.9470656870735,1.0435254176340367,1.0435254176340367,1.0388581962350667,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7492.294799284606,6131.582265753976,3002.60058696624,2319.622894367283,7499.834967990285,6137.751494694984,3005.6123702617474,2321.9470656870735
19,521194776,2019-01-03,CPH,BKK,DY7209,8639.395948887284,9051.556851657186,34.6495003700258,36.08721260814896,1.0477071435559089,1.0477071435559089,1.0414930149863542,-0.2783172591306008,,,,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,,,,,7519.3589111985675,6153.725630047216,3013.41085439551,2327.9650993180358,,,,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,,,,,7519.3589111985675,6153.725630047216,3013.41085439551,2327.9650993180358
17,521173255,2019-01-03,CPH,BKK,TG951,8639.395948887284,9040.019537586397,34.6495003700258,36.26894026955978,1.046371712914803,1.046371712914803,1.0467377561650184,-0.29126528521267187,1.0438080893729222,1.0438080893729222,1.037281132609409,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7496.05321502649,6134.657333179153,3004.101817799504,2320.781383310449,7504.309795073556,6141.412716854025,3007.3997585796674,2323.3263802851843,1.0438080893729222,1.0438080893729222,1.037281132609409,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7496.05321502649,6134.657333179153,3004.101817799504,2320.781383310449,7504.309795073556,6141.412716854025,3007.3997585796674,2323.3263802851843
24,521353735,2019-01-04,CPH,BKK,TG951,8639.395948887284,9041.677347492609,34.6495003700258,35.96954905801034,1.0465636024769922,1.0465636024769922,1.0380971925680773,-0.28940476847775065,1.0446626305535491,1.0446626305535491,1.0404333404612787,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7498.72018463293,6136.839399220785,3005.1670903184395,2321.603446385161,7514.8728275637095,6150.055197982333,3011.618969852723,2326.582315015814,1.0446626305535491,1.0446626305535491,1.0404333404612787,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7498.72018463293,6136.839399220785,3005.1670903184395,2321.603446385161,7514.8728275637095,6150.055197982333,3011.618969852723,2326.582315015814
33,521529752,2019-01-05,CPH,BKK,TG951,8639.395948887284,9082.67981345101,34.6495003700258,35.83528233738558,1.051309590066979,1.051309590066979,1.034222195261019,-0.24338877243212056,1.04513787353441,1.04513787353441,1.0398493034879783,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7502.752832179784,6140.138838122757,3006.777858060166,2322.8464641659393,7553.200962657306,6181.41458124073,3026.9284465406763,2338.396527111425,1.04513787353441,1.04513787353441,1.0398493034879783,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7502.752832179784,6140.138838122757,3006.777858060166,2322.8464641659393,7553.200962657306,6181.41458124073,3026.9284465406763,2338.396527111425
39,521694914,2019-01-06,CPH,BKK,TG951,8639.395948887284,9080.636463461064,34.6495003700258,36.329170192867856,1.051073074689974,1.051073074689974,1.0484760185545154,-0.24568197072786707,1.0463722168409237,1.0463722168409237,1.0387238818425866,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7512.813665848236,6148.370429306037,3010.796475144781,2325.947601816584,7536.141571635635,6167.456897677545,3020.1143829678163,2333.1381636857113,1.0463722168409237,1.0463722168409237,1.0387238818425866,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7512.813665848236,6148.370429306037,3010.796475144781,2325.947601816584,7536.141571635635,6167.456897677545,3020.1143829678163,2333.1381636857113
40,521719473,2019-01-06,CPH,BKK,DY7209,8639.395948887284,9115.236210712896,34.6495003700258,36.93676449995688,1.0550779550608396,1.0550779550608396,1.066011460641716,-0.2068515785671763,1.0477071435559089,1.0477071435559089,1.0414930149863542,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7519.3589111985675,6153.725630047216,3013.41085439551,2327.9650993180358,7548.421637387435,6177.504224201744,3025.01943195845,2336.923354407502,1.0477071435559089,1.0477071435559089,1.0414930149863542,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7519.3589111985675,6153.725630047216,3013.41085439551,2327.9650993180358,7548.421637387435,6177.504224201744,3025.01943195845,2336.923354407502
46,521867231,2019-01-07,CPH,BKK,TG951,8639.395948887284,9023.67248524681,34.6495003700258,36.616229856890406,1.0444795606814408,1.0444795606814408,1.0567606882021874,-0.30961115486303076,1.0471556931490988,1.0471556931490988,1.0403492379612413,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7516.647418252937,6151.507135818973,3012.32779783825,2327.1293124299646,7481.013163998881,6122.351836883837,2998.0943428719993,2316.1454584908597,1.0471556931490988,1.0471556931490988,1.0403492379612413,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7516.647418252937,6151.507135818973,3012.32779783825,2327.1293124299646,7481.013163998881,6122.351836883837,2998.0943428719993,2316.1454584908597
50,522044785,2019-01-08,CPH,BKK,TG951,8639.395948887284,8957.907510321082,34.6495003700258,36.82794394202813,1.0368673415732057,1.0368673415732057,1.0628708509138225,-0.38341746761489154,1.0467733885108619,1.0467733885108619,1.042693730852805,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7511.398360187853,6147.21245194754,3010.231157031571,2325.5113499297895,7421.2252231968005,6073.4344307730435,2974.2131369720773,2297.7165051470365,1.0467733885108619,1.0467733885108619,1.042693730852805,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,7511.398360187853,6147.21245194754,3010.231157031571,2325.5113499297895,7421.2252231968005,6073.4344307730435,2974.2131369720773,2297.7165051470365
