,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
9,520869201,2019-01-01,FRA,ICN,OZ542,8546.290590793822,8953.660747558111,43.749671,52.51526674705899,1.0476663123534689,1.0476663123534689,1.2003579809105076,,,,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,,,,,8491.211030767308,6948.848216100857,3401.5032335721867,2627.416571841045
16,520884068,2019-01-01,FRA,ICN,OZ796,8546.290590793822,9065.08793582602,43.749671,52.19545018367965,1.060704388590654,1.060704388590654,1.193047833060954,1.0476663123534689,1.0476663123534689,1.2003579809105076,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8491.211030767308,6948.848216100857,3401.5032335721867,2627.416571841045,8533.452924383233,6983.409765422977,3418.375989942638,2640.4371555266353
15,520882051,2019-01-01,FRA,ICN,KE906,8546.290590793822,9012.18005738492,43.749671,52.49180415285682,1.0545136467853036,1.0545136467853036,1.1998216890101143,,,,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,,,,,8541.868814528987,6990.295493724048,3421.737564245175,2643.0312580289483
10,520870041,2019-01-01,FRA,ICN,LH712,8546.290590793822,8970.01450945502,43.749671,51.43839556456847,1.0495798632353597,1.0495798632353597,1.1757435973534172,,,,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,,,,,8304.82127287613,6796.347505098984,3327.0532336872448,2569.96404703652
40,521047606,2019-01-02,FRA,ICN,KE906,8546.290590793822,9007.500161604356,43.749671,52.28270001234297,1.053966052980618,1.053966052980618,1.1950421298560845,1.0545136467853036,1.0545136467853036,1.1998216890101143,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8541.868814528987,6990.295493724048,3421.737564245175,2643.0312580289483,8496.296419578406,6953.008988764483,3403.5344996711647,2628.9840851535564
39,521031293,2019-01-02,FRA,ICN,OZ542,8546.290590793822,8947.912730458585,43.749671,53.27419823265575,1.0469937378559766,1.0469937378559766,1.217705116746038,1.0541853504720615,1.0541853504720615,1.1967029069857307,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8512.255578559678,6966.066482476433,3409.909095559707,2633.9033145554545,8642.351728548818,7072.508787013001,3461.8736372883236,2674.003974424266
38,521031168,2019-01-02,FRA,ICN,LH712,8546.290590793822,9003.659051251469,43.749671,51.466775453286814,1.0535166053153318,1.0535166053153318,1.1763922854022564,1.0495798632353597,1.0495798632353597,1.1757435973534172,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8304.82127287613,6796.347505098984,3327.0532336872448,2569.96404703652,8340.911302592762,6825.875711230774,3341.468739875195,2581.088388582698
70,521232217,2019-01-03,FRA,ICN,OZ794,8546.290590793822,8988.71143959796,43.749671,51.68934948395548,1.0517675878328687,1.0517675878328687,1.181479730075124,1.0524344963505832,1.0524344963505832,1.197931345325295,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8508.714025312722,6963.168848001649,3408.4944865070875,2632.8116710120034,8367.079805176727,6847.2863042540175,3351.9212724414037,2589.154532134857
64,521225915,2019-01-03,FRA,ICN,KE906,8546.290590793822,8979.235827575887,43.749671,52.34507236219407,1.0506588480911754,1.0506588480911754,1.1964677942879631,1.0541837360696353,1.0541837360696353,1.1975831317637138,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8519.81205898017,6972.249057365925,3412.9273942731197,2636.2325137759753,8481.852929492044,6941.191587784732,3397.7653101650785,2624.532043465005
63,521212059,2019-01-03,FRA,ICN,LH712,8546.290590793822,8978.963086893635,43.749671,51.56231019047885,1.0506269347506032,1.0506269347506032,1.178575952959254,1.0515482342753457,1.0515482342753457,1.1760679413778368,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8322.859550802197,6811.106096129402,3334.258295836122,2575.524141226799,8335.117360877235,6821.135213463524,3339.154455201322,2579.3024718891334
61,521209809,2019-01-03,FRA,ICN,OZ542,8546.290590793822,9010.98272050858,43.749671,51.651493790881794,1.0543735466022337,1.0543735466022337,1.1806144505836809,1.0517881462666998,1.0517881462666998,1.2037036435725,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8553.890771711815,7000.131640509999,3426.5395164608162,2646.736889717406,8380.862449712904,6858.563013419981,3357.4264992078424,2593.4028756921734
62,521209885,2019-01-03,FRA,ICN,KE536,8546.290590793822,9008.401414630129,43.749671,52.407099864236585,1.0540715084429844,1.0540715084429844,1.1978855764249423,1.0542398498829608,1.0542398498829608,1.1974319094330994,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8518.961513054343,6971.553156153885,3412.5876591675187,2635.9703426596334,8521.515516625355,6973.642795439259,3413.607809457532,2636.757585237631
92,521388964,2019-01-04,FRA,ICN,LH712,8546.290590793822,9023.752353597443,43.749671,50.41337990169733,1.0558677191854384,1.0558677191854384,1.1523144917294883,1.0512411344337649,1.0512411344337649,1.1769039452383092,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8326.922198386907,6814.430080516891,3335.881046547514,2576.7764061783355,8183.009816966048,6696.683586627098,3278.3978623777057,2532.417049973327
97,521405645,2019-01-04,FRA,ICN,KE906,8546.290590793822,8914.779276098456,43.749671,52.21858566411361,1.0431167980294953,1.0431167980294953,1.19357664801899,1.0533025140750203,1.0533025140750203,1.197304297394776,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8510.31154618113,6964.475910530349,3409.132587172139,2633.304088666044,8396.788043569844,6871.593044757477,3363.787688117745,2598.3117590259176
98,521426861,2019-01-04,FRA,ICN,OZ796,8546.290590793822,9031.253352048268,43.749671,51.465389323231776,1.05674540973096,1.05674540973096,1.176360602191312,1.0525790615868162,1.0525790615868162,1.1917989312088484,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8457.787057386167,6921.501328789014,3388.1526351136968,2617.1140118641874,8366.151710363129,6846.526953951983,3351.5505618425627,2588.868457455098
93,521389340,2019-01-04,FRA,ICN,OZ542,8546.290590793822,9007.52360668673,43.749671,51.519108393000806,1.0539687962856954,1.0539687962856954,1.1775884758767856,1.0523011146470405,1.0523011146470405,1.194641022275261,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8479.508045105504,6939.273046013928,3396.828688731137,2623.8092594992677,8353.8088664402,6836.428263469587,3346.620437252893,2585.063916075445
115,521566747,2019-01-05,FRA,ICN,KE530,8546.290590793822,9069.710472342014,43.749671,52.327096416404544,1.0612452707976052,1.0612452707976052,1.1960569124372282,1.0512653708659152,1.0512653708659152,1.1965587675196188,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8487.512896939867,6945.822470242041,3400.0260812536117,2626.2766641129842,8563.524623182497,7008.013882622374,3430.387583269844,2649.7064149576586
116,521567101,2019-01-05,FRA,ICN,OZ542,8546.290590793822,8972.116593422643,43.749671,51.70192767109626,1.049825827720804,1.049825827720804,1.1817672336575116,1.0531742541788367,1.0531742541788367,1.1895934556349146,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8444.17950191216,6910.367874310281,3382.7173444897044,2612.9196375206375,8353.963220210715,6836.554552918188,3346.6820910600927,2585.1114938711858
117,521567509,2019-01-05,FRA,ICN,LH712,8546.290590793822,9107.74118403333,43.749671,49.90676999109515,1.065695237866626,1.065695237866626,1.1407347495503488,1.0523977806216833,1.0523977806216833,1.170756581861104,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8288.940580670689,6783.35421147635,3320.7099799256393,2565.0690041266043,8181.053965658511,6695.083344648205,3277.616633133843,2531.814181033362
125,521582715,2019-01-05,FRA,ICN,KE906,8546.290590793822,8948.184241857383,43.749671,52.31405449624226,1.047025507358302,1.047025507358302,1.195758809163211,1.052928687521197,1.052928687521197,1.1964751250058872,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8500.186463574288,6956.191752033841,3405.0883070172467,2630.183147010242,8446.580680285,6912.332474797149,3383.676451532947,2613.6597734679467
137,521729521,2019-01-06,FRA,ICN,KE530,8546.290590793822,9052.968285245925,43.749671,50.75625503179565,1.0592862703496069,1.0592862703496069,1.1601516964960867,1.052085376069355,1.052085376069355,1.1963727941712192,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8492.523023420057,6949.921664634923,3402.027285182915,2627.8209786672473,8264.634165218185,6763.467144287939,3311.001224207964,2557.576827772637
