,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
7,520862415,2019-01-01,HEL,NRT,AY73,7831.487310198503,8062.0636789905,48.0415325,58.30565832827935,1.0294422195502673,1.0294422195502673,1.2136510909238656,,,,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,,,,,8977.439493240421,7346.447722845052,3594.9791766532153,2776.4395543142887
6,520861768,2019-01-01,HEL,NRT,JL414,7831.487310198503,8032.342517602309,48.0415325,58.00980868665928,1.025647134375388,1.025647134375388,1.2074928851751194,,,,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,,,,,8856.794726565924,7247.73836829319,3546.7898181463006,2739.2521759501324
21,521026528,2019-01-02,HEL,NRT,JL414,7831.487310198503,8035.766328119364,48.0415325,57.67347410282194,1.026084319597229,1.026084319597229,1.2004919722913072,1.025647134375388,1.025647134375388,1.2074928851751194,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8856.794726565924,7247.73836829319,3546.7898181463006,2739.2521759501324,8763.418146712853,7171.339348413405,3509.492241079988,2710.4699063079215
22,521027967,2019-01-02,HEL,NRT,AY73,7831.487310198503,8022.358783463281,48.0415325,57.690628527701456,1.024372314696369,1.024372314696369,1.2008490471801967,1.0294422195502673,1.0294422195502673,1.2136510909238656,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8977.439493240421,7346.447722845052,3594.9791766532153,2776.4395543142887,8753.71760209995,7163.402539184666,3505.6175349079026,2707.4798236644547
37,521202548,2019-01-03,HEL,NRT,AY73,7831.487310198503,8033.865800681474,48.0415325,57.479108571838346,1.0258416418831997,1.0258416418831997,1.1964461910501782,1.0269072671233181,1.0269072671233181,1.2072500690520311,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8864.230717780943,7253.822361105477,3549.759989637299,2741.5442357422617,8706.439504176555,7124.720459065524,3486.733158294183,2692.9068872306816
36,521199691,2019-01-03,HEL,NRT,JL414,7831.487310198503,7996.85574939462,48.0415325,58.15120930191557,1.0211158407906462,1.0211158407906462,1.2104361846058005,1.0258657269863085,1.0258657269863085,1.2039924287332133,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8809.78264270358,7209.273936042181,3528.011696012648,2724.7612353277905,8859.209349389388,7249.713968785114,3547.754295330899,2739.9964559965683
49,521380396,2019-01-04,HEL,NRT,JL414,7831.487310198503,8011.847782176281,48.0415325,57.94195945169135,1.0230301684512602,1.0230301684512602,1.2060805814571245,1.0242824315877543,1.0242824315877543,1.206140347357409,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8826.098720025013,7222.623453850625,3534.528856442742,2729.7904807521522,8814.50315034394,7213.136169566113,3529.8972169621784,2726.216278165799
50,521383947,2019-01-04,HEL,NRT,AY73,7831.487310198503,8034.302775782892,48.0415325,57.49137210408816,1.02589743908801,1.02589743908801,1.196701460430892,1.0265520587099453,1.0265520587099453,1.2036487763847468,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8810.893655386993,7210.182946419517,3528.4554698288057,2725.1036923623074,8710.350556173371,7127.920410699282,3488.2953569042743,2694.112424564927
66,521555084,2019-01-05,HEL,NRT,JL414,7831.487310198503,8052.981591885631,48.0415325,57.51408711495222,1.028282530880014,1.028282530880014,1.1971742807112205,1.0239693658036308,1.0239693658036308,1.2061254058823379,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8823.199617952676,7220.251461245985,3533.3708628308937,2728.896865482696,8736.940023624073,7149.675429522585,3498.9160362325947,2702.3083257535673
67,521556608,2019-01-05,HEL,NRT,AY73,7831.487310198503,8037.859504494193,48.0415325,57.47287112106017,1.026351596589698,1.026351596589698,1.1963163564996635,1.0263884038044615,1.0263884038044615,1.2019119473962832,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8785.501169390132,7189.407276058451,3518.312902978924,2717.276747104753,8709.00742505025,7126.82148523491,3487.7588675977086,2693.698419659079
82,521722571,2019-01-06,HEL,NRT,AY73,7831.487310198503,8091.976647824563,48.0415325,58.38070661252574,1.0332617965538728,1.0332617965538728,1.215213245175427,1.0263810423615087,1.0263810423615087,1.2007928292169592,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8770.066450514048,7176.77886970529,3512.147785155124,2712.5191704057324,9033.393800603098,7392.228519778151,3617.3291073781947,2793.686833714432
81,521719772,2019-01-06,HEL,NRT,JL414,7831.487310198503,8077.901857991892,48.0415325,57.54110253088131,1.0314645913391824,1.0314645913391824,1.19773661531054,1.0248319988189074,1.0248319988189074,1.2043351808481144,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8805.682215349041,7205.919040933921,3526.373854859101,2723.497325191519,8771.547370951414,7177.990531881318,3512.7393118980035,2712.9756473019092
97,521885124,2019-01-07,HEL,NRT,AY73,7831.487310198503,8112.078011807026,48.0415325,56.39937786692354,1.0358285330097037,1.0358285330097037,1.173971248043004,1.0275278347269028,1.0275278347269028,1.2031962318767038,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8812.97243838258,7211.883768870453,3529.285801900339,2725.7444535981635,8498.935672053287,6954.944596419215,3403.849525349491,2628.9461889767763
98,521894824,2019-01-07,HEL,NRT,JL414,7831.487310198503,8064.700694277884,48.0415325,57.52041413419082,1.0297789391519132,1.0297789391519132,1.197305979658139,1.02593743090562,1.02593743090562,1.2032354199251853,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8799.910113824937,7201.1964124142005,3524.068293852599,2721.718140488777,8751.405867001342,7161.511119558532,3504.69415435431,2706.7672575900265
110,522072254,2019-01-08,HEL,NRT,JL414,7831.487310198503,8070.215425707538,48.0415325,57.631573764862814,1.030483113367004,1.030483113367004,1.1996198032371848,1.0264862177979475,1.0264862177979475,1.202388357029893,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8792.901323028154,7195.461947216834,3521.2687598013845,2719.5577603710185,8788.919807183376,7192.204343343832,3519.678415688384,2718.330503356364
106,522071589,2019-01-08,HEL,NRT,AY73,7831.487310198503,8115.916528881718,48.0415325,56.69071379350808,1.0363186719734343,1.0363186719734343,1.1800354993568964,1.028713648767303,1.028713648767303,1.1990212341861752,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8765.694083242302,7173.201478301138,3510.401322546013,2711.1714378802094,8579.148295387471,7020.57310641991,3435.888999328997,2653.670818612455
121,522245530,2019-01-09,HEL,NRT,JL414,7831.487310198503,8036.161010401106,48.0415325,57.595626367883504,1.026134716446015,1.026134716446015,1.1988715465703244,1.0269858297440797,1.0269858297440797,1.2020422878058046,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8792.397039694075,7195.049351761678,3521.067332992374,2719.402320763781,8741.741743019393,7153.604109027847,3500.8339957410662,2703.7884011921815
122,522246363,2019-01-09,HEL,NRT,AY73,7831.487310198503,8067.722773785758,48.0415325,57.24578020355269,1.0301648274753148,1.0301648274753148,1.191589385778913,1.0296642766680693,1.0296642766680693,1.1966480173325154,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8741.523669944616,7153.425685603029,3500.7468904163115,2703.7211826449848,8678.000927318106,7101.452532544974,3475.373885833108,2684.1410190797105
137,522426073,2019-01-10,HEL,NRT,AY73,7831.487310198503,8083.290781963716,48.0415325,54.25153072580153,1.0321527012419855,1.0321527012419855,1.1292631167792475,1.0297546026587003,1.0297546026587003,1.1938903041893962,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8705.192998732193,7123.700590974682,3486.2352643581667,2692.5226660922913,7966.492818119754,6519.309534109959,3191.1749081249027,2464.8267297387415
136,522423861,2019-01-10,HEL,NRT,JL414,7831.487310198503,7955.961882029903,48.0415325,57.67142469677788,1.0158941165197706,1.0158941165197706,1.200449313243242,1.027046777502908,1.027046777502908,1.2009646204802051,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8778.096476718332,7183.34889114516,3515.355233121949,2714.9943347329054,8676.042562336737,7099.850233923855,3474.591652547936,2683.5373753283516
152,522603524,2019-01-11,HEL,NRT,AY73,7831.487310198503,8128.431947006148,48.0415325,56.53575490521476,1.037916761535315,1.037916761535315,1.1768099800982568,1.0307271509769023,1.0307271509769023,1.1849420628892777,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8595.713481274732,7034.126440327671,3442.5056616464663,2658.776848921455,8551.508661931668,6997.958860865162,3424.848850283867,2645.1512156864483
151,522601587,2019-01-11,HEL,NRT,JL414,7831.487310198503,8031.858198068727,48.0415325,58.025445479368926,1.0255852917758408,1.0255852917758408,1.207818370060716,1.0257730021182256,1.0257730021182256,1.2009592880991968,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8767.165647061025,7174.4054850619095,3510.989111957695,2711.625030705014,8860.841382763787,7251.049268818715,3548.4061813889693,2740.4995117383937
168,522779443,2019-01-12,HEL,NRT,AY73,7831.487310198503,8083.529545324749,48.0415325,57.33279811758769,1.0321831888558417,1.0321831888558417,1.193400691736628,1.0322365409334169,1.0322365409334169,1.1824875365202876,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8576.68255324036,7018.555681026819,3434.9041034600095,2652.9107816154055,8719.109313388293,7135.0866666024,3491.793883223643,2696.8122119450945
