,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,pre_footprint_first_7D,pre_footprint_business_7D,pre_footprint_premium_economy_7D,pre_footprint_economy_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first_7D,actual_footprint_business_7D,actual_footprint_premium_economy_7D,actual_footprint_economy_7D
7,520862415,2019-01-01,HEL,NRT,AY73,7831.487310198503,8062.0636789905,48.0415325,58.30565832827935,1.0294422195502673,1.0294422195502673,1.2136510909238656,0.1881904253597733,,,,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,,,,,8994.320726455702,7360.259640930282,3601.722078329547,2781.6430026207026,,,,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,,,,,8994.320726455702,7360.259640930282,3601.722078329547,2781.6430026207026
6,520861768,2019-01-01,HEL,NRT,JL414,7831.487310198503,8032.342517602309,48.0415325,58.00980868665928,1.025647134375388,1.025647134375388,1.2074928851751194,0.17145824885826086,,,,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,,,,,8873.44850358981,7261.364185858187,3553.441866582545,2744.385513470279,,,,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,,,,,8873.44850358981,7261.364185858187,3553.441866582545,2744.385513470279
21,521026528,2019-01-02,HEL,NRT,JL414,7831.487310198503,8035.766328119364,48.0415325,57.67347410282194,1.026084319597229,1.026084319597229,1.2004919722913072,0.17338575771738135,1.025647134375388,1.025647134375388,1.2074928851751194,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8873.44850358981,7261.364185858187,3553.441866582545,2744.385513470279,8779.895877300545,7184.821127985151,3516.0739709681397,2715.5489795146386,1.025647134375388,1.025647134375388,1.2074928851751194,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8873.44850358981,7261.364185858187,3553.441866582545,2744.385513470279,8779.895877300545,7184.821127985151,3516.0739709681397,2715.5489795146386
22,521027967,2019-01-02,HEL,NRT,AY73,7831.487310198503,8022.358783463281,48.0415325,57.690628527701456,1.024372314696369,1.024372314696369,1.2008490471801967,0.16583768781838262,1.0294422195502673,1.0294422195502673,1.2136510909238656,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8994.320726455702,7360.259640930282,3601.722078329547,2781.6430026207026,8770.177043879985,7176.869355186513,3512.1919596643593,2712.55325955404,1.0294422195502673,1.0294422195502673,1.2136510909238656,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8994.320726455702,7360.259640930282,3601.722078329547,2781.6430026207026,8770.177043879985,7176.869355186513,3512.1919596643593,2712.55325955404
37,521202548,2019-01-03,HEL,NRT,AY73,7831.487310198503,8033.865800681474,48.0415325,57.479108571838346,1.0258416418831997,1.0258416418831997,1.1964461910501782,0.17231581431505616,1.0269072671233181,1.0269072671233181,1.2072500690520311,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8880.898514163377,7267.459649054744,3556.4176378514194,2746.68189457037,8722.809810750925,7138.114346262737,3493.271979613378,2697.9528482060205,1.0269072671233181,1.0269072671233181,1.2072500690520311,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8880.898514163377,7267.459649054744,3556.4176378514194,2746.68189457037,8722.809810750925,7138.114346262737,3493.271979613378,2697.9528482060205
36,521199691,2019-01-03,HEL,NRT,JL414,7831.487310198503,7996.85574939462,48.0415325,58.15120930191557,1.0211158407906462,1.0211158407906462,1.2104361846058005,0.15148019815680885,1.0258657269863085,1.0258657269863085,1.2039924287332133,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8826.347786048282,7222.827235142391,3534.628341337264,2729.8672525235293,8875.867678794004,7263.343511025256,3554.4081621328564,2745.1311967363445,1.0258657269863085,1.0258657269863085,1.2039924287332133,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8826.347786048282,7222.827235142391,3534.628341337264,2729.8672525235293,8875.867678794004,7263.343511025256,3554.4081621328564,2745.1311967363445
49,521380396,2019-01-04,HEL,NRT,JL414,7831.487310198503,8011.847782176281,48.0415325,57.94195945169135,1.0230301684512602,1.0230301684512602,1.2060805814571245,0.15992029022935075,1.0242824315877543,1.0242824315877543,1.206140347357409,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8842.694624694122,7236.201921307171,3541.157788819097,2734.9059797765794,8831.077193442183,7226.6967502828575,3536.517417131532,2731.3250386094332,1.0242824315877543,1.0242824315877543,1.206140347357409,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8842.694624694122,7236.201921307171,3541.157788819097,2734.9059797765794,8831.077193442183,7226.6967502828575,3536.517417131532,2731.3250386094332
50,521383947,2019-01-04,HEL,NRT,AY73,7831.487310198503,8034.302775782892,48.0415325,57.49137210408816,1.02589743908801,1.02589743908801,1.196701460430892,0.1725618189858764,1.0265520587099453,1.0265520587099453,1.2036487763847468,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8827.460893366384,7223.737959311748,3535.0729518171647,2730.210355205387,8726.728236403607,7141.32033088766,3494.837123496238,2699.160658385895,1.0265520587099453,1.0265520587099453,1.2036487763847468,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8827.460893366384,7223.737959311748,3535.0729518171647,2730.210355205387,8726.728236403607,7141.32033088766,3494.837123496238,2699.160658385895
66,521555084,2019-01-05,HEL,NRT,JL414,7831.487310198503,8052.981591885631,48.0415325,57.51408711495222,1.028282530880014,1.028282530880014,1.1971742807112205,0.18307746619724344,1.0239693658036308,1.0239693658036308,1.2061254058823379,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8839.790056833803,7233.825456694181,3539.9976119976172,2734.0106797400886,8753.367833993929,7163.116365279739,3505.4778263973717,2707.3720116204117,1.0239693658036308,1.0239693658036308,1.2061254058823379,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8839.790056833803,7233.825456694181,3539.9976119976172,2734.0106797400886,8753.367833993929,7163.116365279739,3505.4778263973717,2707.3720116204117
67,521556608,2019-01-05,HEL,NRT,AY73,7831.487310198503,8037.859504494193,48.0415325,57.47287112106017,1.026351596589698,1.026351596589698,1.1963163564996635,0.17456415704353817,1.0263884038044615,1.0263884038044615,1.2019119473962832,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8802.02053394481,7202.923119785005,3524.9112627982067,2722.36865350868,8725.382573024026,7140.219333577091,3494.2996227258714,2698.7458729407685,1.0263884038044615,1.0263884038044615,1.2019119473962832,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,8802.02053394481,7202.923119785005,3524.9112627982067,2722.36865350868,8725.382573024026,7140.219333577091,3494.2996227258714,2698.7458729407685
