,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
1,520792488,2019-01-01,ICN,LHR,KE907,8863.736032710949,9237.031195224368,44.4698505,54.48185222835781,1.0421148780983325,1.0421148780983325,1.2251413399367692,,,,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,,,,,9225.633798480187,7549.8389529347405,3695.183324287882,2854.172159568994
2,520796238,2019-01-01,ICN,LHR,BA18,8863.736032710949,9370.043816510764,44.4698505,54.3897275741476,1.057121261500943,1.057121261500943,1.2230697194304172,,,,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,,,,,9334.798700124613,7639.155690643817,3738.787259433355,2887.820999990643
7,520811618,2019-01-01,ICN,LHR,OZ521,8863.736032710949,9178.532140267216,44.4698505,56.20519337325299,1.0355150589316442,1.0355150589316442,1.2638943630640942,,,,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,,,,,9632.895834856456,7883.053346333505,3857.8567399540852,2979.7060543042926
23,520943715,2019-01-02,ICN,LHR,KE907,8863.736032710949,9410.992452900511,44.4698505,54.61815053924365,1.0617410557094609,1.0617410557094609,1.228206299889487,1.0421148780983325,1.0421148780983325,1.2251413399367692,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9225.633798480187,7549.8389529347405,3695.183324287882,2854.172159568994,9433.937982301959,7720.269648788915,3778.386643166692,2918.3795571390565
19,520932897,2019-01-02,ICN,LHR,BA18,8863.736032710949,9310.062942619494,44.4698505,53.15491453939455,1.050354264642066,1.050354264642066,1.1953022990125537,1.057121261500943,1.057121261500943,1.2230697194304172,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9334.798700124613,7639.155690643817,3738.787259433355,2887.820999990643,8984.041404199694,7352.172448523428,3598.6836349815253,2779.7040494001485
24,520951731,2019-01-02,ICN,LHR,OZ521,8863.736032710949,9353.917040136608,44.4698505,54.43255479719303,1.0553018507790262,1.0553018507790262,1.2240327814277907,1.0355150589316442,1.0355150589316442,1.2638943630640942,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9632.895834856456,7883.053346333505,3857.8567399540852,2979.7060543042926,9329.572800019003,7634.879954193771,3736.699868652534,2886.210175668317
42,521127476,2019-01-03,ICN,LHR,OZ521,8863.736032710949,9274.761504875793,44.4698505,54.5746116026323,1.0463715831166436,1.0463715831166436,1.2272272334855792,1.0454084548553353,1.0454084548553353,1.2439635722459426,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9473.707394658273,7752.808258898629,3794.271811852197,2930.6380265727507,9286.662740053718,7599.7717233130825,3719.5602253823095,2872.9836372983355
39,521103707,2019-01-03,ICN,LHR,BA18,8863.736032710949,9315.279317350483,44.4698505,53.069800941038906,1.0509427720966813,1.0509427720966813,1.1933883371395393,1.0537377630715046,1.0537377630715046,1.2091860092214854,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9154.469240131517,7491.6134051949175,3666.7579353565666,2832.2364931461793,8970.283843403507,7340.916262417457,3593.1884274589574,2775.4634376206427
41,521120036,2019-01-03,ICN,LHR,KE907,8863.736032710949,9210.787672794817,44.4698505,54.59326000567867,1.0391541037326808,1.0391541037326808,1.2276465828388308,1.0519279669038966,1.0519279669038966,1.226673819913128,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9329.56756490509,7634.875670918751,3736.697777581465,2886.2085620039425,9227.487562605802,7551.355669037516,3695.923776663057,2854.7435612952136
57,521285231,2019-01-04,ICN,LHR,BA18,8863.736032710949,9353.019485373674,44.4698505,52.84335887449936,1.0552005893290437,1.0552005893290437,1.1882963014345946,1.0528060994132302,1.0528060994132302,1.2039201185275035,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9091.709252928444,7440.264324756041,3641.6895995589753,2812.8914402725045,8957.168457028996,7330.185491747401,3587.9497248332295,2771.42076880918
61,521299888,2019-01-04,ICN,LHR,KE907,8863.736032710949,9334.451412248123,44.4698505,54.348302131993805,1.0531057533527663,1.0531057533527663,1.2221381794839583,1.0476700125134915,1.0476700125134915,1.2269980742216957,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9295.565649666623,7607.05592208728,3723.1163307561005,2875.7278580170855,9289.05667422887,7601.730396729118,3720.5164388624985,2873.7215403040286
62,521307455,2019-01-04,ICN,LHR,OZ521,8863.736032710949,9401.754884901558,44.4698505,55.92742975563316,1.0606988802695716,1.0606988802695716,1.257648252171056,1.0457294976091047,1.0457294976091047,1.2383847926591547,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9409.883616496725,7700.588804039179,3768.7785640978964,2910.9650722246597,9784.561344478027,8007.143308751154,3918.4367702177005,3026.455224173442
74,521471580,2019-01-05,ICN,LHR,BA18,8863.736032710949,9379.779043474842,44.4698505,55.49626320244606,1.0582195824491474,1.0582195824491474,1.2479525471408108,1.0534047218921836,1.0534047218921836,1.2000141642542763,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9057.101139476228,7411.948595567864,3627.866017878914,2802.223882574876,9638.728143143195,7887.825234931746,3860.1863494572535,2981.503797057449
79,521483529,2019-01-05,ICN,LHR,KE907,8863.736032710949,9260.265071824151,44.4698505,54.60007174702928,1.0447361064961591,1.0447361064961591,1.2277997594579113,1.0490289477233101,1.0490289477233101,1.2257831005372612,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9293.885495565804,7605.681250550244,3722.4452237487844,2875.2099696081677,9278.649450735784,7593.21539568932,3716.35946266043,2870.5136319261883
80,521490015,2019-01-05,ICN,LHR,OZ521,8863.736032710949,9197.719784732868,44.4698505,56.15935414611537,1.03767979447824,1.03767979447824,1.2628635696923554,1.0494718432742214,1.0494718432742214,1.24320065753713,7437.964196642153,6087.200187794531,2981.131204917349,2303.1433192297136,9501.184213587652,7775.289292568121,3805.2469275950116,2939.1074437711527,9639.606664282372,7888.544024954708,3860.5372587531856,2981.774591215406
