,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,pre_footprint_first_7D,pre_footprint_business_7D,pre_footprint_premium_economy_7D,pre_footprint_economy_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first_7D,actual_footprint_business_7D,actual_footprint_premium_economy_7D,actual_footprint_economy_7D
1,520792488,2019-01-01,ICN,LHR,KE907,8863.736032710949,9237.031195224368,44.4698505,54.48185222835781,1.0421148780983325,1.0421148780983325,1.2251413399367692,-0.20705043566636372,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9242.979610923772,7564.030981297672,3702.1117936900637,2859.5188091432237,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9242.979610923772,7564.030981297672,3702.1117936900637,2859.5188091432237
2,520796238,2019-01-01,ICN,LHR,BA18,8863.736032710949,9370.043816510764,44.4698505,54.3897275741476,1.057121261500943,1.057121261500943,1.2230697194304172,0.03659172261359688,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9352.350325331125,7653.516111267325,3745.797937001637,2893.2310890102626,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9352.350325331125,7653.516111267325,3745.797937001637,2893.2310890102626
7,520811618,2019-01-01,ICN,LHR,OZ521,8863.736032710949,9178.532140267216,44.4698505,56.20519337325299,1.0355150589316442,1.0355150589316442,1.2638943630640942,-0.3142044475883608,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9651.009473988648,7897.87359653257,3865.0919037665453,2985.2893777299823,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9651.009473988648,7897.87359653257,3865.0919037665453,2985.2893777299823
23,520943715,2019-01-02,ICN,LHR,KE907,8863.736032710949,9410.992452900511,44.4698505,54.61815053924365,1.0617410557094609,1.0617410557094609,1.228206299889487,0.11159824494306558,1.0421148780983325,1.0421148780983325,1.2251413399367692,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9242.979610923772,7564.030981297672,3702.1117936900637,2859.5188091432237,9451.676518587692,7734.7829966590625,3785.4719789671863,2923.847259374858,1.0421148780983325,1.0421148780983325,1.2251413399367692,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9242.979610923772,7564.030981297672,3702.1117936900637,2859.5188091432237,9451.676518587692,7734.7829966590625,3785.4719789671863,2923.847259374858
19,520932897,2019-01-02,ICN,LHR,BA18,8863.736032710949,9310.062942619494,44.4698505,53.15491453939455,1.050354264642066,1.050354264642066,1.1953022990125537,-0.07327656980146256,1.057121261500943,1.057121261500943,1.2230697194304172,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9352.350325331125,7653.516111267325,3745.797937001637,2893.2310890102626,9000.931733265194,7365.991808667925,3605.4301698298477,2784.9103013990316,1.057121261500943,1.057121261500943,1.2230697194304172,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9352.350325331125,7653.516111267325,3745.797937001637,2893.2310890102626,9000.931733265194,7365.991808667925,3605.4301698298477,2784.9103013990316
24,520951731,2019-01-02,ICN,LHR,OZ521,8863.736032710949,9353.917040136608,44.4698505,54.43255479719303,1.0553018507790262,1.0553018507790262,1.2240327814277907,0.0070519498920473,1.0355150589316442,1.0355150589316442,1.2638943630640942,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9651.009473988648,7897.87359653257,3865.0919037665453,2985.2893777299823,9347.114572636234,7649.2323136078685,3743.706610783167,2891.617227739253,1.0355150589316442,1.0355150589316442,1.2638943630640942,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9651.009473988648,7897.87359653257,3865.0919037665453,2985.2893777299823,9347.114572636234,7649.2323136078685,3743.706610783167,2891.617227739253
42,521127476,2019-01-03,ICN,LHR,OZ521,8863.736032710949,9274.761504875793,44.4698505,54.5746116026323,1.0463715831166436,1.0463715831166436,1.2272272334855792,-0.13793899355553588,1.0454084548553353,1.0454084548553353,1.2439635722459426,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9491.520909737681,7767.382953054508,3801.3870965685737,2936.1288401696706,9304.123612694255,7614.057891837159,3726.5346534881605,2878.3657528707736,1.0454084548553353,1.0454084548553353,1.2439635722459426,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9491.520909737681,7767.382953054508,3801.3870965685737,2936.1288401696706,9304.123612694255,7614.057891837159,3726.5346534881605,2878.3657528707736
39,521103707,2019-01-03,ICN,LHR,BA18,8863.736032710949,9315.279317350483,44.4698505,53.069800941038906,1.0509427720966813,1.0509427720966813,1.1933883371395393,-0.06372162091342537,1.0537377630715046,1.0537377630715046,1.2091860092214854,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9171.680883312309,7505.695658706475,3673.6328132861668,2837.541786569804,8987.148234813627,7354.714400843916,3599.9246019824323,2780.661694632,1.0537377630715046,1.0537377630715046,1.2091860092214854,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9171.680883312309,7505.695658706475,3673.6328132861668,2837.541786569804,8987.148234813627,7354.714400843916,3599.9246019824323,2780.661694632
41,521120036,2019-01-03,ICN,LHR,KE907,8863.736032710949,9210.787672794817,44.4698505,54.59326000567867,1.0391541037326808,1.0391541037326808,1.2276465828388308,-0.25512127573978166,1.0519279669038966,1.0519279669038966,1.226673819913128,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9347.10932765236,7649.228022257426,3743.7045157697216,2891.6156110325755,9244.83687002177,7565.550556923308,3702.8536420684113,2860.091288154965,1.0519279669038966,1.0519279669038966,1.226673819913128,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9347.10932765236,7649.228022257426,3743.7045157697216,2891.6156110325755,9244.83687002177,7565.550556923308,3702.8536420684113,2860.091288154965
57,521285231,2019-01-04,ICN,LHR,BA18,8863.736032710949,9353.019485373674,44.4698505,52.84335887449936,1.0552005893290437,1.0552005893290437,1.1882963014345946,0.0054078789948584,1.0528060994132302,1.0528060994132302,1.2039201185275035,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9108.80257230577,7454.249767882944,3648.5172151966235,2818.1602617283006,8974.008121499723,7343.963399041632,3594.676022630344,2776.6114040224584,1.0528060994132302,1.0528060994132302,1.2039201185275035,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9108.80257230577,7454.249767882944,3648.5172151966235,2818.1602617283006,8974.008121499723,7343.963399041632,3594.676022630344,2776.6114040224584
61,521299888,2019-01-04,ICN,LHR,KE907,8863.736032710949,9334.451412248123,44.4698505,54.348302131993805,1.0531057533527663,1.0531057533527663,1.2221381794839583,-0.028603670944214826,1.0476700125134915,1.0476700125134915,1.2269980742216957,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9313.04330730305,7621.3558237898105,3730.097463323378,2881.1151473737687,9306.522060245039,7616.020258015073,3727.492669754183,2879.1050470732166,1.0476700125134915,1.0476700125134915,1.2269980742216957,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9313.04330730305,7621.3558237898105,3730.097463323378,2881.1151473737687,9306.522060245039,7616.020258015073,3727.492669754183,2879.1050470732166
62,521307455,2019-01-04,ICN,LHR,OZ521,8863.736032710949,9401.754884901558,44.4698505,55.92742975563316,1.0606988802695716,1.0606988802695716,1.257648252171056,0.09467758746893966,1.0457294976091047,1.0457294976091047,1.2383847926591547,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9427.576802166901,7715.065046860232,3775.845785419563,2916.4187956485625,9802.960924394352,8022.197510500874,3925.7861478774603,3032.126685596513,1.0457294976091047,1.0457294976091047,1.2383847926591547,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9427.576802166901,7715.065046860232,3775.845785419563,2916.4187956485625,9802.960924394352,8022.197510500874,3925.7861478774603,3032.126685596513
74,521471580,2019-01-05,ICN,LHR,BA18,8863.736032710949,9379.779043474842,44.4698505,55.49626320244606,1.0582195824491474,1.0582195824491474,1.2479525471408108,0.054423953013493336,1.0534047218921836,1.0534047218921836,1.2000141642542763,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9074.129210854042,7425.8806539678935,3634.6675713894842,2807.4725920762758,9656.852778149194,7902.6544817548365,3867.4259053715814,2987.090509836287,1.0534047218921836,1.0534047218921836,1.2000141642542763,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9074.129210854042,7425.8806539678935,3634.6675713894842,2807.4725920762758,9656.852778149194,7902.6544817548365,3867.4259053715814,2987.090509836287
