,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,pre_footprint_first_7D,pre_footprint_business_7D,pre_footprint_premium_economy_7D,pre_footprint_economy_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first_7D,actual_footprint_business_7D,actual_footprint_premium_economy_7D,actual_footprint_economy_7D
13,520900389,2019-01-01,LHR,PVG,MU552,9244.034182063437,9532.36966388588,41.307,52.42487871844205,1.0311915205140536,1.0311915205140536,1.2691524128705074,0.08148824933168407,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9077.957365618337,7429.131839082796,3636.5899232806296,2809.105557627648,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9077.957365618337,7429.131839082796,3636.5899232806296,2809.105557627648
7,520848136,2019-01-01,LHR,PVG,VS250,9244.034182063437,9650.311317978252,41.307,51.59945186383928,1.043950198356377,1.043950198356377,1.2491696773873502,0.1716306122073609,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9021.038671427817,7382.561998381463,3613.854785771576,2791.5610169467636,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9021.038671427817,7382.561998381463,3613.854785771576,2791.5610169467636
8,520855454,2019-01-01,LHR,PVG,BA169,9244.034182063437,9633.226449265236,41.307,51.45724961519154,1.0421019935167446,1.0421019935167446,1.2457271071535465,0.15857271127266784,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,8977.60184662011,7347.022778084245,3596.504735862588,2778.172109300069,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,8977.60184662011,7347.022778084245,3596.504735862588,2778.172109300069
35,521070963,2019-01-02,LHR,PVG,MU552,9244.034182063437,9558.408148063412,41.307,52.62026157736496,1.0340083084731524,1.0340083084731524,1.2738824310011612,0.10138936490892843,1.0311915205140536,1.0311915205140536,1.2691524128705074,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9077.957365618337,7429.131839082796,3636.5899232806296,2809.105557627648,9144.538248611903,7483.607106986623,3663.184446430901,2829.628358209472,1.0311915205140536,1.0311915205140536,1.2691524128705074,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9077.957365618337,7429.131839082796,3636.5899232806296,2809.105557627648,9144.538248611903,7483.607106986623,3663.184446430901,2829.628358209472
29,521006153,2019-01-02,LHR,PVG,BA169,9244.034182063437,9650.893554475757,41.307,51.44041054027179,1.0440131834650466,1.0440131834650466,1.2453194504629188,0.1720756133737548,1.0421019935167446,1.0421019935167446,1.2457271071535465,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8977.60184662011,7347.022778084245,3596.504735862588,2778.172109300069,8990.784694760412,7357.808744744494,3601.770384864084,2782.235572434225,1.0421019935167446,1.0421019935167446,1.2457271071535465,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8977.60184662011,7347.022778084245,3596.504735862588,2778.172109300069,8990.784694760412,7357.808744744494,3601.770384864084,2782.235572434225
28,521001729,2019-01-02,LHR,PVG,VS250,9244.034182063437,9600.080870564878,41.307,51.87115732744679,1.0385163751549398,1.0385163751549398,1.2557473873059477,0.13323967006746398,1.043950198356377,1.043950198356377,1.2491696773873502,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9021.038671427817,7382.561998381463,3613.854785771576,2791.5610169467636,9027.845657205948,7388.131350381751,3616.5737124772722,2793.659192960761,1.043950198356377,1.043950198356377,1.2491696773873502,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9021.038671427817,7382.561998381463,3613.854785771576,2791.5610169467636,9027.845657205948,7388.131350381751,3616.5737124772722,2793.659192960761
44,521183608,2019-01-03,LHR,PVG,BA169,9244.034182063437,9612.643527318987,41.307,51.39274903881957,1.039875376701958,1.039875376701958,1.2441656145161732,0.14284126140112957,1.0430575884908957,1.0430575884908957,1.2455232788082327,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8984.193972411864,7352.416335550226,3599.1378406532713,2780.2040571648567,8946.169076518316,7321.305057091869,3583.949487350337,2768.4833151067605,1.0430575884908957,1.0430575884908957,1.2455232788082327,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8984.193972411864,7352.416335550226,3599.1378406532713,2780.2040571648567,8946.169076518316,7321.305057091869,3583.949487350337,2768.4833151067605
50,521247410,2019-01-03,LHR,PVG,MU552,9244.034182063437,9557.683615774524,41.307,52.42795025362141,1.0339299301077527,1.0339299301077527,1.2692267715791854,0.10083560760407517,1.0325999144936029,1.0325999144936029,1.2715174219358343,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9111.11015549706,7456.2568489835685,3649.8322024196877,2819.3245283715155,9102.646938515847,7449.332398726214,3646.4517242732145,2816.7158379099774,1.0325999144936029,1.0325999144936029,1.2715174219358343,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9111.11015549706,7456.2568489835685,3649.8322024196877,2819.3245283715155,9102.646938515847,7449.332398726214,3646.4517242732145,2816.7158379099774
43,521179867,2019-01-03,LHR,PVG,VS250,9244.034182063437,9510.340891006244,41.307,52.728882217030375,1.0288084946136975,1.0288084946136975,1.2765120250086033,0.0646517410267661,1.0412332867556584,1.0412332867556584,1.2524585323466488,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9024.30720324611,7385.236251687336,3615.1603413785415,2792.568504737345,9122.21150432866,7465.339770754877,3654.2664343677634,2822.746392997165,1.0412332867556584,1.0412332867556584,1.2524585323466488,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9024.30720324611,7385.236251687336,3615.1603413785415,2792.568504737345,9122.21150432866,7465.339770754877,3654.2664343677634,2822.746392997165
51,521258696,2019-01-03,LHR,PVG,BA161,9244.034182063437,9603.67995111579,41.307,51.58598599248442,1.0389057160509196,1.0389057160509196,1.2488436824868523,0.13599043380344644,1.0419968512279165,1.0419968512279165,1.245070724044213,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8971.50407609921,7342.033693112602,3594.0690922965705,2776.2925408298497,8974.956947018698,7344.858769319456,3595.4482788058876,2777.3568490536118,1.0419968512279165,1.0419968512279165,1.245070724044213,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8971.50407609921,7342.033693112602,3594.0690922965705,2776.2925408298497,8974.956947018698,7344.858769319456,3595.4482788058876,2777.3568490536118
