,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
4,520797140,2019-01-01,NRT,HEL,JL413,7831.487310198503,7945.787491817816,48.0415325,58.43060169003807,1.0145949520304356,1.0145949520304356,1.2162518273129206,,,,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,,,,,8885.535941143275,7271.253907492839,3558.2699737416847,2748.1113287388894
5,520798332,2019-01-01,NRT,HEL,AY74,7831.487310198503,7946.018477824188,48.0415325,58.444216834725886,1.0146244465564718,1.0146244465564718,1.2165352309426407,,,,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,,,,,8889.873855031767,7274.803109765243,3560.002674573281,2749.4484414005415
16,520937638,2019-01-02,NRT,HEL,AY74,7831.487310198503,8075.821143353495,48.0415325,57.43658384677169,1.031198905581678,1.031198905581678,1.1955610251769484,1.0146244465564718,1.0146244465564718,1.2165352309426407,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8889.873855031767,7274.803109765243,3560.002674573281,2749.4484414005415,8739.826023580626,7152.036702214311,3500.0687964425138,2703.197902444721
15,520935032,2019-01-02,NRT,HEL,JL413,7831.487310198503,8011.963243389934,48.0415325,58.5240286914068,1.0230449116550837,1.0230449116550837,1.218196540491434,1.0145949520304356,1.0145949520304356,1.2162518273129206,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8885.535941143275,7271.253907492839,3558.2699737416847,2748.1113287388894,8987.66410088858,7354.813310920817,3599.0632102763147,2779.5911734331103
28,521110802,2019-01-03,NRT,HEL,JL413,7831.487310198503,8003.776613762559,48.0415325,58.47357156953096,1.0219995636511718,1.0219995636511718,1.2171462592191653,1.0188199318427595,1.0188199318427595,1.2172241839021773,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8936.515270061871,7312.964267517146,3578.6327397813293,2763.8251275674907,8963.198409577932,7334.795927121195,3589.290834713028,2772.049902105822
29,521113110,2019-01-03,NRT,HEL,AY74,7831.487310198503,8037.733746627315,48.0415325,58.78230371507903,1.0263355386096622,1.0263355386096622,1.2235726184438231,1.0229116760690748,1.0229116760690748,1.2060481280597946,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8813.032356580869,7211.932792850874,3529.309735135224,2725.762922701898,9096.14862337539,7443.573374773662,3642.395380337808,2813.0302947110044
45,521292169,2019-01-04,NRT,HEL,AY74,7831.487310198503,8164.39364470613,48.0415325,58.512583370711134,1.042508698708367,1.042508698708367,1.217958302448223,1.024052963582604,1.024052963582604,1.2118896248544708,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8905.32278633967,7287.44314447171,3566.173469294563,2754.2103989201646,9154.663647538116,7491.449303634075,3665.768142830079,2831.0668859657085
44,521289384,2019-01-04,NRT,HEL,JL413,7831.487310198503,8006.784673723946,48.0415325,58.22729472191481,1.022383661823363,1.022383661823363,1.212019927172698,1.0198798091122303,1.0198798091122303,1.21719820900784,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8945.410396050642,7320.242097871595,3582.18573612798,2766.5669490725522,8892.702867299167,7277.117756165844,3561.1326720869083,2750.3204522841006
62,521475021,2019-01-05,NRT,HEL,AY74,7831.487310198503,8053.36902427773,48.0415325,58.47970907843747,1.0283320019928122,1.0283320019928122,1.2172740134473743,1.0286668973640447,1.0286668973640447,1.2134067942529088,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8967.169005144864,7338.044596221414,3590.8768169195923,2773.273793068925,9020.460036365963,7381.646349038676,3612.1629504130196,2789.7001478629277
57,521472748,2019-01-05,NRT,HEL,JL413,7831.487310198503,7997.565780288347,48.0415325,58.08850053386764,1.0212065043984135,1.0212065043984135,1.209130881365361,1.0205057722900135,1.0205057722900135,1.2159036385490545,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8932.128434948316,7309.375038787874,3576.8804982558568,2762.4729354941364,8841.555661712247,7235.270042503817,3540.7028507644054,2734.5549073801776
77,521643552,2019-01-06,NRT,HEL,AY74,7831.487310198503,8003.408858401468,48.0415325,59.32427412514264,1.0219526050918937,1.0219526050918937,1.2348539074006983,1.0285999182897982,1.0285999182897982,1.2141802380918019,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8977.763308822487,7346.712662866741,3595.1085188999155,2776.539366787737,9229.153624954111,7552.395648792617,3695.5218099456724,2854.0275750271726
72,521641788,2019-01-06,NRT,HEL,JL413,7831.487310198503,8078.459840281673,48.0415325,59.785638631128094,1.0315358399114751,1.0315358399114751,1.2444573584560004,1.0206459187116936,1.0206459187116936,1.214549087112316,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,8913.821788946221,7294.396873877067,3569.568241358429,2756.8301198940585,9468.883985264962,7748.5386708651295,3791.277743638018,2927.9217343843525
91,521808224,2019-01-07,NRT,HEL,JL413,7831.487310198503,8022.113400403541,48.0415325,59.23916217315706,1.024340981815395,1.024340981815395,1.2330822746580172,1.0224609055783238,1.0224609055783238,1.2195337990029298,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,9002.13319695256,7366.651662245891,3604.8426276245973,2784.051107873285,9223.150343040783,7547.483872681709,3693.1239081359727,2852.1771315965016
92,521809941,2019-01-07,NRT,HEL,AY74,7831.487310198503,8025.335670131988,48.0415325,59.61199434312766,1.0247524323612256,1.0247524323612256,1.2408428965734526,1.027492032756814,1.027492032756814,1.2176258496432846,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,9018.26167170188,7379.84768704079,3611.284853618218,2789.0225269366415,9348.781384689757,7650.272906758142,3743.304943521898,2890.9014725593247
100,521982615,2019-01-08,NRT,HEL,JL413,7831.487310198503,8022.081964846234,48.0415325,59.37650587345215,1.0243369678195775,1.0243369678195775,1.2359411280947823,1.0227294878979054,1.0227294878979054,1.221469295525085,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,9033.025169049866,7391.926912143688,3617.1818642066473,2793.573207227143,9267.608538701561,7583.858760040528,3710.8819260618416,2865.880865202168
101,521985455,2019-01-08,NRT,HEL,AY74,7831.487310198503,8116.64803415706,48.0415325,59.38204133089429,1.0364120776378207,1.0364120776378207,1.2360563504275033,1.02710066127173,1.02710066127173,1.2209425706333086,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,9063.713003548935,7417.0351403702,3629.4395617366727,2803.032383486089,9378.40474730022,7674.510203439431,3755.137457110055,2900.0325374548793
111,522155550,2019-01-09,NRT,HEL,JL413,7831.487310198503,8154.272804225896,48.0415325,59.45576117573808,1.041216371966414,1.041216371966414,1.237590852784267,1.0229304228881144,1.0229304228881144,1.2232782745962973,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,9061.659298254806,7415.354836038639,3628.619246497029,2802.3993521667335,9446.254189593652,7730.023383497693,3782.2386832079424,2920.9463570254397
119,522158293,2019-01-09,NRT,HEL,AY74,7831.487310198503,8185.552535496698,48.0415325,59.61824204892793,1.0452104704092562,1.0452104704092562,1.240972944585561,1.0282645883174915,1.0282645883174915,1.222831793107583,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,9102.107467528069,7448.448792716761,3644.7755322919734,2814.867040706929,9537.065086145481,7804.323207949192,3818.5114447283618,2948.9377839455356
126,522336543,2019-01-10,NRT,HEL,AY74,7831.487310198503,8014.97663041034,48.0415325,58.96598518884234,1.0234296900376625,1.0234296900376625,1.2273960075866093,1.0320878412990895,1.0320878412990895,1.225886507312948,6795.4124237874485,5561.152847838074,2723.4081369796704,2103.854505917562,9181.97854861412,7513.797859059896,3676.6785834303246,2839.4863938257836,9127.940466518665,7469.584882799976,3655.094054047877,2822.829769088974
