,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
0,520801022,2019-01-01,PVG,LHR,BA168,9244.034182063437,9577.396436057074,41.307,51.57777513750117,1.0360624211711025,1.0360624211711025,1.24864490612974,,,,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,,,,,8932.084942971986,7309.781675099419,3578.323836280411,2764.142040988077
1,520803197,2019-01-01,PVG,LHR,VS251,9244.034182063437,9663.930719656264,41.307,52.16590994858274,1.045423516326624,1.045423516326624,1.262883045212258,,,,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,,,,,9130.989757112136,7472.521977577722,3657.7727478375286,2825.4521896647993
15,520881929,2019-01-01,PVG,LHR,BA160,9244.034182063437,9610.000163949497,41.307,50.988008274934494,1.039589423262428,1.039589423262428,1.2343672567587696,1.0360624211711025,1.0360624211711025,1.24864490612974,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8932.084942971986,7309.781675099419,3578.323836280411,2764.142040988077,8851.938683618668,7244.207462901249,3546.310870186443,2739.4378672953635
21,520951748,2019-01-02,PVG,LHR,MU551,9244.034182063437,9481.375264889884,41.307,52.65465049396877,1.0256750546516769,1.0256750546516769,1.2747149513150016,,,,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,,,,,9061.41201000598,7415.594729945414,3629.981181805922,2804.0056397755443
20,520945003,2019-01-02,PVG,LHR,VS251,9244.034182063437,9659.86943588293,41.307,50.825425403974485,1.0449841752669369,1.0449841752669369,1.230431292613225,1.045423516326624,1.045423516326624,1.262883045212258,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,9130.989757112136,7472.521977577722,3657.7727478375286,2825.4521896647993,8868.452220345709,7257.718538405192,3552.906902185938,2744.527977337648
19,520940084,2019-01-02,PVG,LHR,BA168,9244.034182063437,9687.420718345862,41.307,50.899716058039566,1.0479646145340686,1.0479646145340686,1.2322297929658306,1.0378259222167654,1.0378259222167654,1.2415060814442547,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8891.164670457512,7276.301452133031,3561.9789774294595,2751.528831988587,8907.022764493464,7289.276256344265,3568.313204763139,2756.416909269555
30,521119961,2019-01-03,PVG,LHR,VS251,9244.034182063437,9614.041371705142,41.307,50.66573241295985,1.0400265925411274,1.0400265925411274,1.2265652894899133,1.0452038457967805,1.0452038457967805,1.2466571689127415,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8994.748416317982,7361.051789655233,3603.3536213725906,2783.4573445620554,8798.417160827274,7200.417126071927,3524.9326710260175,2722.9404660940395
29,521114415,2019-01-03,PVG,LHR,BA168,9244.034182063437,9616.873046298608,41.307,50.66057980205397,1.04033291708923,1.04033291708923,1.2264405500775648,1.041205486322533,1.041205486322533,1.2384139852847802,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8896.251536805827,7280.463433690743,3564.0108337038146,2753.0968007351557,8800.103498615794,7201.796856989808,3525.606247994955,2723.4602605544214
36,521128768,2019-01-03,PVG,LHR,MU551,9244.034182063437,9508.90673465877,41.307,52.50198475444549,1.028653350623614,1.028653350623614,1.2710190707251914,1.0256750546516769,1.0256750546516769,1.2747149513150016,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,9061.41201000598,7415.594729945414,3629.981181805922,2804.0056397755443,9054.981939626261,7410.333763271098,3627.4128071031137,2802.0236436499767
51,521308978,2019-01-04,PVG,LHR,MU551,9244.034182063437,9515.297148616224,41.307,52.69839451566567,1.0293446520437075,1.0293446520437075,1.2757739491046474,1.0271642026376453,1.0271642026376453,1.2728670110200966,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,9058.154286028052,7412.929319418017,3628.6799431942827,2803.001483378938,9103.203318822636,7449.787618977223,3646.6739602707567,2816.8873358170417
63,521405203,2019-01-04,PVG,LHR,BA160,9244.034182063437,9704.95233164633,41.307,54.42226059340275,1.0498611472550838,1.0498611472550838,1.3175069744450758,1.0432967950584477,1.0432967950584477,1.237951728611682,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8910.535933007915,7292.150666946997,3569.7164760504447,2757.4998035417657,9701.131867022046,7939.001885685831,3885.5056474208614,3001.1920161569174
50,521297511,2019-01-04,PVG,LHR,BA168,9244.034182063437,9729.665813136558,41.307,51.554280996284525,1.052534599235409,1.052534599235409,1.2480761371265046,1.0409873440142072,1.0409873440142072,1.2354206264829761,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8871.710787679282,7260.384638950842,3554.2084776606544,2745.5323936890472,9069.080638260719,7421.869062153837,3633.044275932673,2806.369407291564
69,521477437,2019-01-05,PVG,LHR,BA168,9244.034182063437,9743.829988092892,41.307,54.33770719307069,1.0540668496227794,1.0540668496227794,1.3154600235570408,1.044390853757887,1.044390853757887,1.2512109362505808,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,9024.430552786696,7385.337174038726,3615.2096111098094,2792.606525831532,9717.641165018169,7952.509493137204,3892.099986336359,3006.280819658563
70,521482242,2019-01-05,PVG,LHR,VS251,9244.034182063437,9582.12711299936,41.307,50.9135826041367,1.0365741757632116,1.0365741757632116,1.232565487789883,1.0434780947115627,1.0434780947115627,1.2399598757717987,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8927.483972624945,7306.017244815475,3576.4860623292925,2762.723844162356,8812.970841459493,7212.324682952833,3530.745874142183,2727.4264727661866
86,521650121,2019-01-06,PVG,LHR,VS251,9244.034182063437,9672.876453486442,41.307,50.746614609973214,1.0463912468276142,1.0463912468276142,1.2285233643201687,1.041752114974475,1.041752114974475,1.2381112787763198,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8898.597999586995,7282.383266875336,3564.9480855987927,2753.8200712231014,8866.345988481144,7255.995257788728,3552.0656061627624,2743.8787552998488
87,521657586,2019-01-06,PVG,LHR,BA168,9244.034182063437,9590.54192541863,41.307,50.64130727924332,1.0374844723126986,1.0374844723126986,1.2259739821154605,1.045773138881443,1.045773138881443,1.2603893772943608,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,9112.723057237034,7457.57649586173,3650.4764466942343,2819.821687004434,8772.736937961718,7179.406034636472,3514.6751729155144,2715.024829216446
93,521743964,2019-01-06,PVG,LHR,BA160,9244.034182063437,9598.786037282864,41.307,50.90438662962705,1.0383763028384043,1.0383763028384043,1.2323428627018918,1.04473705556035,1.04473705556035,1.2560874528969983,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,9067.554361350949,7420.6202901367515,3632.4346323715536,2805.898949778184,8826.60099145801,7223.476623860711,3536.1901897381813,2731.6278116151616
107,521824331,2019-01-07,PVG,LHR,MU551,9244.034182063437,9532.884844334396,41.307,52.76829023846224,1.031247251641651,1.031247251641651,1.277466052689913,1.0278910191063328,1.0278910191063328,1.2738359903816134,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,9073.12185652755,7425.175513463062,3634.658467092662,2807.61506689938,9135.223671146525,7475.986089060405,3659.46390781831,2826.7572455532404
105,521815512,2019-01-07,PVG,LHR,BA168,9244.034182063437,9688.892356348078,41.307,51.373660378214495,1.048123813210018,1.048123813210018,1.2437034976690269,1.0440303052579116,1.0440303052579116,1.253449165097542,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,9039.623199250951,7397.767521145844,3621.27803751002,2797.289486460428,8996.360198436792,7362.370520479715,3603.9974184348202,2783.9541580844734
106,521818533,2019-01-07,PVG,LHR,VS251,9244.034182063437,9676.307485180872,41.307,50.865730430494,1.0467624085549354,1.0467624085549354,1.2314070358654463,1.042679941345103,1.042679941345103,1.2361936958850896,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8891.929607466811,7276.9273096860925,3562.284517609878,2751.7646151292374,8890.719488058892,7275.937211988705,3561.801157414556,2751.391609573104
