,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,pre_footprint_first_7D,pre_footprint_business_7D,pre_footprint_premium_economy_7D,pre_footprint_economy_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first_7D,actual_footprint_business_7D,actual_footprint_premium_economy_7D,actual_footprint_economy_7D
0,520801022,2019-01-01,PVG,LHR,BA168,9244.034182063437,9577.396436057074,41.307,51.57777513750117,1.0360624211711025,1.0360624211711025,1.24864490612974,-0.030489990414736337,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,8948.876081974231,7323.519879737619,3585.030751461423,2769.3177187771216,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,8948.876081974231,7323.519879737619,3585.030751461423,2769.3177187771216
1,520803197,2019-01-01,PVG,LHR,VS251,9244.034182063437,9663.930719656264,41.307,52.16590994858274,1.045423516326624,1.045423516326624,1.262883045212258,0.10739572269232288,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9148.155898965491,7486.5670027304695,3664.629451089181,2830.7434578213024,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9148.155898965491,7486.5670027304695,3664.629451089181,2830.7434578213024
15,520881929,2019-01-01,PVG,LHR,BA160,9244.034182063437,9610.000163949497,41.307,50.988008274934494,1.039589423262428,1.039589423262428,1.2343672567587696,0.021461537735862946,1.0360624211711025,1.0360624211711025,1.24864490612974,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8948.876081974231,7323.519879737619,3585.030751461423,2769.3177187771216,8868.57871981381,7257.82203797,3552.9574300984805,2744.566969361196,1.0360624211711025,1.0360624211711025,1.24864490612974,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8948.876081974231,7323.519879737619,3585.030751461423,2769.3177187771216,8868.57871981381,7257.82203797,3552.9574300984805,2744.566969361196
21,520951748,2019-01-02,PVG,LHR,MU551,9244.034182063437,9481.375264889884,41.307,52.65465049396877,1.0256750546516769,1.0256750546516769,1.2747149513150016,-0.1834923278592531,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9078.446974272452,7429.532427981618,3636.785488555541,2809.256473931545,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9078.446974272452,7429.532427981618,3636.785488555541,2809.256473931545
20,520945003,2019-01-02,PVG,LHR,VS251,9244.034182063437,9659.86943588293,41.307,50.825425403974485,1.0449841752669369,1.0449841752669369,1.230431292613225,0.10092437993746779,1.045423516326624,1.045423516326624,1.262883045212258,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9148.155898965491,7486.5670027304695,3664.629451089181,2830.7434578213024,8885.123390143028,7271.35858642118,3559.5658978492997,2749.6666759825603,1.045423516326624,1.045423516326624,1.262883045212258,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9148.155898965491,7486.5670027304695,3664.629451089181,2830.7434578213024,8885.123390143028,7271.35858642118,3559.5658978492997,2749.6666759825603
19,520940084,2019-01-02,PVG,LHR,BA168,9244.034182063437,9687.420718345862,41.307,50.899716058039566,1.0479646145340686,1.0479646145340686,1.2322297929658306,0.14482522560704283,1.0378259222167654,1.0378259222167654,1.2415060814442547,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8907.878660905424,7289.976535226776,3568.655077023143,2756.6807296124466,8923.766652812388,7302.975801332475,3575.0012465177992,2761.5780225724056,1.0378259222167654,1.0378259222167654,1.2415060814442547,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8907.878660905424,7289.976535226776,3568.655077023143,2756.6807296124466,8923.766652812388,7302.975801332475,3575.0012465177992,2761.5780225724056
30,521119961,2019-01-03,PVG,LHR,VS251,9244.034182063437,9614.041371705142,41.307,50.66573241295985,1.0400265925411274,1.0400265925411274,1.2265652894899133,0.027900890903467757,1.0452038457967805,1.0452038457967805,1.2466571689127415,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9011.65769716243,7374.88665580069,3610.1077261644355,2788.669438231438,8814.956290849133,7213.949141544357,3531.538925801795,2728.0384649786183,1.0452038457967805,1.0452038457967805,1.2466571689127415,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9011.65769716243,7374.88665580069,3610.1077261644355,2788.669438231438,8814.956290849133,7213.949141544357,3531.538925801795,2728.0384649786183
29,521114415,2019-01-03,PVG,LHR,BA168,9244.034182063437,9616.873046298608,41.307,50.66057980205397,1.04033291708923,1.04033291708923,1.2264405500775648,0.03241294617644728,1.041205486322533,1.041205486322533,1.2384139852847802,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8912.975117717358,7294.14636352745,3570.690764033819,2758.2516545104436,8816.645807954763,7215.331473721691,3532.213772691145,2728.559239427371,1.041205486322533,1.041205486322533,1.2384139852847802,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,8912.975117717358,7294.14636352745,3570.690764033819,2758.2516545104436,8816.645807954763,7215.331473721691,3532.213772691145,2728.559239427371
36,521128768,2019-01-03,PVG,LHR,MU551,9244.034182063437,9508.90673465877,41.307,52.50198475444549,1.028653350623614,1.028653350623614,1.2710190707251914,-0.13962305219099239,1.0256750546516769,1.0256750546516769,1.2747149513150016,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9078.446974272452,7429.532427981618,3636.785488555541,2809.256473931545,9072.004781035197,7424.261542605683,3634.2122715977052,2807.270741072902,1.0256750546516769,1.0256750546516769,1.2747149513150016,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9078.446974272452,7429.532427981618,3636.785488555541,2809.256473931545,9072.004781035197,7424.261542605683,3634.2122715977052,2807.270741072902
51,521308978,2019-01-04,PVG,LHR,MU551,9244.034182063437,9515.297148616224,41.307,52.69839451566567,1.0293446520437075,1.0293446520437075,1.2757739491046474,-0.12944041995641983,1.0271642026376453,1.0271642026376453,1.2728670110200966,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9075.183108382951,7426.861992253844,3635.4817966689957,2808.2504243604903,9120.317073841488,7463.789782174465,3653.509738553854,2822.1624563271134,1.0271642026376453,1.0271642026376453,1.2728670110200966,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9075.183108382951,7426.861992253844,3635.4817966689957,2808.2504243604903,9120.317073841488,7463.789782174465,3653.509738553854,2822.1624563271134
