,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D
4,520869040,2019-01-01,SIN,ZRH,LX177,10308.666419056575,10944.417588780612,24.404123,25.97757096616436,1.061671524121567,1.061671524121567,1.0644746777486886,0.5152978379317332,,,,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,,,,,9922.26920990035,8120.265739299373,3974.9358710715014,3070.6231928481993
5,520878492,2019-01-01,SIN,ZRH,SQ346,10308.666419056575,10587.43553701543,24.404123,30.53181731957672,1.0270422095959493,1.0270422095959493,1.2510925846250127,-0.14458117524876177,,,,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,,,,,9210.74855263432,7538.112474263531,3690.7318812658086,2851.3050357079605
15,521035833,2019-01-02,SIN,ZRH,LX177,10308.666419056575,10849.240210397513,24.404123,25.66325921171472,1.0524387703865974,1.0524387703865974,1.0515952247788096,0.33936306974383884,1.061671524121567,1.061671524121567,1.0644746777486886,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9922.26920990035,8120.265739299373,3974.9358710715014,3070.6231928481993,9865.926666595133,8074.167294776922,3952.4308665581107,3053.2562441305404
16,521041312,2019-01-02,SIN,ZRH,SQ346,10308.666419056575,10673.935879360306,24.404123,26.88665462824033,1.035433240872795,1.035433240872795,1.1017259103406556,0.015314147958854484,1.0270422095959493,1.0270422095959493,1.2510925846250127,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9210.74855263432,7538.112474263531,3690.7318812658086,2851.3050357079605,9594.36224133393,7851.978219563212,3843.959394422528,2969.549596003153
28,521220631,2019-01-03,SIN,ZRH,SQ346,10308.666419056575,10624.857697712268,24.404123,29.82808724856509,1.0306723746605264,1.0306723746605264,1.222256060935486,-0.07540655330458866,1.031237725234372,1.031237725234372,1.1764092474828343,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9395.829982282083,7689.542734884428,3764.659293221705,2908.354283198819,9298.451509384875,7609.86943887762,3725.7632327406045,2878.33847550181
27,521207977,2019-01-03,SIN,ZRH,LX177,10308.666419056575,10725.577882620631,24.404123,27.184964862264643,1.0404428125439538,1.0404428125439538,1.113949674088458,0.11077405688588135,1.0570551472540823,1.0570551472540823,1.0580349512637492,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9894.13964261114,8097.250638790021,3963.7000268645043,3061.952573385475,9613.587768829324,7867.708196604898,3851.6386818255182,2975.4756463817043
38,521386588,2019-01-04,SIN,ZRH,LX177,10308.666419056575,10658.141660319572,24.404123,27.069769071567976,1.033901110682654,1.033901110682654,1.1092293327470926,-0.013881363756708391,1.051517702350706,1.051517702350706,1.0766731922053188,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9799.709156501181,8019.98933197278,3925.981486105811,3032.8454491157854,9563.673553681469,7826.869293302108,3831.701356115892,2960.090156769369
41,521412061,2019-01-04,SIN,ZRH,SQ346,10308.666419056575,10607.470425750294,24.404123,28.30817355524231,1.0289857091642185,1.0289857091642185,1.159975040088198,-0.10754681303875414,1.0310492750430902,1.0310492750430902,1.191691518633718,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9362.803168932862,7662.52079668961,3751.4673331168733,2898.174143288619,9409.546824395075,7700.765605704146,3770.1382364066094,2912.5823439069422
49,521564520,2019-01-05,SIN,ZRH,LX177,10308.666419056575,10636.390060387885,24.404123,26.99079787788468,1.0317910802434618,1.0317910802434618,1.1059933552164394,-0.054089055507722,1.0471135544336931,1.0471135544336931,1.084812227340762,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9740.329366130718,7971.405867124222,3902.2633084748827,3014.542303504436,9551.31726971182,7816.759606417849,3826.7658631439235,2956.281472648042
50,521577481,2019-01-05,SIN,ZRH,SQ346,10308.666419056575,10651.308723127358,24.404123,28.81457687910575,1.0332382764309236,1.0332382764309236,1.1807257683099597,-0.0265120039505973,1.0305333835733723,1.0305333835733723,1.183762398997338,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9374.30600234152,7671.932205842149,3756.061930779537,2901.719760972822,9405.0865755509,7697.116311195279,3768.356671101238,2911.207522885373
