,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,pre_footprint_first_7D,pre_footprint_business_7D,pre_footprint_premium_economy_7D,pre_footprint_economy_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first_7D,actual_footprint_business_7D,actual_footprint_premium_economy_7D,actual_footprint_economy_7D
4,520869040,01/01/2019,SIN,ZRH,LX177,10308.66642,10944.41759,24.404123,25.97757097,1.061671524,1.061671524,1.064474678,0.515297838,,,,9490.310061,7766.844617,3802.397643,2937.476694,,,,,9922.26921,8120.265739,3974.935871,3070.623193,,,,9490.310061,7766.844617,3802.397643,2937.476694,,,,,9922.26921,8120.265739,3974.935871,3070.623193
5,520878492,01/01/2019,SIN,ZRH,SQ346,10308.66642,10587.43554,24.404123,30.53181732,1.02704221,1.02704221,1.251092585,-0.144581175,,,,9490.310061,7766.844617,3802.397643,2937.476694,,,,,9210.748553,7538.112474,3690.731881,2851.305036,,,,9490.310061,7766.844617,3802.397643,2937.476694,,,,,9210.748553,7538.112474,3690.731881,2851.305036
15,521035833,02/01/2019,SIN,ZRH,LX177,10308.66642,10849.24021,24.404123,25.66325921,1.05243877,1.05243877,1.051595225,0.33936307,1.061671524,1.061671524,1.064474678,9490.310061,7766.844617,3802.397643,2937.476694,9922.26921,8120.265739,3974.935871,3070.623193,9865.926667,8074.167295,3952.430867,3053.256244,1.061671524,1.061671524,1.064474678,9490.310061,7766.844617,3802.397643,2937.476694,9922.26921,8120.265739,3974.935871,3070.623193,9865.926667,8074.167295,3952.430867,3053.256244
16,521041312,02/01/2019,SIN,ZRH,SQ346,10308.66642,10673.93588,24.404123,26.88665463,1.035433241,1.035433241,1.10172591,0.015314148,1.02704221,1.02704221,1.251092585,9490.310061,7766.844617,3802.397643,2937.476694,9210.748553,7538.112474,3690.731881,2851.305036,9594.362241,7851.97822,3843.959394,2969.549596,1.02704221,1.02704221,1.251092585,9490.310061,7766.844617,3802.397643,2937.476694,9210.748553,7538.112474,3690.731881,2851.305036,9594.362241,7851.97822,3843.959394,2969.549596
28,521220631,03/01/2019,SIN,ZRH,SQ346,10308.66642,10624.8577,24.404123,29.82808725,1.030672375,1.030672375,1.222256061,-0.075406553,1.031237725,1.031237725,1.176409247,9490.310061,7766.844617,3802.397643,2937.476694,9395.829982,7689.542735,3764.659293,2908.354283,9298.451509,7609.869439,3725.763233,2878.338476,1.031237725,1.031237725,1.176409247,9490.310061,7766.844617,3802.397643,2937.476694,9395.829982,7689.542735,3764.659293,2908.354283,9298.451509,7609.869439,3725.763233,2878.338476
27,521207977,03/01/2019,SIN,ZRH,LX177,10308.66642,10725.57788,24.404123,27.18496486,1.040442813,1.040442813,1.113949674,0.110774057,1.057055147,1.057055147,1.058034951,9490.310061,7766.844617,3802.397643,2937.476694,9894.139643,8097.250639,3963.700027,3061.952573,9613.587769,7867.708197,3851.638682,2975.475646,1.057055147,1.057055147,1.058034951,9490.310061,7766.844617,3802.397643,2937.476694,9894.139643,8097.250639,3963.700027,3061.952573,9613.587769,7867.708197,3851.638682,2975.475646
38,521386588,04/01/2019,SIN,ZRH,LX177,10308.66642,10658.14166,24.404123,27.06976907,1.033901111,1.033901111,1.109229333,-0.013881364,1.051517702,1.051517702,1.076673192,9490.310061,7766.844617,3802.397643,2937.476694,9799.709157,8019.989332,3925.981486,3032.845449,9563.673554,7826.869293,3831.701356,2960.090157,1.051517702,1.051517702,1.076673192,9490.310061,7766.844617,3802.397643,2937.476694,9799.709157,8019.989332,3925.981486,3032.845449,9563.673554,7826.869293,3831.701356,2960.090157
41,521412061,04/01/2019,SIN,ZRH,SQ346,10308.66642,10607.47043,24.404123,28.30817356,1.028985709,1.028985709,1.15997504,-0.107546813,1.031049275,1.031049275,1.191691519,9490.310061,7766.844617,3802.397643,2937.476694,9362.803169,7662.520797,3751.467333,2898.174143,9409.546824,7700.765606,3770.138236,2912.582344,1.031049275,1.031049275,1.191691519,9490.310061,7766.844617,3802.397643,2937.476694,9362.803169,7662.520797,3751.467333,2898.174143,9409.546824,7700.765606,3770.138236,2912.582344
49,521564520,05/01/2019,SIN,ZRH,LX177,10308.66642,10636.39006,24.404123,26.99079788,1.03179108,1.03179108,1.105993355,-0.054089056,1.047113554,1.047113554,1.084812227,9490.310061,7766.844617,3802.397643,2937.476694,9740.329366,7971.405867,3902.263308,3014.542304,9551.31727,7816.759606,3826.765863,2956.281473,1.047113554,1.047113554,1.084812227,9490.310061,7766.844617,3802.397643,2937.476694,9740.329366,7971.405867,3902.263308,3014.542304,9551.31727,7816.759606,3826.765863,2956.281473
50,521577481,05/01/2019,SIN,ZRH,SQ346,10308.66642,10651.30872,24.404123,28.81457688,1.033238276,1.033238276,1.180725768,-0.026512004,1.030533384,1.030533384,1.183762399,9490.310061,7766.844617,3802.397643,2937.476694,9374.306002,7671.932206,3756.061931,2901.719761,9405.086576,7697.116311,3768.356671,2911.207523,1.030533384,1.030533384,1.183762399,9490.310061,7766.844617,3802.397643,2937.476694,9374.306002,7671.932206,3756.061931,2901.719761,9405.086576,7697.116311,3768.356671,2911.207523
