,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,pre_footprint_first_7D,pre_footprint_business_7D,pre_footprint_premium_economy_7D,pre_footprint_economy_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first_7D,actual_footprint_business_7D,actual_footprint_premium_economy_7D,actual_footprint_economy_7D
2,520827976,2019-01-01,ZRH,SIN,SQ345,10308.666419056575,10571.999781767492,24.404123,27.171556185427264,1.0255448524577455,1.0255448524577455,1.1134002309948718,-0.4822433348712097,,,,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,,,,,9477.523333565627,7756.382749570963,3797.2902170582565,2933.5353303984343,,,,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,,,,,9477.523333565627,7756.382749570963,3797.2902170582565,2933.5353303984343
8,520905482,2019-01-01,ZRH,SIN,LX176,10308.666419056575,10567.67631202065,24.404123,27.00096258359598,1.025125450997742,1.025125450997742,1.106409871135135,-0.49384259948283693,,,,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,,,,,9488.883127422123,7765.677126362643,3801.827680172528,2937.036857766133,,,,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,,,,,9488.883127422123,7765.677126362643,3801.827680172528,2937.036857766133
18,521075871,2019-01-02,ZRH,SIN,LX176,10308.666419056575,10652.406972436267,24.404123,27.75674443852597,1.0333448129376126,1.0333448129376126,1.1373793042481375,-0.26652208877574657,1.025125450997742,1.025125450997742,1.106409871135135,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9488.883127422123,7765.677126362643,3801.827680172528,2937.036857766133,9497.364910652292,7772.616767187326,3805.215574269578,2939.6512710629318,1.025125450997742,1.025125450997742,1.106409871135135,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9488.883127422123,7765.677126362643,3801.827680172528,2937.036857766133,9497.364910652292,7772.616767187326,3805.215574269578,2939.6512710629318
13,520974513,2019-01-02,ZRH,SIN,SQ345,10308.666419056575,10623.989134573889,24.404123,27.88774783158932,1.0305881190349129,1.0305881190349129,1.142747388692858,-0.34276317298753095,1.0255448524577455,1.0255448524577455,1.1134002309948718,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9477.523333565627,7756.382749570963,3797.2902170582565,2933.5353303984343,9460.6240895343,7742.556095363516,3790.5401212889255,2928.326330462642,1.0255448524577455,1.0255448524577455,1.1134002309948718,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9477.523333565627,7756.382749570963,3797.2902170582565,2933.5353303984343,9460.6240895343,7742.556095363516,3790.5401212889255,2928.326330462642
28,521255310,2019-01-03,ZRH,SIN,LX176,10308.666419056575,10702.567895346045,24.404123,26.14885977692066,1.0382107112866996,1.0382107112866996,1.071493524963821,-0.1319473485641379,1.0292351319676774,1.0292351319676774,1.1218945876916362,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9493.057924667144,7769.092869563113,3803.495227026646,2938.323691576032,9687.73141174459,7928.371177171934,3881.2540119217856,2998.3295817689377,1.0292351319676774,1.0292351319676774,1.1218945876916362,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9493.057924667144,7769.092869563113,3803.495227026646,2938.323691576032,9687.73141174459,7928.371177171934,3881.2540119217856,2998.3295817689377
24,521151190,2019-01-03,ZRH,SIN,SQ345,10308.666419056575,10966.147077549937,24.404123,33.16510214733688,1.0637794096506936,1.0637794096506936,1.3589958609591044,0.5751987307469913,1.0280664857463293,1.0280664857463293,1.128073809843865,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9468.965684533368,7749.381036726389,3793.87201974594,2930.897532330252,9350.206773274578,7652.214654787379,3746.435931896548,2894.2914474678128,1.0280664857463293,1.0280664857463293,1.128073809843865,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9468.965684533368,7749.381036726389,3793.87201974594,2930.897532330252,9350.206773274578,7652.214654787379,3746.435931896548,2894.2914474678128
40,521437733,2019-01-04,ZRH,SIN,LX176,10308.666419056575,10670.119181060809,24.404123,26.190893716331693,1.0350629991611766,1.0350629991611766,1.0732159363535292,-0.2190027104240198,1.0322269917406848,1.0322269917406848,1.1050942334490312,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9557.3186273262,7821.669808102342,3829.1629963273954,2958.131322935429,9654.565530732769,7901.23545634408,3868.006503767633,2988.1065758320565,1.0322269917406848,1.0322269917406848,1.1050942334490312,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9557.3186273262,7821.669808102342,3829.1629963273954,2958.131322935429,9654.565530732769,7901.23545634408,3868.006503767633,2988.1065758320565
36,521330072,2019-01-04,ZRH,SIN,SQ345,10308.666419056575,10762.151181640584,24.404123,29.620964005266934,1.043990633138123,1.043990633138123,1.2137688375553155,0.027906274712767735,1.0399707937144507,1.0399707937144507,1.205047826882278,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9416.421303082598,7706.390179175758,3772.8841219278197,2914.7013238432955,9435.149640279562,7721.713364155094,3780.364815705926,2920.474120962247,1.0399707937144507,1.0399707937144507,1.205047826882278,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9416.421303082598,7706.390179175758,3772.8841219278197,2914.7013238432955,9435.149640279562,7721.713364155094,3780.364815705926,2920.474120962247
43,521514629,2019-01-05,ZRH,SIN,SQ345,10308.666419056575,10723.085016987628,24.404123,29.840033609958,1.0402009902236198,1.0402009902236198,1.2227455831933811,-0.07690278090790938,1.0409757535703688,1.0409757535703688,1.2072280795505375,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9421.098087715376,7710.2166393298485,3774.7521785169347,2916.1428895610698,9383.193983095838,7679.204190095684,3759.6120730921994,2904.459380040559,1.0409757535703688,1.0409757535703688,1.2072280795505375,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9421.098087715376,7710.2166393298485,3774.7521785169347,2916.1428895610698,9383.193983095838,7679.204190095684,3759.6120730921994,2904.459380040559
50,521609749,2019-01-05,ZRH,SIN,LX176,10308.666419056575,10715.037544067603,24.404123,26.89985881400221,1.039420339012989,1.039420339012989,1.1022669740683662,-0.09849302516079621,1.0329359935958078,1.0329359935958078,1.0971246591751558,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9581.460246292978,7841.422041802433,3838.805927085148,2965.5727026453596,9629.998570808195,7881.135216405792,3858.1936782977596,2980.534089605306,1.0329359935958078,1.0329359935958078,1.0971246591751558,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9581.460246292978,7841.422041802433,3838.805927085148,2965.5727026453596,9629.998570808195,7881.135216405792,3858.1936782977596,2980.534089605306
55,521677698,2019-01-06,ZRH,SIN,SQ345,10308.666419056575,10704.667276250088,24.404123,29.88012552252785,1.0384143633226373,1.0384143633226373,1.2243884167658003,-0.12631500323678133,1.040820800901019,1.040820800901019,1.2103315802791061,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9413.46410350756,7703.970652250728,3771.7029223248355,2913.7898006788314,9363.894932034815,7663.414057409393,3751.903418037711,2898.5106668583976,1.040820800901019,1.040820800901019,1.2103315802791061,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9413.46410350756,7703.970652250728,3771.7029223248355,2913.7898006788314,9363.894932034815,7663.414057409393,3751.903418037711,2898.5106668583976
72,521947786,2019-01-07,ZRH,SIN,LX176,10308.666419056575,10656.458993249797,24.404123,27.084081165307246,1.0337378822880805,1.0337378822880805,1.109815794868238,-0.2556510836849199,1.034232862679244,1.034232862679244,1.0981531221537977,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9591.176216064954,7849.371471615869,3842.686794556568,2968.567539918824,9560.8797083012,7824.583419809161,3830.585405375932,2959.228985679144,1.034232862679244,1.034232862679244,1.0981531221537977,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9591.176216064954,7849.371471615869,3842.686794556568,2968.567539918824,9560.8797083012,7824.583419809161,3830.585405375932,2959.228985679144
70,521847715,2019-01-07,ZRH,SIN,SQ345,10308.666419056575,10694.067085868774,24.404123,29.80905304103464,1.037386083819702,1.037386083819702,1.2214761022567635,-0.15475383139241033,1.0404197279712888,1.0404197279712888,1.2126743863602218,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9405.15804886497,7697.174789361336,3768.385219817029,2911.2295537222376,9360.375694596674,7660.534681323638,3750.497722629181,2897.4259019094247,1.0404197279712888,1.0404197279712888,1.2126743863602218,9490.310060628077,7766.844617167514,3802.397642697406,2937.4766937117183,9405.15804886497,7697.174789361336,3768.385219817029,2911.2295537222376,9360.375694596674,7660.534681323638,3750.497722629181,2897.4259019094247
