,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
132,783739467,2023-01-01,BKK,CPH,TG950,8639.395948887284,9819.96503032642,34.6495003700258,31.42853383922401,1.136649493601597,1.136649493601597,0.907041472563681,,,,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,,,,,8374.038193928794,6853.008679553766,3354.7969542587775,2591.410275955052
138,783883113,2023-01-02,BKK,CPH,TG950,8639.395948887284,9638.101378096855,34.6495003700258,32.27200468275539,1.1155989880679331,1.1155989880679331,0.931384416459664,1.136649493601597,1.136649493601597,0.907041472563681,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8374.038193928794,6853.008679553766,3354.7969542587775,2591.410275955052,8168.011140061777,6684.441090026205,3272.5031935380302,2527.9047778170648
141,784074175,2023-01-03,BKK,CPH,TG950,8639.395948887284,9617.537189097966,34.6495003700258,32.6689121807717,1.1132187071871225,1.1132187071871225,0.942839343479612,1.126124240834765,1.126124240834765,0.9192129445116725,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8270.316495983101,6768.145472143652,3313.367207863423,2559.43924121895,8127.817991856624,6651.555786949262,3256.4487712719947,2515.5156966231466
146,784237108,2023-01-04,BKK,CPH,TG950,8639.395948887284,9592.313987352343,34.6495003700258,32.62968760122714,1.110299151017357,1.110299151017357,0.941707304658686,1.121822396285551,1.121822396285551,0.9270884108343189,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8222.287170166383,6728.848751020882,3294.182766926404,2544.6347473237397,8108.776872049677,6635.976688925397,3248.8431421672885,2509.6464878190172
152,784393622,2023-01-05,BKK,CPH,TG950,8639.395948887284,9802.743130542978,34.6495003700258,34.53943457902309,1.1346560787974451,1.1346560787974451,0.9968234522914527,1.1189415849685025,1.1189415849685025,0.9307431342904107,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8193.719806876521,6705.475453783723,3282.772053066875,2535.8291822187684,8187.304571805984,6700.226625089647,3280.209604058586,2533.8517589086737
157,784598271,2023-01-06,BKK,CPH,TG950,8639.395948887284,9860.81339868398,34.6495003700258,31.90448242724883,1.1413776445740988,1.1413776445740988,0.920777560615229,1.122084483734291,1.122084483734291,0.9439591978906192,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8190.150000280916,6702.554702932774,3281.3461587278343,2534.7288299016573,8378.627942832509,6856.763928656804,3356.630246008385,2592.8250138983835
163,784792314,2023-01-07,BKK,CPH,TG950,8639.395948887284,9620.688402130136,34.6495003700258,32.65965794844077,1.1135834564185283,1.1135834564185283,0.9425722622163296,1.1253000105409257,1.1253000105409257,0.9400955916780541,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8221.199598461933,6727.958919626334,3293.748356183093,2544.2995157046134,8130.995067406258,6654.155212398965,3257.717796335287,2516.494994058191
171,784956132,2023-01-08,BKK,CPH,TG950,8639.395948887284,9668.873723187611,34.6495003700258,32.398493961209255,1.1191608511047488,1.1191608511047488,0.9350349533246424,1.1236262170948688,1.1236262170948688,0.9404494017549505,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8208.304388953642,6717.408293665003,3288.597599203361,2540.3247139101536,8186.603881437396,6699.653332969894,3279.9297260306785,2533.6357790649467
174,785135171,2023-01-09,BKK,CPH,TG950,8639.395948887284,9614.71637253774,34.6495003700258,32.257677001986146,1.112892200961813,1.112892200961813,0.9309709132167244,1.1230680463461038,1.1230680463461038,0.9397725957011621,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8205.585654164282,6715.183874291892,3287.5116500232925,2539.486694806047,8149.093153905436,6668.9627377164725,3264.9467479312652,2522.0735235614884
179,785310797,2023-01-10,BKK,CPH,TG950,8639.395948887284,9623.596063670642,34.6495003700258,32.41338031353903,1.1139200148489683,1.1139200148489683,0.9354645800774326,1.1200983847661308,1.1200983847661308,0.9427637757827925,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8178.042615627611,6692.648660943706,3276.510084062338,2530.9968661661924,8147.522144429338,6667.677366326938,3264.3192367598467,2521.589277742861
0,785506020,2023-01-11,BKK,CPH,TG950,8639.395948887284,9846.625936244409,34.6495003700258,31.269945598242792,1.1397354623516949,1.1397354623516949,0.902464545355853,,,,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,,,,,8406.99062369209,6879.969758451008,3367.9592031926386,2601.5674879701583
2,785695333,2023-01-12,BKK,CPH,TG950,8639.395948887284,9913.93711388581,34.6495003700258,31.165231147402487,1.1475266526200458,1.1475266526200458,0.8994424397057845,1.1397354623516949,1.1397354623516949,0.902464545355853,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8406.99062369209,6879.969758451008,3367.9592031926386,2601.5674879701583,8471.196232271577,6932.501620016042,3393.6049661650122,2621.358137205597
6,785857066,2023-01-13,BKK,CPH,TG950,8639.395948887284,9613.106425104912,34.6495003700258,32.30714031499893,1.1127058514250685,1.1127058514250685,0.9323984464418664,1.1436310574858704,1.1436310574858704,0.9009534925308187,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8439.074986497195,6906.220600746094,3380.7747185630874,2611.4571282098004,8144.838875659794,6665.481964606401,3263.2474538365564,2520.76219063634
11,786057173,2023-01-14,BKK,CPH,TG950,8639.395948887284,9821.36711547948,34.6495003700258,31.5693178550973,1.1368117833220075,1.1368117833220075,0.9111045619118632,1.133322655465603,1.133322655465603,0.9114351438345013,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8339.901960876874,6825.0790343294675,3341.1618566249704,2580.8881700285365,8366.229122758927,6846.619439505691,3351.677762763085,2589.0032185063847
16,786217467,2023-01-15,BKK,CPH,TG950,8639.395948887284,9868.338709836104,34.6495003700258,31.626058082822087,1.1422486905588696,1.1422486905588696,0.9127421101338824,1.1341949374297042,1.1341949374297042,0.9113524983538418,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8346.483269775641,6830.463741610277,3343.790640804421,2582.91678370898,8402.50594817187,6876.300478479919,3366.167881095642,2600.1851377032726
21,786387298,2023-01-16,BKK,CPH,TG950,8639.395948887284,9860.995916889076,34.6495003700258,31.28998667491101,1.141398770843363,1.141398770843363,0.9030429397469464,1.1358056880555372,1.1358056880555372,0.91163042070985,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8357.690317623583,6839.633144394956,3348.2670923027745,2586.3712288552915,8417.914836737073,6888.907750942357,3372.3226814714017,2604.9347525024896
25,786570934,2023-01-17,BKK,CPH,TG950,8639.395948887284,9863.99750578341,34.6495003700258,31.40013724792219,1.1417462012554072,1.1417462012554072,0.9062219343019868,1.1367378685201748,1.1367378685201748,0.9101991738826993,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8367.683701335456,6847.809549250125,3352.2587677285965,2589.4515758232983,8413.311215658057,6885.141151877708,3370.48384873359,2603.5157386187593
30,786742203,2023-01-18,BKK,CPH,TG950,8639.395948887284,9829.688070186385,34.6495003700258,31.304628739803487,1.1377749241198285,1.1377749241198285,0.9034655162555864,1.137453344625208,1.137453344625208,0.9096309967997404,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8374.191281552306,6853.133933063911,3354.858102326577,2591.457463475367,8390.31593266559,6866.326829429324,3361.2988010383033,2596.4277039463645
35,786931747,2023-01-19,BKK,CPH,TG950,8639.395948887284,9824.286237850703,34.6495003700258,31.12289122601356,1.1371496683302298,1.1371496683302298,0.8982204907328765,1.1374935420620356,1.1374935420620356,0.9088603117317211,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8376.193910081707,6854.772447315239,3355.6580158812185,2592.0747509624125,8397.599010424281,6872.285711231892,3364.2078940294177,2598.6726299032343
40,787136648,2023-01-20,BKK,CPH,TG950,8639.395948887284,9723.184641536114,34.6495003700258,31.888257881612454,1.125447276529607,1.125447276529607,0.920309313008103,1.1371703178093524,1.1371703178093524,0.9083298049038491,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8374.998018479386,6853.793990549704,3355.1803387241553,2591.706130965674,8263.027316304828,6762.1815978614295,3310.455677571477,2557.1924344147096
45,787324304,2023-01-21,BKK,CPH,TG950,8639.395948887284,9628.407078445924,34.6495003700258,31.90882901907029,1.1144768841953612,1.1144768841953612,0.9209030051894666,1.1344103957980476,1.1344103957980476,0.9109381640666389,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8348.974829812276,6832.5022907311595,3344.785849159963,2583.6847787770907,8181.477633297041,6695.459129945967,3277.8821394155257,2532.0556713285027
49,787456879,2023-01-22,BKK,CPH,TG950,8639.395948887284,9733.432825188936,34.6495003700258,32.81912668734761,1.1266334918290852,1.1266334918290852,0.9471746009861204,1.1346317748943342,1.1346317748943342,0.9095012339100889,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8353.766480989647,6836.422732603554,3346.699787101833,2585.1617508019335,8216.957258442713,6724.487914156063,3292.0538305958707,2542.9918626020976
54,787637260,2023-01-23,BKK,CPH,TG950,8639.395948887284,9661.113042115858,34.6495003700258,32.41855360331344,1.1182625613264277,1.1182625613264277,0.93561388352248,1.133359488457719,1.133359488457719,0.9140099887943711,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8334.542646143127,6820.694140456402,3339.0211757966617,2579.236222163163,8178.887401922391,6693.339849730345,3276.847518588038,2531.257261941714
