,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D
132,783739467,2023-01-01,BKK,CPH,TG950,8639.395948887284,9819.96503032642,34.6495003700258,31.42853383922401,1.136649493601597,1.136649493601597,0.907041472563681,0.4463197656110469,,,,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,,,,,8389.779188893175,6865.887675433714,3361.0844084973905,2596.262258777879
138,783883113,2023-01-02,BKK,CPH,TG950,8639.395948887284,9638.101378096855,34.6495003700258,32.27200468275539,1.1155989880679331,1.1155989880679331,0.931384416459664,-0.17326473191346262,1.136649493601597,1.136649493601597,0.907041472563681,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,8389.779188893175,6865.887675433714,3361.0844084973905,2596.262258777879,8183.363704344176,6697.002278984533,3278.6354962031023,2532.6370312961562
141,784074175,2023-01-03,BKK,CPH,TG950,8639.395948887284,9617.537189097966,34.6495003700258,32.6689121807717,1.1132187071871225,1.1132187071871225,0.942839343479612,-0.24332410085098186,1.126124240834765,1.126124240834765,0.9192129445116725,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,8285.861940464605,6780.864472173973,3319.5765530171147,2564.230947827595,8143.09477845995,6664.054975988347,3262.550805920937,2520.224592493774
146,784237108,2023-01-04,BKK,CPH,TG950,8639.395948887284,9592.313987352343,34.6495003700258,32.62968760122714,1.110299151017357,1.110299151017357,0.941707304658686,-0.3292560866432495,1.121822396285551,1.121822396285551,0.9270884108343189,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,8237.742063123549,6741.493663440383,3300.35594292009,2549.398542454003,8124.0177597018055,6648.446506095319,3254.9308376328827,2514.34431824588
152,784393622,2023-01-05,BKK,CPH,TG950,8639.395948887284,9802.743130542978,34.6495003700258,34.53943457902309,1.1346560787974451,1.1346560787974451,0.9968234522914527,0.38764711721249584,1.1189415849685025,1.1189415849685025,0.9307431342904107,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,8209.120840691423,6718.07629963228,3288.9237160054404,2540.576375880464,8202.693510732923,6712.817575120779,3286.356435914062,2538.595224458597
157,784598271,2023-01-06,BKK,CPH,TG950,8639.395948887284,9860.81339868398,34.6495003700258,31.90448242724883,1.1413776445740988,1.1413776445740988,0.920777560615229,0.5854845490806277,1.122084483734291,1.122084483734291,0.9439591978906192,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,8205.544303802953,6715.150042178077,3287.4951333732847,2539.4739490270576,8394.377591025983,6869.650004451464,3362.9211566220283,2597.679663980747
163,784792314,2023-01-07,BKK,CPH,TG950,8639.395948887284,9620.688402130136,34.6495003700258,32.65965794844077,1.1135834564185283,1.1135834564185283,0.9425722622163296,-0.23258835063815167,1.1253000105409257,1.1253000105409257,0.9400955916780541,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,8236.652440978585,6740.602154412684,3299.920713165596,2549.062678809887,8146.277843871592,6666.659302234238,3263.8222235257012,2521.2057362357154
171,784956132,2023-01-08,BKK,CPH,TG950,8639.395948887284,9668.873723187611,34.6495003700258,32.398493961209255,1.1191608511047488,1.1191608511047488,0.9350349533246424,-0.06842757651178893,1.1236262170948688,1.1236262170948688,0.9404494017549505,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,8223.732919638765,6730.031636952833,3294.7602452667934,2545.0803831696303,8201.991499325992,6712.243202151472,3286.0760302214076,2538.378837419813
174,785135171,2023-01-09,BKK,CPH,TG950,8639.395948887284,9614.71637253774,34.6495003700258,32.257677001986146,1.112892200961813,1.112892200961813,0.9309709132167244,-0.25293423563960094,1.1230680463461038,1.1230680463461038,0.9397725957011621,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,8221.009059114758,6727.803023796827,3293.672248705216,2544.240784116066,8164.410051385217,6681.494744745385,3271.0648041405184,2526.7947831539773
179,785310797,2023-01-10,BKK,CPH,TG950,8639.395948887284,9623.596063670642,34.6495003700258,32.41338031353903,1.1139200148489683,1.1139200148489683,0.9354645800774326,-0.22268234692350064,1.1219373968589603,1.1219373968589603,0.9387946309806691,7227.814210320173,5915.189056601257,2896.958624442378,2238.099758280235,8214.710416497444,6722.649588928115,3291.156370432504,2542.299299104763,8162.8360800248865,6680.206949996023,3270.4361098982954,2526.309624368194
