,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
129,783707815,2023-01-01,CPH,BKK,TG951,8639.395948887284,9642.113837158817,34.6495003700258,33.421824916400055,1.116063425522322,1.116063425522322,0.964568740082389,,,,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,,,,,8107.640513896476,6635.046941345505,3248.3892445640495,2509.296218331453
136,783853353,2023-01-02,CPH,BKK,TG951,8639.395948887284,9717.387439386905,34.6495003700258,32.621042973783574,1.1247762571454385,1.1247762571454385,0.9414578168637324,1.116063425522322,1.116063425522322,0.964568740082389,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8107.640513896476,6635.046941345505,3248.3892445640495,2509.296218331453,8214.676810181632,6722.622092851542,3291.142947000678,2542.2889403398044
140,784025330,2023-01-03,CPH,BKK,TG951,8639.395948887284,9697.018229421134,34.6495003700258,32.707579498521504,1.1224185448601955,1.1224185448601955,0.9439552994771552,1.1204198413338804,1.1204198413338804,0.9530132784730607,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8160.59391633419,6678.372452430907,3269.5405183786593,2525.618502889669,8192.588570784035,6704.5498969807795,3282.320201377659,2535.4804915482146
145,784190986,2023-01-04,CPH,BKK,TG951,8639.395948887284,9658.630906219983,34.6495003700258,32.9510751907257,1.1179752569928192,1.1179752569928192,0.9509826935118132,1.121086075842652,1.121086075842652,0.9499939521410923,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8171.1873773735015,6687.039829644889,3273.7718837824295,2528.883816874798,8146.696029136852,6667.001453814903,3263.989260026541,2521.3346370916256
150,784365303,2023-01-05,CPH,BKK,TG951,8639.395948887284,9742.949378171275,34.6495003700258,32.269451681574,1.1277350217321762,1.1277350217321762,0.931310735709462,1.1203083711301938,1.1203083711301938,0.9502411374837725,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8165.062904262488,6682.028897099515,3271.3255743522923,2526.996017634614,8256.747713393315,6757.0437409338265,3307.947404363071,2555.256818176359
156,784549834,2023-01-06,CPH,BKK,TG951,8639.395948887284,9723.189993547508,34.6495003700258,32.92992105826365,1.125447896018681,1.125447896018681,0.9503721758351904,1.1217937012505903,1.1217937012505903,0.9464550571289104,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8183.162165650487,6696.837383689694,3278.5549952362476,2532.5749092840388,8202.154919770244,6712.376909787678,3286.1413055465828,2538.4292099147024
160,784735941,2023-01-07,CPH,BKK,TG951,8639.395948887284,9750.292570960866,34.6495003700258,32.85044563272361,1.1285849877289929,1.1285849877289929,0.9480784796868676,1.1224027337119387,1.1224027337119387,0.9471079102466238,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8186.323525576665,6699.423950902023,3279.8177429794887,2533.5493625567387,8229.387543073623,6734.658147035898,3297.0188817865114,2546.82335658634
168,784907742,2023-01-08,CPH,BKK,TG951,8639.395948887284,9743.839684974491,34.6495003700258,32.73619195550478,1.1278380737057727,1.1278380737057727,0.9447810677184784,1.1232859128572321,1.1232859128572321,0.9472465630238014,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8192.47638913353,6704.458111994003,3282.275392457032,2535.4459128292383,8230.400452560296,6735.486891161358,3297.4234700644274,2547.1355744252724
176,785085271,2023-01-09,CPH,BKK,TG951,8639.395948887284,9654.506257867832,34.6495003700258,33.08636200285495,1.1174978337590016,1.1174978337590016,0.9548871311136402,1.1238549329632996,1.1238549329632996,0.946938376110636,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8197.21243395764,6708.333057759184,3284.167119452117,2536.9057448275794,8135.848427312917,6658.126143231684,3259.656382707094,2517.9909870976007
178,785269139,2023-01-10,CPH,BKK,TG951,8639.395948887284,9801.568252345754,34.6495003700258,32.832674065679555,1.134520088017051,1.134520088017051,0.9475655843534784,1.1240342339928846,1.1240342339928846,0.9457281749895424,7214.25978992432,5904.099076277377,2891.5445576592624,2233.921762220718,8200.873713530278,6711.3286501367975,3285.629551008688,2538.0342926503954,8273.537146420329,6770.780549774112,3314.6536381232927,2560.4319701179247
