,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,pre_footprint_first_7D,pre_footprint_business_7D,pre_footprint_premium_economy_7D,pre_footprint_economy_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first_7D,actual_footprint_business_7D,actual_footprint_premium_economy_7D,actual_footprint_economy_7D
623,783653464,2023-01-01,ICN,FRA,OZ541,8546.290590793822,10268.884450539948,43.749671,43.39329674699692,1.2015604128417685,1.2015604128417685,0.9918542415323972,0.32494554748849447,,,,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,,,,,8549.88445375617,6996.853744000835,3424.939265595579,2645.501987733919,,,,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,,,,,8549.88445375617,6996.853744000835,3424.939265595579,2645.501987733919
624,783664760,2023-01-01,ICN,FRA,KE945,8546.290590793822,10237.95710934679,43.749671,43.50511192606435,1.1979416099395512,1.1979416099395512,0.9944100362735152,0.3131288536359774,,,,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,,,,,8529.906775282223,6980.50837070397,3416.959545159679,2639.3440953633985,,,,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,,,,,8529.906775282223,6980.50837070397,3416.959545159679,2639.3440953633985
625,783666579,2023-01-01,ICN,FRA,KE513,8546.290590793822,10244.123380405388,43.749671,43.43721297446068,1.198663124261243,1.198663124261243,0.9928580485659122,0.3154848575632473,1.1979416099395512,1.1979416099395512,0.9944100362735152,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8529.906775282223,6980.50837070397,3416.959545159679,2639.3440953633985,8531.545002085406,6981.848738088393,3417.6139050702677,2639.8490601592657,1.1979416099395512,1.1979416099395512,0.9944100362735152,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8529.906775282223,6980.50837070397,3416.959545159679,2639.3440953633985,8531.545002085406,6981.848738088393,3417.6139050702677,2639.8490601592657
626,783674185,2023-01-01,ICN,FRA,LH8409,8546.290590793822,10237.253319677446,43.749671,43.61647377076876,1.1978592596307398,1.1978592596307398,0.996955469008413,0.3128599502405236,,,,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,,,,,8535.182579833385,6984.824938064011,3419.0668693639204,2640.9703021639693,,,,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,,,,,8535.182579833385,6984.824938064011,3419.0668693639204,2640.9703021639693
648,783802279,2023-01-02,ICN,FRA,LH8441,8546.290590793822,10253.85769174598,43.749671,43.44324851871772,1.1998021343659404,1.1998021343659404,0.9929960049006477,0.31920413547525534,1.1978592596307398,1.1978592596307398,0.996955469008413,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8535.182579833385,6984.824938064011,3419.0668693639204,2640.9703021639693,8539.935711307597,6988.713863815638,3420.9654213107224,2642.4354009280373,1.1978592596307398,1.1978592596307398,0.996955469008413,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8535.182579833385,6984.824938064011,3419.0668693639204,2640.9703021639693,8539.935711307597,6988.713863815638,3420.9654213107224,2642.4354009280373
649,783803054,2023-01-02,ICN,FRA,LH713,8546.290590793822,10211.876903702963,43.749671,43.5349087463421,1.1948899695387534,1.1948899695387534,0.9950911115729784,0.3031641494676169,1.19883069699834,1.19883069699834,0.9949757369545303,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8537.50655021333,6986.726368374873,3419.9951370781823,2641.6866396248324,8509.786618259863,6964.046424049311,3408.9229142581326,2633.1422855994033,1.19883069699834,1.19883069699834,0.9949757369545303,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8537.50655021333,6986.726368374873,3419.9951370781823,2641.6866396248324,8509.786618259863,6964.046424049311,3408.9229142581326,2633.1422855994033
646,783782715,2023-01-02,ICN,FRA,OZ541,8546.290590793822,10303.357388137763,43.749671,43.35985195971539,1.2055940853727436,1.2055940853727436,0.9910897835029524,0.33811693998700026,1.2015604128417685,1.2015604128417685,0.9918542415323972,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8549.88445375617,6996.853744000835,3424.939265595579,2645.501987733919,8576.824865766444,7018.895899281969,3435.7001233474098,2653.8060635950405,1.2015604128417685,1.2015604128417685,0.9918542415323972,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8549.88445375617,6996.853744000835,3424.939265595579,2645.501987733919,8576.824865766444,7018.895899281969,3435.7001233474098,2653.8060635950405
678,783971898,2023-01-03,ICN,FRA,LH8441,8546.290590793822,10228.642449350453,43.749671,43.68620623200801,1.1968517031668546,1.1968517031668546,0.9985493658228428,0.30956991577482873,1.1975171211784779,1.1975171211784779,0.9950141951606796,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8528.266723096525,6979.166509824762,3416.3044561332317,2638.838567914114,8531.785763390399,6982.045724610658,3417.7100727960687,2639.9232720956056,1.1975171211784779,1.1975171211784779,0.9950141951606796,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8528.266723096525,6979.166509824762,3416.3044561332317,2638.838567914114,8531.785763390399,6982.045724610658,3417.7100727960687,2639.9232720956056
677,783955108,2023-01-03,ICN,FRA,KE945,8546.290590793822,10220.18314081467,43.749671,43.52933528369082,1.1958618809222317,1.1958618809222317,0.9949637171829434,0.3063377899174194,1.1992942485403708,1.1992942485403708,0.9944145686013018,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8539.520572072885,6988.374204441783,3420.7996014914024,2642.307438976429,8516.397867552216,6969.455628015781,3411.563657583431,2635.180128065939,1.1992942485403708,1.1992942485403708,0.9944145686013018,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8539.520572072885,6988.374204441783,3420.7996014914024,2642.307438976429,8516.397867552216,6969.455628015781,3411.563657583431,2635.180128065939
667,783951131,2023-01-03,ICN,FRA,OZ541,8546.290590793822,10340.038269815228,43.749671,43.456684862063305,1.2098861090627615,1.2098861090627615,0.993303123629508,0.35213194199819414,1.203577249107256,1.203577249107256,0.9914720125176748,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8563.353978677624,7007.874264391115,3430.319422424999,2649.653815728173,8612.195247310616,7047.835302363564,3449.828179157383,2664.708581769877,1.203577249107256,1.203577249107256,0.9914720125176748,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8563.353978677624,7007.874264391115,3430.319422424999,2649.653815728173,8612.195247310616,7047.835302363564,3449.828179157383,2664.708581769877
666,783948248,2023-01-03,ICN,FRA,KE517,8546.290590793822,10266.470965928982,43.749671,43.57360574121661,1.2012780114203183,1.2012780114203183,0.995975620964478,0.32402340521355943,1.1983023671003972,1.1983023671003972,0.9936340424197136,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8530.717804820495,6981.171940326191,3417.283496162749,2639.5940860023256,8557.187383726867,7002.828868522314,3427.8562881918288,2647.7530329095457,1.1983023671003972,1.1983023671003972,0.9936340424197136,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8530.717804820495,6981.171940326191,3417.283496162749,2639.5940860023256,8557.187383726867,7002.828868522314,3427.8562881918288,2647.7530329095457
683,784119680,2023-01-04,ICN,FRA,OZ541,8546.290590793822,10278.425032156769,43.749671,43.43912323611975,1.2026767546646289,1.2026767546646289,0.9929017120178972,0.3285908053021812,1.2056802024257578,1.2056802024257578,0.9920823828882859,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8579.618991802761,7021.182002402591,3436.8161861903245,2654.6673211943025,8560.126873921701,7005.233905954452,3429.030414104878,2648.6590973588054,1.2056802024257578,1.2056802024257578,0.9920823828882859,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8579.618991802761,7021.182002402591,3436.8161861903245,2654.6673211943025,8560.126873921701,7005.233905954452,3429.030414104878,2648.6590973588054
695,784125077,2023-01-04,ICN,FRA,KE539,8546.290590793822,10256.740898991906,43.749671,43.612633719849846,1.2001394979525508,1.2001394979525508,0.9968676957559256,0.32030574899986075,1.1984361566358361,1.1984361566358361,0.9945518557467122,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8533.739756171797,6983.644445977257,3418.4905596854564,2640.525568166008,8551.177479575454,6997.911674216614,3425.455741249531,2645.9005482492375,1.1984361566358361,1.1984361566358361,0.9945518557467122,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8533.739756171797,6983.644445977257,3418.4905596854564,2640.525568166008,8551.177479575454,6997.911674216614,3425.455741249531,2645.9005482492375
696,784132019,2023-01-04,ICN,FRA,LH8441,8546.290590793822,10312.959701620097,43.749671,42.65854983036312,1.206717650430627,1.206717650430627,0.975059900001605,0.34178578426261913,1.197350766675572,1.197350766675572,0.9958979878262204,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8529.11360939308,6979.859416794672,3416.642729466458,2639.0996109913185,8553.354036595638,6999.692493596764,3426.3251273774795,2646.571447217107,1.197350766675572,1.197350766675572,0.9958979878262204,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8529.11360939308,6979.859416794672,3416.642729466458,2639.0996109913185,8553.354036595638,6999.692493596764,3426.3251273774795,2646.571447217107
697,784140336,2023-01-04,ICN,FRA,LH713,8546.290590793822,10278.229281546066,43.749671,42.7292082568443,1.202653849919158,1.202653849919158,0.9766749618950118,0.32851601306499306,1.1992241434265831,1.1992241434265831,0.9917303702612974,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8533.036707564414,6983.069224389397,3418.2097397019397,2640.3088614219714,8527.467210731416,6978.512363344218,3415.985105455578,2638.592127312936,1.1992241434265831,1.1992241434265831,0.9917303702612974,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8533.036707564414,6983.069224389397,3418.2097397019397,2640.3088614219714,8527.467210731416,6978.512363344218,3415.985105455578,2638.592127312936
708,784288479,2023-01-05,ICN,FRA,OZ541,8546.290590793822,10289.773213338953,43.749671,43.42795267840621,1.204004603403403,1.204004603403403,0.9926463830643713,0.33292670931589013,1.2049293404854757,1.2049293404854757,0.9922872151706887,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8574.745010692344,7017.194199675885,3434.8693630536072,2653.1649719031657,8568.981134576623,7012.478301035751,3432.56708753693,2651.388322589087,1.2049293404854757,1.2049293404854757,0.9922872151706887,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8574.745010692344,7017.194199675885,3434.8693630536072,2653.1649719031657,8568.981134576623,7012.478301035751,3432.56708753693,2651.388322589087
716,784314488,2023-01-05,ICN,FRA,LH8409,8546.290590793822,10226.70293328742,43.749671,43.565583968955856,1.196624760724116,1.196624760724116,0.995792264791108,0.30882886702460643,1.1997957611753456,1.1997957611753456,0.9892211355335832,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8531.679230968082,6981.958561719672,3417.6675203569275,2639.890434687022,8523.713370842037,6975.441039798364,3414.4857023633995,2637.435048824307,1.1997957611753456,1.1997957611753456,0.9892211355335832,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8531.679230968082,6981.958561719672,3417.6675203569275,2639.890434687022,8523.713370842037,6975.441039798364,3414.4857023633995,2637.435048824307
742,784494327,2023-01-06,ICN,FRA,LH8441,8546.290590793822,10300.434029580563,43.749671,43.56582194578313,1.20525202368807,1.20525202368807,0.9957977043023508,0.33699998548141186,1.1993427611108842,1.1993427611108842,0.9901598682846581,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8530.470706716704,6980.969769150363,3417.184797317883,2639.517920819765,8585.000911547553,7025.585391284694,3438.965896179296,2656.326236797456,1.1993427611108842,1.1993427611108842,0.9901598682846581,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8530.470706716704,6980.969769150363,3417.184797317883,2639.517920819765,8585.000911547553,7025.585391284694,3438.965896179296,2656.326236797456
741,784488713,2023-01-06,ICN,FRA,KE945,8546.290590793822,10279.53724762852,43.749671,43.416054799841774,1.20280689480671,1.20280689480671,0.9923744295092362,0.32901575970241964,1.198776824899179,1.198776824899179,0.9950150237485549,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8537.21375361748,6986.486807523724,3419.8781848015446,2641.5963884013963,8559.87762624245,7005.0299760350645,3428.9308566511777,2648.582269594036,1.198776824899179,1.198776824899179,0.9950150237485549,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8537.21375361748,6986.486807523724,3419.8781848015446,2641.5963884013963,8559.87762624245,7005.0299760350645,3428.9308566511777,2648.582269594036
758,784649460,2023-01-06,ICN,FRA,LH8435,8546.290590793822,10246.72803336925,43.749671,43.47134222609429,1.198967894258962,1.198967894258962,0.993638151612484,0.31648004128996293,1.2000814189330324,1.2000814189330324,0.9908645977868697,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8537.230627151665,6986.500613142605,3419.8849246279838,2641.601589476564,8535.45119586882,6985.044714820277,3419.174163155347,2641.053100004437,1.2000814189330324,1.2000814189330324,0.9908645977868697,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8537.230627151665,6986.500613142605,3419.8849246279838,2641.601589476564,8535.45119586882,6985.044714820277,3419.174163155347,2641.053100004437
766,784685353,2023-01-07,ICN,FRA,LH713,8546.290590793822,10243.865949112373,43.749671,43.59159428107962,1.1986330022696867,1.1986330022696867,0.9963867906819144,0.3153864984201634,1.2001306468095176,1.2001306468095176,0.9917556977842172,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8539.523782445973,6988.376831110673,3420.8008838165624,2642.3084285374516,8539.353495043057,6988.237505053744,3420.732865609602,2642.2559393805873,1.2001306468095176,1.2001306468095176,0.9917556977842172,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8539.523782445973,6988.376831110673,3420.8008838165624,2642.3084285374516,8539.353495043057,6988.237505053744,3420.732865609602,2642.2559393805873
776,784757294,2023-01-07,ICN,FRA,LH8385,8546.290590793822,10309.543197592702,43.749671,43.10548060573946,1.206317885878849,1.206317885878849,0.9852755374032288,0.3404804091291581,1.1997706902414926,1.1997706902414926,0.9924354630461654,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8538.46761702306,6987.5126957646535,3420.3790177413866,2641.9828775477185,8569.727079328037,7013.088619468726,3432.86504160525,2651.618251582065,1.1997706902414926,1.1997706902414926,0.9924354630461654,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8538.46761702306,6987.5126957646535,3420.3790177413866,2641.9828775477185,8569.727079328037,7013.088619468726,3432.86504160525,2651.618251582065
765,784674355,2023-01-07,ICN,FRA,LH8391,8546.290590793822,10269.968201634603,43.749671,43.61851140847207,1.201687222371955,1.201687222371955,0.997002043934732,0.3253596262422381,1.199957693969247,1.199957693969247,0.9911727704341602,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8537.02264956183,6986.33044966001,3419.8018517611345,2641.5374827478795,8562.48853981755,7007.166178051057,3429.9737386075967,2649.3870540340886,1.199957693969247,1.199957693969247,0.9911727704341602,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8537.02264956183,6986.33044966001,3419.8018517611345,2641.5374827478795,8562.48853981755,7007.166178051057,3429.9737386075967,2649.3870540340886
763,784663686,2023-01-07,ICN,FRA,OZ541,8546.290590793822,10286.209599679358,43.749671,43.4004385055358,1.2035876255787277,1.2035876255787277,0.9920174829551474,0.33156512665150656,1.2047443930690611,1.2047443930690611,0.9923590487494252,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8573.592037856828,7016.25085826501,3434.408829017603,2652.809581128582,8564.627752851004,7008.916443260246,3430.828208359027,2650.046442142412,1.2047443930690611,1.2047443930690611,0.9923590487494252,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8573.592037856828,7016.25085826501,3434.408829017603,2652.809581128582,8564.627752851004,7008.916443260246,3430.828208359027,2650.046442142412
775,784685904,2023-01-07,ICN,FRA,LH8441,8546.290590793822,10232.549038825717,43.749671,43.54325077859971,1.1973088125330482,1.1973088125330482,0.9952817880298966,0.31106254236527325,1.1999944973058965,1.1999944973058965,0.9921767062294626,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8539.484020768192,6988.3442988288525,3420.785001737312,2642.296172452113,8527.399222540493,6978.456736642554,3415.9579488088616,2638.5711707256773,1.1999944973058965,1.1999944973058965,0.9921767062294626,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8539.484020768192,6988.3442988288525,3420.785001737312,2642.296172452113,8527.399222540493,6978.456736642554,3415.9579488088616,2638.5711707256773
815,784918302,2023-01-08,ICN,FRA,LH8435,8546.290590793822,10272.39701163944,43.749671,43.63860770756996,1.2019714170151203,1.2019714170151203,0.9974613913684052,0.32628762403143785,1.2006405515864707,1.2006405515864707,0.992086890375132,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8543.870087982785,6991.932899277157,3422.536936539505,2643.6481278293386,8565.589454875631,7009.703290371304,3431.212342747273,2650.342875863071,1.2006405515864707,1.2006405515864707,0.992086890375132,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8543.870087982785,6991.932899277157,3422.536936539505,2643.6481278293386,8565.589454875631,7009.703290371304,3431.212342747273,2650.342875863071
