,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D
289,783664015,2023-01-01,ICN,LHR,KE907,8863.736032710949,10894.803088465716,44.4698505,44.040676847061626,1.229143450150057,1.229143450150057,0.9903491096076796,0.4154468090497365,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9124.749443691073,7467.297208107283,3654.8869030283668,2823.0757036183722
303,783800198,2023-01-02,ICN,LHR,OZ521,8863.736032710949,10907.465299412188,44.4698505,43.97568385717663,1.2305719912189408,1.2305719912189408,0.9888876027855464,0.41921593956228964,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9131.201628820145,7472.576268667433,3657.4641110657176,2825.064516364123
302,783795849,2023-01-02,ICN,LHR,KE907,8863.736032710949,10969.81482607257,44.4698505,44.00407758626079,1.2376062176930016,1.2376062176930016,0.989526096703671,0.43777537632829755,1.229143450150057,1.229143450150057,0.9903491096076796,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9124.749443691073,7467.297208107283,3654.8869030283668,2823.0757036183722,9185.05632159589,7516.6391991203145,3678.975388918757,2841.6646134271014
316,783952395,2023-01-03,ICN,LHR,KE907,8863.736032710949,10914.226674637292,44.4698505,44.00787603954144,1.2313348044615906,1.2313348044615906,0.9896115130753912,0.42122858220230663,1.2333748339215294,1.2333748339215294,0.9899376031556752,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9154.904112984344,7491.969210256324,3666.931637410849,2832.370537761327,9138.881223517963,7478.859573420192,3660.531585538766,2827.4316641616037
322,784132741,2023-01-04,ICN,LHR,KE907,8863.736032710949,10919.905640194109,44.4698505,44.08244996196911,1.2319755010635491,1.2319755010635491,0.9912884677219482,0.4229190265054718,1.2326948241015498,1.2326948241015498,0.9898289064622473,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9149.562423186682,7487.598736785509,3664.7979965428067,2830.724022582218,9148.405705436031,7486.652331353157,3664.33596666854,2830.3674774800993
323,784137460,2023-01-04,ICN,LHR,OZ521,8863.736032710949,10962.375023977966,44.4698505,44.16401907999408,1.2367668648436898,1.2367668648436898,0.9931227243499297,0.4355607879597516,1.2305719912189408,1.2305719912189408,0.9888876027855464,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9131.201628820145,7472.576268667433,3657.4641110657176,2825.064516364123,9189.244840551144,7520.066169174614,3680.648416660543,2842.955676798252
333,784307575,2023-01-05,ICN,LHR,KE503,8863.736032710949,10922.139872935826,44.4698505,44.040723977146406,1.2322275655128372,1.2322275655128372,0.990350169428755,0.4235840853040143,1.2325149933420496,1.2325149933420496,0.9901937967771726,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9149.267146115793,7487.35714645478,3664.680053485514,2830.6330067805375,9147.584516391973,7485.980449408019,3664.0079576356006,2830.1143552889616
342,784471813,2023-01-06,ICN,LHR,KE907,8863.736032710949,10934.4147635249,44.4698505,43.98012357287848,1.2336124093917358,1.2336124093917358,0.9889874393186566,0.42723792307793157,1.2324575077762072,1.2324575077762072,0.990225071307489,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9148.930572624284,7487.081768143547,3664.5456153238483,2830.5292618264784,9153.980145125293,7491.213236553463,3666.562575248967,2832.0857351684085
343,784492181,2023-01-06,ICN,LHR,OZ521,8863.736032710949,10971.749683177572,44.4698505,43.96828197793821,1.2378245068092235,1.2378245068092235,0.9887211556498984,0.43835132068609733,1.2336694280313152,1.2336694280313152,0.991005163567738,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9160.134197132524,7496.248370013924,3669.0206994314003,2833.982651767228,9184.400589248628,7516.10269083619,3678.713468555049,2841.4624913825614
354,784661010,2023-01-07,ICN,LHR,KE907,8863.736032710949,10894.943080233848,44.4698505,43.98723494768888,1.229159243915532,1.229159243915532,0.989147353838954,0.4154884800696716,1.2326499913787952,1.2326499913787952,0.9900187993093503,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9149.769138701398,7487.767867661185,3664.8805652966957,2830.7877402905888,9121.474556004036,7464.617754545161,3653.5788086851917,2822.066256703475
371,784858199,2023-01-08,ICN,LHR,OZ521,8863.736032710949,10941.236138903883,44.4698505,43.91875080753269,1.2343819918063983,1.2343819918063983,0.9876073410125966,0.42926842582245206,1.235054454290618,1.235054454290618,0.9902438275951249,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9168.208806354738,7502.854868468463,3672.2459552741375,2836.471558303053,9155.828886011132,7492.725842732786,3667.3010211823444,2832.6555885380494
382,785023444,2023-01-09,ICN,LHR,KE907,8863.736032710949,11015.896231675835,44.4698505,44.15685563423312,1.2428050870448422,1.2428050870448422,0.992961638902589,0.4514923198111419,1.2321513131697575,1.2321513131697575,0.9898943070992937,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9145.72467958251,7484.458764745732,3663.2650796372754,2829.5410817269544,9233.508528038514,7556.281913482462,3698.3287418330547,2856.599455469785
394,785205594,2023-01-10,ICN,LHR,KE907,8863.736032710949,10898.856840020484,44.4698505,44.2126211513184,1.2296007913366414,1.2296007913366414,0.9942156462009782,0.4166534797283388,1.2334830349041432,1.2334830349041432,0.9902777235747056,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9156.672367629357,7493.415964056788,3667.6379345787145,2832.9155821618488,9139.37342628969,7479.262284778879,3660.728186986791,2827.5833800727755
395,785212967,2023-01-10,ICN,LHR,OZ521,8863.736032710949,10913.96205324726,44.4698505,44.1502029321751,1.231304950076368,1.231304950076368,0.9928120386232264,0.4211498129763272,1.234886338669563,1.234886338669563,0.9895847059494928,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9165.091719503009,7500.304524680686,3671.000891605521,2835.510751702449,9147.862809877428,7486.208144077937,3664.119116908484,2830.200136093427
0,785378315,2023-01-11,ICN,LHR,KE907,8863.736032710949,10904.87666917546,44.4698505,44.0336080597976,1.2302799439121197,1.2302799439121197,0.9901901527597352,0.4184453880960242,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9132.711278492809,7473.811436581428,3658.067113179286,2825.5298487206114
4,785582441,2023-01-12,ICN,LHR,KE907,8863.736032710949,10994.384324826002,44.4698505,44.11767229014193,1.24037812997274,1.24037812997274,0.9920805173415624,0.4450889211603319,1.2302799439121197,1.2302799439121197,0.9901901527597352,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9132.711278492809,7473.811436581428,3658.067113179286,2825.5298487206114,9212.93621405779,7539.450020225508,3690.111505055527,2850.258273461523
