,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D
272,783745864,2023-01-01,LHR,ICN,KE908,8863.736032710949,10805.158319660952,44.4698505,42.97081235098479,1.2190297950870073,1.2190297950870073,0.9662909109843936,0.11447022402583916,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,8991.253487210106,7358.073243713765,3601.564370411254,2781.92709203262
285,783920047,2023-01-02,LHR,ICN,OZ522,8863.736032710949,10830.10881813242,44.4698505,42.92978343883681,1.2218446914669754,1.2218446914669754,0.9653682878658836,0.1360460485698333,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9010.0620145482,7373.46203880857,3609.077094683231,2787.7246068513223
284,783907301,2023-01-02,LHR,ICN,KE908,8863.736032710949,10848.313371991077,44.4698505,42.96330104492828,1.2238985154743094,1.2238985154743094,0.966122003151962,0.15178834968679267,1.2190297950870073,1.2190297950870073,0.9662909109843936,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,8991.253487210106,7358.073243713765,3601.564370411254,2781.92709203262,9026.713571245733,7387.086039742913,3615.7282562504834,2792.857259981101
290,784075302,2023-01-03,LHR,ICN,KE908,8863.736032710949,10837.218106610144,44.4698505,42.989243575837534,1.2226467560198326,1.2226467560198326,0.9667053766199988,0.1421937718709702,1.2214641552806582,1.2214641552806582,0.9662064570681778,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9008.983768348966,7372.57983737283,3608.6464088434223,2787.3922497132053,9018.71663091354,7380.543088562027,3612.5340238337044,2790.3922939980243
299,784248781,2023-01-04,LHR,ICN,KE908,8863.736032710949,10834.07267855872,44.4698505,42.97035808928312,1.2222918912043852,1.2222918912043852,0.9662806959353982,0.13947377796660396,1.2218583555270497,1.2218583555270497,0.9663727635854514,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9012.226991729478,7375.233383775068,3609.9418554550703,2788.391936465437,9015.225145516384,7377.686418691628,3611.1394134733628,2789.316083300321
301,784263865,2023-01-04,LHR,ICN,KE540,8863.736032710949,10833.89456274266,44.4698505,42.93310532735404,1.2222717963126373,1.2222717963126373,0.9654429876564132,0.13931975316424577,1.2219667394463836,1.2219667394463836,0.9663497466729382,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9012.976518671143,7375.846633090976,3610.2412403641556,2788.622969627854,9013.355245134011,7376.156500196958,3610.3925157638128,2788.739707756323
300,784262576,2023-01-04,LHR,ICN,OZ522,8863.736032710949,10824.720409835989,44.4698505,42.8900931614116,1.22123677531553,1.22123677531553,0.9644757668211994,0.131386448197194,1.2218446914669754,1.2218446914669754,0.9653682878658836,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9010.0620145482,7373.46203880857,3609.077094683231,2787.7246068513223,9003.783929682902,7368.32542391878,3606.5694278307847,2785.7894585334675
313,784426400,2023-01-05,LHR,ICN,KE908,8863.736032710949,10826.358992729489,44.4698505,42.984925140999685,1.2214216389991337,1.2214216389991337,0.9666082673473276,0.13280340493861437,1.2220277508196342,1.2220277508196342,0.9661683948696332,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9013.050338955532,7375.907031505476,3610.2707265345684,2788.64572389165,9009.503167084695,7373.004799974792,3608.853873224797,2787.5523484712357
322,784631308,2023-01-06,LHR,ICN,OZ522,8863.736032710949,10833.708105316104,44.4698505,42.88723727896453,1.2222507603266977,1.2222507603266977,0.9644115461769888,0.13915851499399812,1.2215407333912527,1.2215407333912527,0.9649220273435415,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9006.919730649712,7370.891079255259,3607.8219665124134,2786.7560335473836,9011.109482953385,7374.319058412811,3609.4954868928016,2788.04747708417
321,784620568,2023-01-06,LHR,ICN,KE908,8863.736032710949,10840.818097820838,44.4698505,42.95876246350102,1.2230529043073504,1.2230529043073504,0.9660199434108964,0.14530684709913405,1.2219267321828842,1.2219267321828842,0.9662417069492489,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9012.458797586536,7375.4230431126625,3610.0344460900196,2788.463387986718,9020.283733244733,7381.825263196641,3613.159974367129,2790.8753354836335
334,784798518,2023-01-07,LHR,ICN,KE908,8863.736032710949,10830.17200808938,44.4698505,43.07371483628626,1.2218518205101605,1.2218518205101605,0.9686048941470192,0.13610069178371004,1.2220876139149508,1.2220876139149508,0.96621002644377,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9013.576605600232,7376.3376133056845,3610.4809341773084,2788.807939604575,9016.876636701885,7379.037638752493,3611.799071600299,2789.8251366913073
335,784808725,2023-01-07,LHR,ICN,OZ522,8863.736032710949,10804.622539297838,44.4698505,43.0303570185249,1.2189693487513835,1.2189693487513835,0.9676299005890496,0.11400691051240829,1.2217774090364009,1.2217774090364009,0.9647518669546905,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9008.315571080708,7372.033130516986,3608.3795095936584,2787.186285498416,8993.59872886669,7359.992077796424,3602.5011345502185,2782.649986122788
350,784962472,2023-01-08,LHR,ICN,KE908,8863.736032710949,10827.431211329902,44.4698505,43.07111396846051,1.22154260589125,1.22154260589125,0.9685464080537106,0.13373060085903962,1.222058139739352,1.222058139739352,0.9665093849066761,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9013.97965067208,7376.667377455378,3610.6419232031667,2788.932173667915,9014.476125057197,7377.073583770474,3610.840230869495,2789.0852062553736
351,784977439,2023-01-08,LHR,ICN,OZ522,8863.736032710949,10805.305686798694,44.4698505,43.0088530610513,1.2190464209361074,1.2190464209361074,0.967146337967817,0.11459765905528836,1.2210753939651466,1.2210753939651466,0.9654713753632803,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9004.615337196095,7369.0056664295735,3606.9015184454292,2786.045730451596,8993.151901464425,7359.626491740027,3602.322657468518,2782.5122566536243
356,785142970,2023-01-09,LHR,ICN,KE908,8863.736032710949,10839.402636894123,44.4698505,43.041220707918825,1.2228932130754036,1.2228932130754036,0.9678741939534702,0.1440828340142407,1.222000858200674,1.222000858200674,0.9667357208119021,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9014.028741869917,7376.707542980882,3610.6615317895753,2788.9473054717946,9022.98435439544,7384.034862319946,3614.238688383577,2791.7077712644623
357,785157568,2023-01-09,LHR,ICN,OZ522,8863.736032710949,10837.426415308017,44.4698505,43.08629756435029,1.222670257249687,1.222670257249687,0.96888784378419,0.1423739058238622,1.2206695993593388,1.2206695993593388,0.9658063678841877,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9002.316752715498,7367.125006399995,3605.9833906671006,2785.3372179057305,9023.506290576826,7384.4619010138085,3614.4471663014824,2791.868652161282
365,785328078,2023-01-10,LHR,ICN,KE908,8863.736032710949,10825.307939113118,44.4698505,43.09589515669055,1.2213030599245212,1.2213030599245212,0.9691036662399066,0.1318945113371865,1.2220900936881471,1.2220900936881471,0.9668495681260589,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9014.922367110868,7377.438690905297,3611.018474144342,2789.222755297485,9013.90835212406,7376.609042279726,3610.613444294497,2788.9101967006986
366,785341838,2023-01-10,LHR,ICN,OZ522,8863.736032710949,10808.38319111378,44.4698505,42.91935876297661,1.2193936226469582,1.2193936226469582,0.9651338666626866,0.11725891623263955,1.2210030423410634,1.2210030423410634,0.9663199472008547,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9005.826784692228,7369.996850744591,3607.3854091214416,2786.4191453758303,8991.561716439859,7358.32543126538,3601.68748697291,2782.0221001900854
0,785515982,2023-01-11,LHR,ICN,KE908,8863.736032710949,10933.811563463456,44.4698505,42.63149121063175,1.2335443568167024,1.2335443568167024,0.9586605471190364,0.22572250295216287,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,9082.964896722151,7433.109851496346,3638.1968254606663,2810.196091839599
1,785530349,2023-01-11,LHR,ICN,OZ522,8863.736032710949,10811.49146301076,44.4698505,42.88605949586295,1.219744295533144,1.219744295533144,0.9643850611969776,0.11994677952967717,,,,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,,,,,8992.629081301156,7359.198729788261,3602.113826460122,2782.351103279435
2,785535196,2023-01-11,LHR,ICN,KE540,8863.736032710949,10834.400537255366,44.4698505,43.00853698898704,1.2223288799747452,1.2223288799747452,0.9671392304093094,0.13975729221070415,1.2335443568167024,1.2335443568167024,0.9586605471190364,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9082.964896722151,7433.109851496346,3638.1968254606663,2810.196091839599,9017.284354297884,7379.371225876492,3611.9619269809727,2789.9508110071192
5,785702629,2023-01-12,LHR,ICN,KE908,8863.736032710949,10835.520544543037,44.4698505,42.9656046430451,1.2224552383504388,1.2224552383504388,0.9661738044980632,0.14072581317049243,1.2279366183957237,1.2279366183957237,0.9628998887641729,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9049.89079691652,7406.0492243826475,3624.9859776405756,2800.0013764165565,9016.20560398469,7378.488611983878,3611.53103978201,2789.6182984816032
16,785901823,2023-01-13,LHR,ICN,OZ522,8863.736032710949,10830.595163323856,44.4698505,42.875516859338695,1.2218995605638932,1.2218995605638932,0.964147987395161,0.13646661325435297,1.219744295533144,1.219744295533144,0.9643850611969776,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,8992.629081301156,7359.198729788261,3602.113826460122,2782.351103279435,9007.99850311723,7371.773711274137,3608.2528625605187,2787.0885529017187
15,785887813,2023-01-13,LHR,ICN,KE908,8863.736032710949,10790.389633503684,44.4698505,43.03338617447441,1.2173636030769153,1.2173636030769153,0.9676980176597269,0.10169907311521073,1.226109491713962,1.226109491713962,0.963991194008803,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9038.632820532495,7396.838152795719,3620.489183664457,2796.531233127731,8981.927951881928,7350.443260263436,3597.8394548795995,2779.052601739701
22,786061901,2023-01-14,LHR,ICN,KE908,8863.736032710949,10859.90153559273,44.4698505,42.936723823332485,1.2252058833335155,1.2252058833335155,0.9655243573020892,0.16180915888795072,1.2239230195547004,1.2239230195547004,0.964917899921534,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9024.427656281421,7385.215745681206,3614.8151890800796,2792.1526526696584,9035.09807437337,7393.946087756436,3619.0772935793066,2795.441687791751
23,786073209,2023-01-14,LHR,ICN,OZ522,8863.736032710949,10842.501130848854,44.4698505,42.84436501731318,1.223242782821535,1.223242782821535,0.9634474713899293,0.14676224188235784,1.2208219280485184,1.2208219280485184,0.9642665242960693,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9000.313789689142,7365.486218469339,3605.1833435037315,2784.7198273138,9016.475774807132,7378.709660838604,3611.6389546048376,2789.7015755674984
33,786235651,2023-01-15,LHR,ICN,OZ522,8863.736032710949,10843.265477077555,44.4698505,42.88410931033681,1.2233290157853642,1.2233290157853642,0.9643412070912362,0.147423206637839,1.221628879639524,1.221628879639524,0.9639935066606893,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9005.699585563707,7369.892778730347,3607.3346017422655,2786.3799376899087,9018.895141974093,7380.689143066117,3612.605326831186,2790.447318003905
32,786220811,2023-01-15,LHR,ICN,KE908,8863.736032710949,10840.618718330878,44.4698505,42.998693016977455,1.223030410463984,1.223030410463984,0.9669178675781124,0.14513443463619324,1.2241795923104635,1.2241795923104635,0.9650391913976449,7451.939647234876,6098.634647370395,2986.713444557511,2307.451093062982,9026.560638641693,7386.960913066881,3615.667170102393,2792.8101202437765,9021.981928640642,7383.214695793293,3613.8382876417454,2791.3987849167474
