,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
210,783853247,2023-01-02,LHR,PVG,MU7552,9244.034182063437,9656.118385498148,41.307,51.39351316245294,1.0445783945968414,1.0445783945968414,1.2441841131636997,,,,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,,,,,8969.796148085454,7340.636297464982,3593.386891504711,2775.7660914278817
221,784190416,2023-01-04,LHR,PVG,MU7552,9244.034182063437,9623.429273987826,41.307,51.482566391581926,1.0410421558869336,1.0410421558869336,1.2463400002803864,1.0445783945968414,1.0445783945968414,1.2441841131636997,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8969.796148085454,7340.636297464982,3593.386891504711,2775.7660914278817,8956.521129662637,7329.774918755405,3588.0844267596885,2771.67421785153
240,784556037,2023-01-06,LHR,PVG,MU552,9244.034182063437,9609.605695840562,41.307,51.53028765274785,1.039546750539549,1.039546750539549,1.2474952829483583,1.0428102752418875,1.0428102752418875,1.245262056722043,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8963.15136254037,7335.199654746279,3590.732752733011,2773.717911792536,8952.862462695746,7326.781463964313,3586.623038760981,2770.546475334748
251,784813187,2023-01-07,LHR,PVG,CA850,9244.034182063437,9576.018177199248,41.307,52.1623943798429,1.0359133240528224,1.0359133240528224,1.262797936907616,,,,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,,,,,9047.436692601339,7404.160379341616,3624.398995365317,2799.697906995988
243,784556037,2023-01-07,LHR,PVG,MU552,9244.034182063437,33.63106578702068,41.307,31.29265886920981,0.0036381373245326,0.0036381373245326,0.7575630975188178,1.0417224336744413,1.0417224336744413,1.2460064654641483,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8959.713332613752,7332.3867211699535,3589.3594941884567,2772.6581781361783,54.65797302399275,46.43233605106034,32.39704089777537,27.776057353538963
262,784910709,2023-01-08,LHR,PVG,MU7552,9244.034182063437,9693.14490593563,41.307,51.409423245562806,1.0485838449995806,1.0485838449995806,1.2445692799177577,0.7822013595869641,0.7822013595869641,1.1238956234778155,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,6200.800487905329,5075.094393681244,2487.3619204214,1922.2546450371328,9007.138484764098,7371.189118383873,3608.3026089394198,2787.2764423643393
3,785850826,2023-01-13,LHR,PVG,MU552,9244.034182063437,9527.371678615318,41.307,52.95740182320296,1.030650849074277,1.030650849074277,1.2820442497204578,,,,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,,,,,9171.736950662074,7505.860590482219,3674.048473442986,2838.0120490402774
13,786076064,2023-01-14,LHR,PVG,CA850,9244.034182063437,9562.660086001106,41.307,51.577555134435,1.0344682740957312,1.0344682740957312,1.2486395800817052,,,,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,,,,,8918.338975224367,7298.534974215004,3572.8332593903115,2759.905002634053
19,786172798,2023-01-15,LHR,PVG,MU7552,9244.034182063437,9505.455822466498,41.307,53.12938547487712,1.028280038266227,1.028280038266227,1.286207797101632,1.030650849074277,1.030650849074277,1.2820442497204578,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,9171.736950662074,7505.860590482219,3674.048473442986,2838.0120490402774,9189.328763845917,7520.253892178089,3681.0752033681233,2843.4345255472294
18,786138800,2023-01-15,LHR,PVG,CA850,9244.034182063437,12.553676871286614,41.307,31.031158429319373,0.0013580301223512,0.0013580301223512,0.7512324407320641,1.0344682740957312,1.0344682740957312,1.2486395800817052,7650.302430081665,6261.0505281891565,3066.339116642971,2369.0471471000096,8918.338975224367,7298.534974215004,3572.8332593903115,2759.905002634053,36.66753330018008,31.71288536794088,25.211086849002466,22.230708745488744
