,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D
57,783713904,2023-01-01,NRT,HEL,AY74,7831.487310198503,12345.536242887172,48.0415325,63.70802293475274,1.5763974011437494,1.5763974011437494,1.326103053326884,0.19989960992149672,,,,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,,,,,16835.30033597152,13775.606594170495,6733.658820085013,5198.535865212936
67,784560092,2023-01-06,NRT,HEL,AY74,7831.487310198503,12358.363773838006,48.0415325,63.33736232496083,1.578035344288231,1.578035344288231,1.3183876331372406,0.20552751073370124,1.5763974011437494,1.5763974011437494,1.326103053326884,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,16835.30033597152,13775.606594170495,6733.658820085013,5198.535865212936,16601.997612987587,13584.722548092734,6640.470289256772,5126.622952020447
72,784918234,2023-01-08,NRT,HEL,AY74,7831.487310198503,12347.135372065408,48.0415325,63.40538333667266,1.5766015934146291,1.5766015934146291,1.3198035124435854,0.20060120560935804,1.57721637271599,1.57721637271599,1.3222453432320624,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,16717.937770677185,13679.582677111493,6686.780477243013,5162.360188126472,16632.44838965716,13609.636819913292,6652.633298346947,5136.009057897289
1,785841450,2023-01-13,NRT,HEL,AY74,7831.487310198503,12533.981736945569,48.0415325,63.34279020189426,1.6004599433651985,1.6004599433651985,1.318500616146961,0.2825774497281211,,,,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,,,,,16841.26486555662,13780.48666383103,6736.041242981786,5200.374363678798
6,786178779,2023-01-15,NRT,HEL,AY74,7831.487310198503,12340.683917621203,48.0415325,64.19028342964681,1.5757778093505468,1.5757778093505468,1.3361414611335891,0.19777071969234064,1.6004599433651985,1.6004599433651985,1.318500616146961,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,16841.26486555662,13780.48666383103,6736.041242981786,5200.374363678798,17163.861996298903,14044.429770801991,6864.896801454417,5299.811263353622
17,787095736,2023-01-20,NRT,HEL,AY74,7831.487310198503,12775.032497538265,48.0415325,63.06674364238787,1.6312396345074915,1.6312396345074915,1.3127546179420455,0.38833511864522463,1.5881188763578726,1.5881188763578726,1.327321038640275,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,17000.72018849747,13910.950109873545,6799.73277254282,5249.52465498301,16975.72503467764,13890.49952947551,6789.748912806834,5241.820182853886
22,787445237,2023-01-22,NRT,HEL,AY74,7831.487310198503,12308.380894361737,48.0415325,64.20488936906861,1.5716530470953107,1.5716530470953107,1.3364454884753856,0.1835982174753961,1.6024924624077457,1.6024924624077457,1.3224655650741985,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,16992.750232461003,13904.4292367528,6796.549318512345,5247.068006602451,17129.286236466793,14016.140512757536,6851.086142839658,5289.153678291736
30,788344991,2023-01-27,NRT,HEL,AY74,7831.487310198503,12779.0434700851,48.0415325,64.01516672378324,1.631751794252884,1.631751794252884,1.3324963503981315,0.3900948770695533,1.5947826085796368,1.5947826085796368,1.3259605459244952,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,17026.635122904077,13932.153238024406,6810.084021910914,5257.512639025956,17645.40720744521,14438.421307194425,7057.241280679333,5448.242102584798
35,788718756,2023-01-29,NRT,HEL,AY74,7831.487310198503,12654.453904677055,48.0415325,63.66909190540103,1.615842994241704,1.615842994241704,1.3252926913894976,0.335432937913867,1.6021764457142864,1.6021764457142864,1.3272677068192225,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,17149.209194914256,14032.441115123644,6859.044006355889,5295.29470383591,17228.706575570843,14097.48442656994,6890.797789652241,5319.798868043978
43,789626548,2023-02-03,NRT,HEL,AY74,7831.487310198503,12888.94559702796,48.0415325,63.65371135595172,1.6457851601500286,1.6457851601500286,1.3249725402900443,0.438312906856847,1.6044542038021892,1.6044542038021892,1.326938537580935,6808.179797940145,5571.5988812357355,2728.5078324508895,2107.7899039163335,17162.508016968284,14043.321969531484,6864.355979028606,5299.393914611087,17536.572466063808,14349.37470060964,7013.769222048012,5414.695030312407
