flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2
785601068,20230112,PVG,LHR,MU551,9244.034182063435,9512.934335233345,41.307,53.08757723342549,1.0290890479063424,1.0290890479063424,1.285195662561442
792549708,20230218,PVG,LHR,CA849,9244.034182063435,9587.180733376732,41.307,52.541165934277906,1.0371208656907736,1.0371208656907736,1.271967606804607
807766510,20230504,PVG,LHR,BA168,9244.034182063435,11140.496253253987,41.307,44.11250311132286,1.205155242163679,1.205155242163679,1.0679183458329788
792702513,20230218,PVG,LHR,MU7551,9244.034182063435,9629.658647806486,41.307,51.225741952110965,1.041716036326574,1.041716036326574,1.2401225446561348
807769133,20230504,PVG,LHR,VS251,9244.034182063435,11349.344757345463,41.307,43.94948697642492,1.2277480301151467,1.2277480301151467,1.0639718928129596
807781495,20230504,PVG,LHR,MU551,9244.034182063435,9745.774190238131,41.307,53.7305277252346,1.0542771692848392,1.0542771692848392,1.3007608329153557
807790981,20230504,PVG,LHR,CA849,9244.034182063435,9542.032893735426,41.307,53.005520979417945,1.032236868211739,1.032236868211739,1.28320916501847
800153609,20230329,PVG,LHR,MU7551,9244.034182063435,9630.488520040533,41.307,51.83978047285916,1.0418058101436871,1.0418058101436871,1.2549877859166523
785972135,20230114,PVG,LHR,CA849,9244.034182063435,9453.077540858025,41.307,53.16412633991791,1.022613866919727,1.022613866919727,1.2870488377252742
814642167,20230603,PVG,LHR,BA168,9244.034182063435,11252.919424934731,41.307,43.777078082551434,1.2173169422901113,1.2173169422901113,1.0597980507553546
814647169,20230603,PVG,LHR,VS251,9244.034182063435,11176.115661593078,41.307,43.90662177897546,1.2090084741658071,1.2090084741658071,1.0629341704547768
814661432,20230603,PVG,LHR,MU551,9244.034182063435,9548.496518979126,41.307,53.71398058924403,1.0329360894734088,1.0329360894734088,1.300360243766045
808004104,20230505,PVG,LHR,BA168,9244.034182063435,2403.8951886362815,41.307,38.37738683744436,0.2600482799274644,0.2600482799274644,0.9290770774310495
792878671,20230219,PVG,LHR,MU7551,9244.034182063435,9566.182930605626,41.307,52.699386331622435,1.0348493679488193,1.0348493679488193,1.27579795994922
800401004,20230330,PVG,LHR,MU551,9244.034182063435,9510.26828224241,41.307,52.939436545897166,1.028800639951717,1.028800639951717,1.281609328827975
786090444,20230114,PVG,LHR,MU7551,9244.034182063435,9581.554401574407,41.307,54.08380151625857,1.0365122210566764,1.0365122210566764,1.3093132281758193
808023050,20230505,PVG,LHR,MU551,9244.034182063435,9479.432692475275,41.307,54.0203145203364,1.0254649112904184,1.0254649112904184,1.307776273279018
808030015,20230505,PVG,LHR,VS251,9244.034182063435,11245.500283343832,41.307,43.81229407529422,1.2165143552978115,1.2165143552978115,1.060650593732157
808032467,20230505,PVG,LHR,CA849,9244.034182063435,9533.558292998148,41.307,52.94944001580278,1.031320103888894,1.031320103888894,1.281851502549272
814867373,20230604,PVG,LHR,BA168,9244.034182063435,11229.369019604621,41.307,43.77726955756558,1.2147693094204919,1.2147693094204919,1.0598026861685812
814871984,20230604,PVG,LHR,VS251,9244.034182063435,2139.092449067694,41.307,37.82057962167689,0.23140248152892592,0.23140248152892592,0.915597347221461
814884927,20230604,PVG,LHR,MU551,9244.034182063435,9575.486440469012,41.307,52.64536975244514,1.0358558019018047,1.0358558019018047,1.2744902741047557
808234684,20230506,PVG,LHR,BA168,9244.034182063435,11212.357699358783,41.307,43.95026673319519,1.2129290608979535,1.2129290608979535,1.063990769922657
786250754,20230115,PVG,LHR,MU7551,9244.034182063435,9636.451363363518,41.307,52.836597821501144,1.04245085787994,1.04245085787994,1.2791197090444995
808240190,20230506,PVG,LHR,VS251,9244.034182063435,11197.328664082717,41.307,44.132359170783495,1.2113032517566127,1.2113032517566127,1.0683990406174133
808251884,20230506,PVG,LHR,MU551,9244.034182063435,9497.240151813108,41.307,52.96065057506294,1.0273912844503517,1.0273912844503517,1.2821228986627675
808258565,20230506,PVG,LHR,CA849,9244.034182063435,9474.853180700002,41.307,52.8778848358459,1.0249695094252718,1.0249695094252718,1.2801192252123343
