,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D
199,783769982,2023-01-01,PVG,LHR,MU7551,9244.034182063437,9580.972051107765,41.307,53.97616061130603,1.036449223619067,1.036449223619067,1.3067073525384565,-0.14839365230385393,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9481.900050202921,7759.630399197456,3797.9374842254947,2933.6162998930668
213,784102268,2023-01-03,PVG,LHR,MU7551,9244.034182063437,9598.882059594678,41.307,52.75631676800147,1.0383866903283168,1.0383866903283168,1.2771761872806418,-0.1399027443144312,1.036449223619067,1.036449223619067,1.3067073525384565,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9481.900050202921,7759.630399197456,3797.9374842254947,2933.6162998930668,9212.939268347507,7539.571577679391,3690.505990109384,2850.712195258657
225,784317869,2023-01-05,PVG,LHR,MU551,9244.034182063437,9528.879896889051,41.307,53.51457406106207,1.030814004926368,1.030814004926368,1.2955328167395856,-0.17308988227856928,1.0374179569736919,1.0374179569736919,1.291941769909549,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9343.109949215248,7646.074862025724,3742.500301842351,2890.8358284238548,9318.652198248303,7626.063974870949,3732.7310979049857,2883.2970046172827
250,784824205,2023-01-07,PVG,LHR,MU7551,9244.034182063437,9616.151514300462,41.307,52.98427725353522,1.0402548632889157,1.0402548632889157,1.282694876256693,-0.13171551475273358,1.0352166396245839,1.0352166396245839,1.2931387855195613,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9334.948531705872,7639.397338608959,3739.240372007639,2888.32016421997,9280.437411708966,7594.797331338766,3717.4668962361484,2871.5177309254705
242,784696168,2023-01-07,PVG,LHR,CA849,9244.034182063437,9566.224834067632,41.307,52.47391504272655,1.034853900976411,1.034853900976411,1.2703395318644912,-0.1553851209611305,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9120.537445054073,7463.970085893853,3653.5977618279717,2822.2303832491743
0,785601068,2023-01-12,PVG,LHR,MU551,9244.034182063437,9512.934335233344,41.307,53.08757723342549,1.0290890479063424,1.0290890479063424,1.285195662561442,-0.1806494709274085,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9204.348474519915,7532.542746365905,3687.0745537112025,2848.0641806839585
15,786090444,2023-01-14,PVG,LHR,MU7551,9244.034182063437,9581.554401574407,41.307,54.08380151625857,1.0365122210566764,1.0365122210566764,1.3093132281758193,-0.14811756732971948,1.0290890479063424,1.0290890479063424,1.285195662561442,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9204.348474519915,7532.542746365905,3687.0745537112025,2848.0641806839585,9509.446320235664,7782.168256496972,3808.9403409488013,2942.107124604864
8,785972135,2023-01-14,PVG,LHR,CA849,9244.034182063437,9453.077540858025,41.307,53.16412633991791,1.022613866919727,1.022613866919727,1.2870488377252742,-0.20902681837277645,,,,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,,,,,9163.874594413704,7499.427753551733,3670.9079981915074,2835.588567071675
23,786250754,2023-01-15,PVG,LHR,MU7551,9244.034182063437,9636.451363363518,41.307,52.83659782150114,1.04245085787994,1.04245085787994,1.2791197090444997,-0.12209161364070872,1.0328006344815095,1.0328006344815095,1.2972544453686305,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9353.489805843528,7654.567471994316,3746.6463468478514,2894.0353012766063,9266.745479304125,7583.594841189351,3711.997902781261,2867.297348351819
40,786612159,2023-01-17,PVG,LHR,MU7551,9244.034182063437,9500.79654312349,41.307,53.96688343050614,1.0277760073148865,1.0277760073148865,1.3064827615296712,-0.1864038443033237,1.0360173756143196,1.0360173756143196,1.291209533260587,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9323.453013749897,7629.991914826801,3734.648696369543,2884.7768014409276,9400.478702277178,7693.012932712755,3765.4152071847006,2908.5190946375465
