,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
254,783768361,2023-01-01,ZRH,SIN,LX176,10308.666419056575,10694.290645109086,24.404123,27.30340752459095,1.0374077703532676,1.0374077703532676,1.1188030614577278,,,,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,,,,,9557.012751688559,7821.419546216999,3829.040819865315,2958.037040245986
247,783691709,2023-01-01,ZRH,SIN,SQ345,10308.666419056575,10825.250474409577,24.404123,27.442781196265592,1.050111627862751,1.050111627862751,1.1245141321515877,,,,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,,,,,9661.098794074907,7906.580853624012,3870.616097023044,2990.120380015642
263,783935929,2023-01-02,ZRH,SIN,LX176,10308.666419056575,10654.857578231404,24.404123,26.310448971010715,1.033582535810341,1.033582535810341,1.0781149140663944,1.0374077703532676,1.0374077703532676,1.1188030614577278,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9557.012751688559,7821.419546216999,3829.040819865315,2958.037040245986,9611.732700228258,7866.190413204026,3850.8977084013422,2974.903842565751
257,783831910,2023-01-02,ZRH,SIN,SQ345,10308.666419056575,10698.836599860051,24.404123,26.600218524255293,1.037848754139741,1.037848754139741,1.0899887090495035,1.050111627862751,1.050111627862751,1.1245141321515877,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9661.098794074907,7906.580853624012,3870.616097023044,2990.120380015642,9624.714343452144,7876.8117576599325,3856.082989757246,2978.905286570841
270,784004739,2023-01-03,ZRH,SIN,SQ345,10308.666419056575,10762.847351963634,24.404123,26.48293007106344,1.044058165668011,1.044058165668011,1.0851826173414811,1.0439801910012458,1.0439801910012458,1.1072514206005457,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9642.899720991063,7891.690702919048,3863.3468081719393,2984.5107225451948,9692.93161912889,7932.6258923045425,3883.3311402122195,2999.9324866018833
281,784271430,2023-01-04,ZRH,SIN,LX176,10308.666419056575,10705.088594516612,24.404123,26.009720634301832,1.038455233620443,1.038455233620443,1.0657920644926202,1.0354951530818042,1.0354951530818042,1.098458987762061,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9584.153141174756,7843.625319432978,3839.8815549839487,2966.402756891589,9684.705050023342,7925.895063036367,3880.045186756992,2997.396740158838
276,784170008,2023-01-04,ZRH,SIN,SQ345,10308.666419056575,10723.4658781614,24.404123,26.25228427840896,1.040237935950476,1.040237935950476,1.075731517924613,1.0440061825568343,1.0440061825568343,1.099895152847524,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9659.496898514752,7905.270211802066,3869.976248966913,2989.626613912583,9678.814873531193,7921.0758277246105,3877.6924628513207,2995.5811601889573
286,784342596,2023-01-05,ZRH,SIN,SQ345,10308.666419056575,10737.538631605512,24.404123,26.43098407851992,1.041603074065538,1.041603074065538,1.083054042897584,1.0430641209052447,1.0430641209052447,1.0938542441167964,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9664.286741761254,7909.189174458296,3871.8894647636694,2991.1030286632795,9674.985610226462,7917.942794111646,3876.1629332472153,2994.400833289629
291,784452634,2023-01-05,ZRH,SIN,LX176,10308.666419056575,10817.517972809394,24.404123,26.75705575065629,1.0493615306837512,1.0493615306837512,1.096415378280805,1.0364818465946837,1.0364818465946837,1.0875700133389141,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9617.465854831356,7870.881176061106,3853.1877127683747,2976.671022322672,9716.709956059396,7952.080895247684,3892.8289645657114,3007.2618887523377
302,784641751,2023-01-06,ZRH,SIN,LX176,10308.666419056575,10632.650975663348,24.404123,26.140839587529516,1.0314283674955136,1.0314283674955136,1.071164884209505,1.0397017676169507,1.0397017676169507,1.0897813545743869,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9642.312429389136,7891.210191608381,3863.112225219579,2984.3296965826694,9607.30250102578,7862.565704765635,3849.1281458789886,2973.5382840047605
295,784527460,2023-01-06,ZRH,SIN,SQ345,10308.666419056575,10765.048704686316,24.404123,26.955882548530827,1.0442717095575107,1.0442717095575107,1.104562640850926,1.0427719115373033,1.0427719115373033,1.0916942038729538,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9666.418953449067,7910.93371129378,3872.741137954881,2991.76025868637,9651.555502489871,7898.772705963527,3866.804202713793,2987.1787688310496
314,784823923,2023-01-07,ZRH,SIN,LX176,10308.666419056575,10717.52702128982,24.404123,25.67208725280522,1.0396618326379663,1.0396618326379663,1.0519569686157222,1.0380470875926633,1.0380470875926633,1.0860580605014105,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9635.32705289753,7885.494883569792,3860.322043586852,2982.1765336584094,9727.37438084343,7960.806333707349,3897.088675147061,3010.549076505371
308,784717104,2023-01-07,ZRH,SIN,SQ345,10308.666419056575,10712.766145621194,24.404123,26.3279684688256,1.039200000284964,1.039200000284964,1.0788328049660134,1.0430218778740046,1.0430218778740046,1.0938389433692826,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9663.930683269778,7908.897853874361,3871.7472436730404,2990.993277679401,9662.206868245981,7907.487459763983,3871.0586971038756,2990.461931287123
322,784890162,2023-01-08,ZRH,SIN,SQ345,10308.666419056575,10684.018734032914,24.404123,26.329191380454255,1.0364113358331648,1.0364113358331648,1.0788829158275537,1.0424758953612845,1.0424758953612845,1.0916952093116727,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9663.680532820072,7908.693185324601,3871.6473256240947,2990.9161716458975,9636.240717743369,7886.24242753457,3860.686990397434,2982.4581604645846
326,784991967,2023-01-08,ZRH,SIN,LX176,10308.666419056575,10811.402160477664,24.404123,25.391221873995956,1.048768261672696,1.048768261672696,1.0404480371614238,1.0383162117668805,1.0383162117668805,1.0803745451871292,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9650.551674412518,7897.951392082056,3866.4032418397146,2986.8693502333426,9838.880460348804,8052.038580575381,3941.627751222219,3044.919558398363
331,785064181,2023-01-09,ZRH,SIN,SQ345,10308.666419056575,10731.773012957809,24.404123,26.52481252780733,1.0410437758582505,1.0410437758582505,1.0868988214740325,1.0417178254202695,1.0417178254202695,1.0900936726261579,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9660.256597090913,7905.891783364381,3870.2796967504596,2989.8607823657458,9661.177742253649,7906.645447588437,3870.6476314376205,2990.1447148946004
333,785171845,2023-01-09,ZRH,SIN,LX176,10308.666419056575,10675.393765598832,24.404123,26.42637502795735,1.0355746642324486,1.0355746642324486,1.082865179296029,1.0398093617534256,1.0398093617534256,1.0746707583263142,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9677.229724103803,7919.7788872840165,3877.059303733449,2995.0925558910258,9619.573104844554,7872.605289708268,3854.0294154725107,2977.320558193217
338,785248330,2023-01-10,ZRH,SIN,SQ345,10308.666419056575,10726.232973230932,24.404123,27.55184934637128,1.0405063601051676,1.0405063601051676,1.1289833831099476,1.0405843439197069,1.0405843439197069,1.0853917587914634,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9660.304315902576,7905.930826028469,3870.298757162164,2989.875491147182,9563.246693231786,7826.520043843275,3831.530854470365,2959.9585818864402
0,785435641,2023-01-11,ZRH,SIN,SQ345,10308.666419056575,10690.974364319884,24.404123,27.522584320530846,1.037086072021554,1.037086072021554,1.127784199437564,,,,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,,,,,9534.5027946977,7803.0023086790225,3820.04962681726,2951.098601798519
1,785547380,2023-01-11,ZRH,SIN,LX176,10308.666419056575,10733.410027514226,24.404123,27.47044173465952,1.0412025756961607,1.0412025756961607,1.1256475692512908,,,,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,,,,,9576.896087376115,7837.687729961364,3836.9828567905142,2964.165852524679
6,785732116,2023-01-12,ZRH,SIN,LX176,10308.666419056575,10688.45390073153,24.404123,27.645658361498636,1.036841572540642,1.036841572540642,1.1328273653389895,1.0412025756961607,1.0412025756961607,1.1256475692512908,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9576.896087376115,7837.687729961364,3836.9828567905142,2964.165852524679,9521.344272012653,7792.236244663985,3814.793694176586,2947.0426367095206
3,785625644,2023-01-12,ZRH,SIN,SQ345,10308.666419056575,10761.235609704643,24.404123,27.48861822593168,1.043901817388469,1.043901817388469,1.126392381563217,1.037086072021554,1.037086072021554,1.127784199437564,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9534.5027946977,7803.0023086790225,3820.04962681726,2951.098601798519,9600.022646593563,7856.609460230184,3846.220340387029,2971.2943516016476
14,785917102,2023-01-13,ZRH,SIN,LX176,10308.666419056575,11022.450534486676,24.404123,22.914436776173627,1.0692411691691373,1.0692411691691373,0.9389576005732158,1.0390220741184013,1.0390220741184013,1.1292374672951402,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9549.092550518366,7814.939381623206,3825.877239511539,2955.5957282375603,10273.244450349255,8407.427299666659,4115.126549500808,3178.8073223615693
9,785809055,2023-01-13,ZRH,SIN,SQ345,10308.666419056575,10745.91194230235,24.404123,27.505421299701432,1.042415333416695,1.042415333416695,1.1270809157821993,1.0404939447050117,1.0404939447050117,1.1270882905003905,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9567.257337003226,7829.801479656271,3833.13283320407,2961.1948172534894,9584.889198450051,7844.227548112765,3840.1755596797057,2966.629638182412
19,785990884,2023-01-14,ZRH,SIN,SQ345,10308.666419056575,10677.757790355265,24.404123,26.873903640993397,1.0358039882458885,1.0358039882458885,1.101203417184604,1.041134407608906,1.041134407608906,1.1270858322609933,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9573.134617550397,7834.61016374032,3835.4804060589913,2963.006422194876,9580.933237557372,7840.990852836938,3838.5954230276875,2965.410258191345
23,786089502,2023-01-14,ZRH,SIN,LX176,10308.666419056575,10789.412336172916,24.404123,25.73267952830412,1.04663512209762,1.04663512209762,1.0544398390511358,1.04909510580198,1.04909510580198,1.0658108450544987,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9783.605978594944,8006.814004594951,3919.5493644762173,3027.881827516846,9786.734980087698,8009.374096725388,3920.7991872315615,3028.8463066701524
28,786151562,2023-01-15,ZRH,SIN,SQ345,10308.666419056575,10753.356075225747,24.404123,27.26392666412064,1.0431374571736185,1.0431374571736185,1.117185266773186,1.0398018027681517,1.0398018027681517,1.120615228491896,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9575.036502773635,7836.166251650244,3836.2400795316835,2963.5926567026077,9613.201095307526,7867.391827359789,3851.484232117662,2975.356458662627
33,786250296,2023-01-15,ZRH,SIN,LX176,10308.666419056575,10619.833079991871,24.404123,26.18664495091737,1.0301849578098747,1.0301849578098747,1.0730418360421052,1.04848010987589,1.04848010987589,1.0629680935536578,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9784.385797415069,8007.4520381750535,3919.860848925393,3028.1221978065723,9591.555288235197,7849.681621573341,3842.83820804275,2968.6843846076627
41,786426372,2023-01-16,ZRH,SIN,LX176,10308.666419056575,10697.621024984372,24.404123,27.43745019447451,1.037730836377514,1.037730836377514,1.1242956853837571,1.0448210794626869,1.0448210794626869,1.0649828420513474,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9745.745827002793,7975.837516928644,3904.4268152891245,3016.2118660175606,9547.997361275475,7814.043317697204,3825.4397860809972,2955.2581485987707
38,786318934,2023-01-16,ZRH,SIN,SQ345,10308.666419056575,10693.419331648794,24.404123,26.385165818883173,1.037323247930592,1.037323247930592,1.0811765626194876,1.040468933649245,1.040468933649245,1.1199292361481539,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9582.664003340387,7842.406933932132,3839.2867459512436,2965.943747076166,9639.551416197639,7888.951180815338,3862.009388700475,2983.4786456415404
46,786500776,2023-01-17,ZRH,SIN,SQ345,10308.666419056575,10724.302538461006,24.404123,27.00771791650261,1.0403190968170322,1.0403190968170322,1.10668668226687,1.0399446526961362,1.0399446526961362,1.1134704572267096,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9592.022099551823,7850.063558105124,3843.0246673356974,2968.828273891338,9610.429143484977,7865.123866777705,3850.3770263612696,2974.502036012779
54,786686327,2023-01-18,ZRH,SIN,SQ345,10308.666419056575,10695.955933658492,24.404123,26.249632807829617,1.0375693129312995,1.0375693129312995,1.0756228694565102,1.039998144713407,1.039998144713407,1.1125013465181612,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9594.646560777379,7852.210844562396,3844.0729606547693,2969.637234240693,9654.300374715736,7901.0185105119635,3867.900592017647,2988.0248445029424
59,786792949,2023-01-18,ZRH,SIN,LX176,10308.666419056575,10777.899373065917,24.404123,26.730679224721527,1.0455182983845432,1.0455182983845432,1.0953345557519738,1.0436393722818247,1.0436393722818247,1.0748683159400823,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9712.325339439485,7948.493481649575,3891.0776091771895,3005.9103805044388,9683.643903057027,7925.02685188211,3879.621330894878,2997.0696536649593
66,786871722,2023-01-19,ZRH,SIN,SQ345,10308.666419056575,10692.372640467373,24.404123,26.469911110273923,1.0372217128591412,1.0372217128591412,1.0846491435186556,1.0396945407406437,1.0396945407406437,1.1078915368854547,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9602.014896095388,7858.23948254986,3847.016108227815,2971.9084398713867,9630.83714999575,7881.821326650157,3858.528633507335,2980.7925721105603
68,786982236,2023-01-19,ZRH,SIN,LX176,10308.666419056575,10790.840064282287,24.404123,26.873624142321308,1.0467736199450943,1.0467736199450943,1.101191964256257,1.0439077902964988,1.0439077902964988,1.0777920644846384,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9708.203973521242,7945.121454989196,3889.4314044950734,3004.6400162938444,9682.131334448783,7923.789295748091,3879.0171628655626,2996.603421579748
71,787063002,2023-01-20,ZRH,SIN,SQ345,10308.666419056575,10669.190437286316,24.404123,26.8217280936447,1.0349729056673398,1.0349729056673398,1.099065436346338,1.0397114958453422,1.0397114958453422,1.1024996548955912,9472.503505957848,7752.2756178918735,3795.285138189923,2931.988025581832,9614.0981243979,7868.125760251916,3851.8425340781937,2975.6329576862236,9577.992199297105,7838.584548805809,3837.420678768046,2964.5037165685067
