,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
3,520880696,2019-01-01,BKK,CPH,TG950,8639.395948887284,9016.24609745479,34.6495003700258,38.084904274974384,1.043619964960171,1.043619964960171,1.0991472854806428,-0.5578535377763106,,,,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,,,,,,,,,,,,2196.804479889689,1798.9083680672247,887.4132605261112,687.3481794401566
10,521046686,2019-01-02,BKK,CPH,TG950,8639.395948887284,9020.45214393697,34.6495003700258,37.931615357344114,1.044106809932558,1.044106809932558,1.094723299102967,-0.5502296856967159,1.043619964960171,1.043619964960171,1.0991472854806428,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2196.804479889689,1798.9083680672247,887.4132605261112,687.3481794401566,1.043619964960171,1.043619964960171,1.0991472854806428,2196.804479889689,1798.9083680672247,887.4132605261112,687.3481794401566,2197.8176768024637,1799.737347359495,887.8179636111572,687.6604858749182
20,521223528,2019-01-03,BKK,CPH,TG950,8639.395948887284,9007.12445778814,34.6495003700258,37.757513791267705,1.0425641458125574,1.0425641458125574,1.089698650429331,-0.574387361602688,1.0438633874463645,1.0438633874463645,1.0969352922918048,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2197.3110783460766,1799.3228577133598,887.6156120686343,687.5043326575374,1.0438633874463645,1.0438633874463645,1.0969352922918048,2197.3110783460766,1799.3228577133598,887.6156120686343,687.5043326575374,2194.607162958253,1797.1105633051407,886.5355822290661,686.670881465552
24,521296120,2019-01-04,BKK,CPH,DY7210,8639.395948887284,9050.30863889722,34.6495003700258,36.40420401908971,1.0475626643854494,1.0475626643854494,1.050641528169966,-0.4961120000846907,,,,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,,,,,,,,,,,,2205.0098247371557,1805.6218320333337,890.6907363373437,689.8773837468331
25,521311893,2019-01-04,BKK,CPH,TG952,8639.395948887284,9062.562982669288,34.6495003700258,38.18872428971141,1.048981090377795,1.048981090377795,1.102143577306739,-0.47389985748317975,1.0434303069017623,1.0434303069017623,1.094523078337647,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2196.409773216802,1798.5854262439536,887.2556021221117,687.2265155935423,1.0434303069017623,1.0434303069017623,1.094523078337647,2196.409773216802,1798.5854262439536,887.2556021221117,687.2265155935423,2207.961780529977,1808.0370685910968,891.8698414068627,690.7872905750181
32,521401221,2019-01-04,BKK,CPH,TG950,8639.395948887284,9069.075195817328,34.6495003700258,37.77363582488794,1.0497348714507504,1.0497348714507504,1.090163939494052,-0.46209586293347354,1.0448180027707703,1.0448180027707703,1.09642820307992,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2199.2977750450955,1800.9483368307392,888.4091619432993,688.1167093389112,1.0448180027707703,1.0448180027707703,1.09642820307992,2199.2977750450955,1800.9483368307392,888.4091619432993,688.1167093389112,2209.5305112334736,1809.3205755303213,892.4964423639981,691.2708339878857
40,521578595,2019-01-05,BKK,CPH,TG950,8639.395948887284,9092.217271936166,34.6495003700258,38.22032631654455,1.0524135397576266,1.0524135397576266,1.103055625864313,-0.42014868857572696,1.0458013765067664,1.0458013765067664,1.0951753503627464,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2201.3443222827714,1802.6227845706558,889.2266180274391,688.7475342687062,1.0458013765067664,1.0458013765067664,1.0951753503627464,2201.3443222827714,1802.6227845706558,889.2266180274391,688.7475342687062,2215.1052190209807,1813.8817000837362,894.7231580313943,692.9891743144326
42,521661300,2019-01-06,BKK,CPH,TG952,8639.395948887284,9105.271332031438,34.6495003700258,38.39394607501387,1.0539245319812152,1.0539245319812152,1.1080663693560002,-0.39648698544758276,1.0469034037152432,1.0469034037152432,1.0964887296130075,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2203.637805072473,1804.4992704895026,890.1427080280984,689.4544742763272,1.0469034037152432,1.0469034037152432,1.0964887296130075,2203.637805072473,1804.4992704895026,890.1427080280984,689.4544742763272,2218.2498189305993,1816.4545545552423,895.9792112907477,693.9584615024827
47,521744117,2019-01-06,BKK,CPH,TG950,8639.395948887284,9042.189224022708,34.6495003700258,38.08793198555493,1.046622851588056,1.046622851588056,1.0992346665553543,-0.510829197870883,1.0479064220389533,1.0479064220389533,1.0981426781477206,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2205.7252356236336,1806.2071682131796,890.9764942084768,690.0979010229208,1.0479064220389533,1.0479064220389533,1.0981426781477206,2205.7252356236336,1806.2071682131796,890.9764942084768,690.0979010229208,2203.0539343019796,1804.0215580409172,889.909491464657,689.2745027462178
52,521918156,2019-01-07,BKK,CPH,TG950,8639.395948887284,9043.50252196241,34.6495003700258,37.672635978072776,1.0467748642921235,1.0467748642921235,1.0872490389691791,-0.5084487226975479,1.047745975732591,1.047745975732591,1.0982791766986748,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2205.391322958427,1805.9339669416465,890.8431188654993,689.9949762383329,1.047745975732591,1.047745975732591,1.0982791766986748,2205.391322958427,1805.9339669416465,890.8431188654993,689.9949762383329,2203.3702953844586,1804.2803989265817,890.0358561470335,689.3720174548796
