,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
9,520869201,2019-01-01,FRA,ICN,OZ542,8546.290590793822,8953.660747558111,43.749671,52.51526674705899,1.0476663123534689,1.0476663123534689,1.2003579809105076,0.008977012666475456,,,,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,,,,,,,,,,,,2181.820868872961,1786.6199018236643,881.3320495882515,682.6187520525885
16,520884068,2019-01-01,FRA,ICN,OZ796,8546.290590793822,9065.08793582602,43.749671,52.19545018367965,1.060704388590654,1.060704388590654,1.193047833060954,0.22088667781695343,1.0476663123534689,1.0476663123534689,1.2003579809105076,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2181.820868872961,1786.6199018236643,881.3320495882515,682.6187520525885,1.0476663123534689,1.0476663123534689,1.2003579809105076,2181.820868872961,1786.6199018236643,881.3320495882515,682.6187520525885,2208.665774799732,1808.5839157637495,892.0547591715014,690.8933892487664
15,520882051,2019-01-01,FRA,ICN,KE906,8546.290590793822,9012.18005738492,43.749671,52.49180415285682,1.0545136467853036,1.0545136467853036,1.1998216890101143,0.12026769084835848,,,,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,,,,,,,,,,,,2195.9192715305167,1798.1549585434825,886.9634001952182,686.9644244626588
10,520870041,2019-01-01,FRA,ICN,LH712,8546.290590793822,8970.01450945502,43.749671,51.43839556456847,1.0495798632353597,1.0495798632353597,1.1757435973534172,0.04007822110038488,,,,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,,,,,,,,,,,,2185.7607977762714,1789.8434800172818,882.9057825536078,683.8331903651145
40,521047606,2019-01-02,FRA,ICN,KE906,8546.290590793822,9007.500161604356,43.749671,52.28270001234297,1.053966052980618,1.053966052980618,1.1950421298560845,0.11136757263471359,1.0545136467853036,1.0545136467853036,1.1998216890101143,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2195.9192715305167,1798.1549585434825,886.9634001952182,686.9644244626588,1.0545136467853036,1.0545136467853036,1.1998216890101143,2195.9192715305167,1798.1549585434825,886.9634001952182,686.9644244626588,2194.79179659438,1797.2324790502798,886.5130508315227,686.61689312581
39,521031293,2019-01-02,FRA,ICN,OZ542,8546.290590793822,8947.912730458585,43.749671,53.27419823265575,1.0469937378559766,1.0469937378559766,1.217705116746038,-0.0019544341175097573,1.0541853504720615,1.0541853504720615,1.1967029069857307,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2195.2433218363467,1797.601908793707,886.6934043798765,686.7560706506775,1.0541853504720615,1.0541853504720615,1.1967029069857307,2195.2433218363467,1797.601908793707,886.6934043798765,686.7560706506775,2180.4360634165832,1785.486879177537,880.7789142269824,682.1919015070857
38,521031168,2019-01-02,FRA,ICN,LH712,8546.290590793822,9003.659051251469,43.749671,51.466775453286814,1.0535166053153318,1.0535166053153318,1.1763922854022564,0.10406263726535606,1.0495798632353597,1.0495798632353597,1.1757435973534172,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2185.7607977762714,1789.8434800172818,882.9057825536078,683.8331903651145,1.0495798632353597,1.0495798632353597,1.1757435973534172,2185.7607977762714,1789.8434800172818,882.9057825536078,683.8331903651145,2193.866400847789,1796.4753370757962,886.1434183259242,686.3316504027841
70,521232217,2019-01-03,FRA,ICN,OZ794,8546.290590793822,8988.71143959796,43.749671,51.68934948395548,1.0517675878328687,1.0517675878328687,1.181479730075124,0.07563561303964936,1.0524344963505832,1.0524344963505832,1.197931345325295,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2191.6383794102135,1794.6524104450527,885.2534756721655,685.644888113077,1.0524344963505832,1.0524344963505832,1.197931345325295,2191.6383794102135,1794.6524104450527,885.2534756721655,685.644888113077,2190.265239991935,1793.5289327391881,884.7050000977051,685.2216334912493
64,521225915,2019-01-03,FRA,ICN,KE906,8546.290590793822,8979.235827575887,43.749671,52.34507236219407,1.0506588480911754,1.0506588480911754,1.1964677942879631,0.057615111922223676,1.0541837360696353,1.0541837360696353,1.1975831317637138,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2195.239997842801,1797.5991891626243,886.692076671091,686.7550460674398,1.0541837360696353,1.0541837360696353,1.1975831317637138,2195.239997842801,1797.5991891626243,886.692076671091,686.7550460674398,2187.982386791695,1791.6611437571737,883.7931558932911,684.5179699337891
63,521212059,2019-01-03,FRA,ICN,LH712,8546.290590793822,8978.963086893635,43.749671,51.56231019047885,1.0506269347506032,1.0506269347506032,1.178575952959254,0.05709641996250158,1.0515482342753457,1.0515482342753457,1.1760679413778368,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2189.8135993120304,1793.159408546539,884.524600439766,685.0824203839493,1.0515482342753457,1.0515482342753457,1.1760679413778368,2189.8135993120304,1793.159408546539,884.524600439766,685.0824203839493,2187.916678430286,1791.6073823705665,883.7669098830238,684.4977160780708
