,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
13,520900389,2019-01-01,LHR,PVG,MU552,9244.034182063437,9532.36966388588,41.307,52.42487871844205,1.0311915205140536,1.0311915205140536,1.2691524128705074,0.08148824933168407,,,,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,,,,,,,,,,,,2320.989654056306,1900.7037114411341,937.6420248555686,726.3470442626468
7,520848136,2019-01-01,LHR,PVG,VS250,9244.034182063437,9650.311317978252,41.307,51.59945186383928,1.043950198356377,1.043950198356377,1.2491696773873502,0.1716306122073609,,,,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,,,,,,,,,,,,2349.3860211930014,1923.9371027347945,948.9844374107375,735.0999017465432
8,520855454,2019-01-01,LHR,PVG,BA169,9244.034182063437,9633.226449265236,41.307,51.45724961519154,1.0421019935167446,1.0421019935167446,1.2457271071535465,0.15857271127266784,,,,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,,,,,,,,,,,,2345.272561803352,1920.571545052354,947.3413908477127,733.8319746335403
35,521070963,2019-01-02,LHR,PVG,MU552,9244.034182063437,9558.408148063412,41.307,52.62026157736496,1.0340083084731524,1.0340083084731524,1.2738824310011612,0.10138936490892843,1.0311915205140536,1.0311915205140536,1.2691524128705074,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2320.989654056306,1900.7037114411341,937.6420248555686,726.3470442626468,1.0311915205140536,1.0311915205140536,1.2691524128705074,2320.989654056306,1900.7037114411341,937.6420248555686,726.3470442626468,2327.2588416650296,1905.8330467573628,940.1461378606441,728.2794501022677
29,521006153,2019-01-02,LHR,PVG,BA169,9244.034182063437,9650.893554475757,41.307,51.44041054027179,1.0440131834650466,1.0440131834650466,1.2453194504629188,0.1720756133737548,1.0421019935167446,1.0421019935167446,1.2457271071535465,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2345.272561803352,1920.571545052354,947.3413908477127,733.8319746335403,1.0421019935167446,1.0421019935167446,1.2457271071535465,2345.272561803352,1920.571545052354,947.3413908477127,733.8319746335403,2349.526204078096,1924.051797822599,949.0404309154087,735.1431115278862
28,521001729,2019-01-02,LHR,PVG,VS250,9244.034182063437,9600.080870564878,41.307,51.87115732744679,1.0385163751549398,1.0385163751549398,1.2557473873059477,0.13323967006746398,1.043950198356377,1.043950198356377,1.2491696773873502,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2349.3860211930014,1923.9371027347945,948.9844374107375,735.0999017465432,1.043950198356377,1.043950198356377,1.2491696773873502,2349.3860211930014,1923.9371027347945,948.9844374107375,735.0999017465432,2337.2922258569315,1914.04217927801,944.1537907509323,731.3721267636921
44,521183608,2019-01-03,LHR,PVG,BA169,9244.034182063437,9612.643527318987,41.307,51.39274903881957,1.039875376701958,1.039875376701958,1.2441656145161732,0.14284126140112957,1.0430575884908957,1.0430575884908957,1.2455232788082327,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2347.399382940724,1922.3116714374767,948.1909108815607,734.4875430807133,1.0430575884908957,1.0430575884908957,1.2455232788082327,2347.399382940724,1922.3116714374767,948.1909108815607,734.4875430807133,2340.316889332676,1916.516903939983,945.3619375824371,732.3044449089144
50,521247410,2019-01-03,LHR,PVG,MU552,9244.034182063437,9557.683615774524,41.307,52.42795025362141,1.0339299301077527,1.0339299301077527,1.2692267715791854,0.10083560760407517,1.0325999144936029,1.0325999144936029,1.2715174219358343,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2324.1242478606673,1903.2683790992482,938.8940813581063,727.3132471824572,1.0325999144936029,1.0325999144936029,1.2715174219358343,2324.1242478606673,1903.2683790992482,938.8940813581063,727.3132471824572,2327.0843987590347,1905.6903207433672,940.0764598135338,728.2256800588005
43,521179867,2019-01-03,LHR,PVG,VS250,9244.034182063437,9510.340891006244,41.307,52.728882217030375,1.0288084946136975,1.0288084946136975,1.2765120250086033,0.0646517410267661,1.0412332867556584,1.0412332867556584,1.2524585323466488,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2343.3391235249665,1918.9896410064023,946.5691140808349,733.2360142551177,1.0412332867556584,1.0412332867556584,1.2524585323466488,2343.3391235249665,1918.9896410064023,946.5691140808349,733.2360142551177,2315.685869510677,1896.3642513583472,935.5235245512636,724.7122129467358
51,521258696,2019-01-03,LHR,PVG,BA161,9244.034182063437,9603.67995111579,41.307,51.58598599248442,1.0389057160509196,1.0389057160509196,1.2488436824868523,0.13599043380344644,1.0419968512279165,1.0419968512279165,1.245070724044213,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2345.0385517380414,1920.3800822716455,947.2479197818529,733.7598436901137,1.0419968512279165,1.0419968512279165,1.245070724044213,2345.0385517380414,1920.3800822716455,947.2479197818529,733.7598436901137,2338.1587629041246,1914.7511641348044,944.4999132192146,731.6392269614774
