,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
0,520801022,2019-01-01,PVG,LHR,BA168,9244.034182063437,9577.396436057074,41.307,51.57777513750117,1.0360624211711025,1.0360624211711025,1.24864490612974,-0.030489990414736337,,,,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,,,,,,,,,,,,2331.830580134485,1909.5735600505536,941.9722356697505,729.6886365339038
1,520803197,2019-01-01,PVG,LHR,VS251,9244.034182063437,9663.930719656264,41.307,52.16590994858274,1.045423516326624,1.045423516326624,1.262883045212258,0.10739572269232288,,,,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,,,,,,,,,,,,2352.6651131576436,1926.619996160411,950.29421107616,736.1106445822354
15,520881929,2019-01-01,PVG,LHR,BA160,9244.034182063437,9610.000163949497,41.307,50.988008274934494,1.039589423262428,1.039589423262428,1.2343672567587696,0.021461537735862946,1.0360624211711025,1.0360624211711025,1.24864490612974,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2331.830580134485,1909.5735600505536,941.9722356697505,729.6886365339038,1.0360624211711025,1.0360624211711025,1.24864490612974,2331.830580134485,1909.5735600505536,941.9722356697505,729.6886365339038,2339.6804567059385,1915.9961863362882,945.107726141189,732.1082717839115
21,520951748,2019-01-02,PVG,LHR,MU551,9244.034182063437,9481.375264889884,41.307,52.65465049396877,1.0256750546516769,1.0256750546516769,1.2747149513150016,-0.1834923278592531,,,,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,,,,,,,,,,,,2308.7119249795933,1890.6582967420059,932.7379092073136,722.5625737943989
20,520945003,2019-01-02,PVG,LHR,VS251,9244.034182063437,9659.86943588293,41.307,50.825425403974485,1.0449841752669369,1.0449841752669369,1.230431292613225,0.10092437993746779,1.045423516326624,1.045423516326624,1.262883045212258,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2352.6651131576436,1926.619996160411,950.29421107616,736.1106445822354,1.045423516326624,1.045423516326624,1.262883045212258,2352.6651131576436,1926.619996160411,950.29421107616,736.1106445822354,2351.687293184189,1925.8199616366753,949.9036386663084,735.8092426870087
19,520940084,2019-01-02,PVG,LHR,BA168,9244.034182063437,9687.420718345862,41.307,50.899716058039566,1.0479646145340686,1.0479646145340686,1.2322297929658306,0.14482522560704283,1.0378259222167654,1.0378259222167654,1.2415060814442547,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2335.755518420212,1912.7848731934212,943.5399809054699,730.8984541589077,1.0378259222167654,1.0378259222167654,1.2415060814442547,2335.755518420212,1912.7848731934212,943.5399809054699,730.8984541589077,2358.3207115292585,1931.2473039190047,952.5532370166401,737.8539185121224
30,521119961,2019-01-03,PVG,LHR,VS251,9244.034182063437,9614.041371705142,41.307,50.66573241295985,1.0400265925411274,1.0400265925411274,1.2265652894899133,0.027900890903467757,1.0452038457967805,1.0452038457967805,1.2466571689127415,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2352.176203170917,1926.2199788985433,950.0989248712343,735.9599436346222,1.0452038457967805,1.0452038457967805,1.2466571689127415,2352.176203170917,1926.2199788985433,950.0989248712343,735.9599436346222,2340.653443052349,1916.7922660742604,945.4963678466017,732.4081837685295
29,521114415,2019-01-03,PVG,LHR,BA168,9244.034182063437,9616.873046298608,41.307,50.66057980205397,1.04033291708923,1.04033291708923,1.2264405500775648,0.03241294617644728,1.041205486322533,1.041205486322533,1.2384139852847802,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2343.2772494565606,1918.9390167686156,946.5443996091932,733.2169422766459,1.041205486322533,1.041205486322533,1.2384139852847802,2343.2772494565606,1918.9390167686156,946.5443996091932,733.2169422766459,2341.3352146621037,1917.3500792095142,945.7686891202708,732.6183321198317
36,521128768,2019-01-03,PVG,LHR,MU551,9244.034182063437,9508.90673465877,41.307,52.50198475444549,1.028653350623614,1.028653350623614,1.2710190707251914,-0.13962305219099239,1.0256750546516769,1.0256750546516769,1.2747149513150016,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2308.7119249795933,1890.6582967420059,932.7379092073136,722.5625737943989,1.0256750546516769,1.0256750546516769,1.2747149513150016,2308.7119249795933,1890.6582967420059,932.7379092073136,722.5625737943989,2315.340573097059,1896.0817361108416,935.3856021769604,724.6057792510609
51,521308978,2019-01-04,PVG,LHR,MU551,9244.034182063437,9515.297148616224,41.307,52.69839451566567,1.0293446520437075,1.0293446520437075,1.2757739491046474,-0.12944041995641983,1.0271642026376453,1.0271642026376453,1.2728670110200966,2251.568207804979,1843.9043463264125,909.9128903585898,704.9486723357464,2312.026249038326,1893.3700164264235,934.0617556921369,723.5841765227298,1.0271642026376453,1.0271642026376453,1.2728670110200966,2312.026249038326,1893.3700164264235,934.0617556921369,723.5841765227298,2316.879168958613,1897.3405872702945,936.0001663193879,725.080033941341
