,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
129,783707815,2023-01-01,CPH,BKK,TG951,8639.395948887284,9642.113837158817,34.6495003700258,33.421824916400055,1.116063425522322,1.116063425522322,0.964568740082389,-0.06763634100447098,,,,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,,,,,,,,,,,,2347.5701132131862,1922.262068059177,947.6338515638491,733.8199726662914
136,783853353,2023-01-02,CPH,BKK,TG951,8639.395948887284,9717.387439386905,34.6495003700258,32.621042973783574,1.1247762571454385,1.1247762571454385,0.9414578168637324,0.03878724129902264,1.116063425522322,1.116063425522322,0.964568740082389,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2347.5701132131862,1922.262068059177,947.6338515638491,733.8199726662914,1.116063425522322,1.116063425522322,0.964568740082389,2347.5701132131862,1922.262068059177,947.6338515638491,733.8199726662914,2365.702813770377,1937.0979139696058,954.8766291159543,739.4091715596301
140,784025330,2023-01-03,CPH,BKK,TG951,8639.395948887284,9697.018229421134,34.6495003700258,32.707579498521504,1.1224185448601955,1.1224185448601955,0.9439552994771552,0.009988775049449608,1.1204198413338804,1.1204198413338804,0.9530132784730607,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2356.636463491782,1929.6799910143916,951.2552403399019,736.6145721129608,1.1204198413338804,1.1204198413338804,0.9530132784730607,2356.636463491782,1929.6799910143916,951.2552403399019,736.6145721129608,2360.796063276669,1933.0832999292993,952.916716844888,737.896721478473
145,784190986,2023-01-04,CPH,BKK,TG951,8639.395948887284,9658.630906219983,34.6495003700258,32.9510751907257,1.1179752569928192,1.1179752569928192,0.9509826935118132,-0.044284121811915204,1.121086075842652,1.121086075842652,0.9499939521410923,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2358.0229967534106,1930.8144273193607,951.8090658415638,737.0419552347981,1.121086075842652,1.121086075842652,0.9499939521410923,2358.0229967534106,1930.8144273193607,951.8090658415638,737.0419552347981,2351.5489193085964,1925.5174548645127,949.2231133167318,735.046394431496
150,784365303,2023-01-05,CPH,BKK,TG951,8639.395948887284,9742.949378171275,34.6495003700258,32.269451681574,1.1277350217321762,1.1277350217321762,0.931310735709462,0.07492730920506281,1.1203083711301938,1.1203083711301938,0.9502411374837725,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2356.404477392207,1929.4901842056486,951.1625777103558,736.5430650339725,1.1203083711301938,1.1203083711301938,0.9502411374837725,2356.404477392207,1929.4901842056486,951.1625777103558,736.5430650339725,2371.860443642185,1942.1359747738124,957.3361824113413,741.3071909945481
156,784549834,2023-01-06,CPH,BKK,TG951,8639.395948887284,9723.189993547508,34.6495003700258,32.92992105826365,1.125447896018681,1.125447896018681,0.9503721758351904,0.04699102831070736,1.1217937012505903,1.1217937012505903,0.9464550571289104,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2359.4956706422026,1932.0193423192816,952.3972986505529,737.4958902260877,1.1217937012505903,1.1217937012505903,0.9464550571289104,2359.4956706422026,1932.0193423192816,952.3972986505529,737.4958902260877,2367.100594319557,1938.2415526007533,955.4349471421325,739.840021530045
160,784735941,2023-01-07,CPH,BKK,TG951,8639.395948887284,9750.292570960866,34.6495003700258,32.85044563272361,1.1285849877289929,1.1285849877289929,0.9480784796868676,0.08530928720374338,1.1224027337119387,1.1224027337119387,0.9471079102466238,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2360.763157921762,1933.0563773661934,952.9035733991494,737.8865787767472,1.1224027337119387,1.1224027337119387,0.9471079102466238,2360.763157921762,1933.0563773661934,952.9035733991494,737.8865787767472,2373.6293495008936,1943.583261385483,958.0427396946776,741.8524361242921
168,784907742,2023-01-08,CPH,BKK,TG951,8639.395948887284,9743.839684974491,34.6495003700258,32.73619195550478,1.1278380737057727,1.1278380737057727,0.9447810677184784,0.07618604582112522,1.1232859128572321,1.1232859128572321,0.9472465630238014,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2362.601185290209,1934.5602179403775,953.6377400127964,738.4531298263964,1.1232859128572321,1.1232859128572321,0.9472465630238014,2362.601185290209,1934.5602179403775,953.6377400127964,738.4531298263964,2372.0749101508795,1942.3114473718351,957.4218471588482,741.3732978587338
176,785085271,2023-01-09,CPH,BKK,TG951,8639.395948887284,9654.506257867832,34.6495003700258,33.08636200285495,1.1174978337590016,1.1174978337590016,0.9548871311136402,-0.050115646282447315,1.1238549329632996,1.1238549329632996,0.946938376110636,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2363.785400897793,1935.5291216193095,954.1107534060528,738.8181508304386,1.1238549329632996,1.1238549329632996,0.946938376110636,2363.785400897793,1935.5291216193095,954.1107534060528,738.8181508304386,2350.5553304373398,1924.7045185153027,948.8262423073605,734.7401319527138
178,785269139,2023-01-10,CPH,BKK,TG951,8639.395948887284,9801.568252345754,34.6495003700258,32.832674065679555,1.134520088017051,1.134520088017051,0.9475655843534784,0.15780404680747798,1.1231485886072667,1.1231485886072667,0.9478215711109699,2106.0248347466068,1724.6341129501575,851.1529818127098,659.3663854116782,2362.315393068854,1934.326387941087,953.5235855061983,738.3650376218027,1.1240342339928846,1.1240342339928846,0.9457281749895424,2364.158553050812,1935.8344279263254,954.2598022489917,738.9331707412414,2385.981177351523,1953.6893023541797,962.9764527509234,745.6597466975685
