,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
63,784392722,2023-01-05,HEL,NRT,AY73,7831.487310198503,12102.74998669949,48.0415325,43.00943866699702,1.5453961051483494,1.5453961051483494,0.8952553432178089,0.3478266930686265,,,,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,,,,,,,,,,,,2943.0455435191234,2409.216309436717,1184.6502296906745,916.4061919712174
0,785673950,2023-01-12,HEL,NRT,AY73,7831.487310198503,12662.985382172055,48.0415325,62.79499370562695,1.6169323757547007,1.6169323757547007,1.3070980553259193,0.5012613901908108,,,,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,,,,,,,,,,,,3078.191794921703,2519.7905151297373,1238.6319426088642,958.0634882132058
4,786034319,2023-01-14,HEL,NRT,AY73,7831.487310198503,12659.166606248027,48.0415325,62.40044504322279,1.6164447575319072,1.6164447575319072,1.2988853976134669,0.500215521379208,1.6169323757547007,1.6169323757547007,1.3070980553259193,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3078.191794921703,2519.7905151297373,1238.6319426088642,958.0634882132058,1.6169323757547007,1.6169323757547007,1.3070980553259193,3078.191794921703,2519.7905151297373,1238.6319426088642,958.0634882132058,3077.270587059348,2519.036799605992,1238.2639828774804,957.7795363579061
15,786923790,2023-01-19,HEL,NRT,AY73,7831.487310198503,12065.405892021472,48.0415325,43.1824417523868,1.5406276501667029,1.5406276501667029,0.8988564582611263,0.33759906392821754,1.616688566643304,1.616688566643304,1.302991726469693,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3077.7311909905256,2519.4136573678647,1238.4479627431722,957.921512285556,1.616688566643304,1.616688566643304,1.302991726469693,3077.7311909905256,2519.4136573678647,1238.4479627431722,957.921512285556,2934.036983102301,2401.8456690956805,1181.0519240241824,913.6294055927366
20,787311075,2023-01-21,HEL,NRT,AY73,7831.487310198503,12691.884993474976,48.0415325,62.97469675585905,1.6206225574734765,1.6206225574734765,1.3108386322992307,0.509176283007378,1.5913349278177702,1.5913349278177702,1.1682799704001707,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3029.8331216944507,2480.224327943803,1219.3159498368423,943.1574767212828,1.5913349278177702,1.5913349278177702,1.1682799704001707,3029.8331216944507,2480.224327943803,1219.3159498368423,943.1574767212828,3085.1632825609067,2525.4944595618126,1241.4165765920231,960.2123700565398
28,788167719,2023-01-26,HEL,NRT,AY73,7831.487310198503,12061.762509997585,48.0415325,43.01518803963192,1.5401624279324608,1.5401624279324608,0.8953750182642886,0.3366012311924547,1.5986568352316968,1.5986568352316968,1.2039196358749358,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3043.6656619110645,2491.5418608483055,1224.8411065256375,947.4212000550971,1.5925649883906956,1.5925649883906956,1.1695268293912746,3032.156950907519,2482.125642754495,1220.244161164562,943.8737706690608,2933.1580857192807,2401.126571236846,1180.7008644444875,913.3584954618908
33,788564282,2023-01-28,HEL,NRT,AY73,7831.487310198503,11962.217125767578,48.0415325,42.99864359821288,1.5274515110545936,1.5274515110545936,0.8950306403779454,0.3093381985410476,1.5869579537718497,1.5869579537718497,1.1422107123528062,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3021.564146672708,2473.4588029260135,1216.0130581094074,940.6086591364558,1.56713754519088,1.56713754519088,1.0350233696082152,2984.1194504608293,2442.8222332981127,1201.056455020231,929.0667570370557,2909.14463417403,2381.4792017907316,1171.109127832947,905.9566219031987
42,789446897,2023-02-02,HEL,NRT,AY73,7831.487310198503,12650.61061638056,48.0415325,62.41929666386011,1.6153522460422536,1.6153522460422536,1.2992778001796697,0.4978722461693509,1.5770402133189736,1.5770402133189736,1.1010140336903296,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3002.8275612562616,2458.1288694034665,1208.5290697299974,934.8333195975796,1.562745498820177,1.562745498820177,1.0337480969804882,2975.8220008180724,2436.03341086313,1197.7421896231526,926.5091624738765,3075.2066154378276,2517.348095552021,1237.4395669400205,957.1433405597952
46,789837610,2023-02-04,HEL,NRT,AY73,7831.487310198503,12032.019367694613,48.0415325,42.92647361663168,1.5363645360219116,1.5363645360219116,0.8935283989250693,0.32845531597967337,1.5825133608508708,1.5825133608508708,1.1293374289030924,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3013.1674261393423,2466.58875885326,1212.6591407600008,938.0204654493248,1.5609887283431025,1.5609887283431025,1.0298944862739678,2972.503111777046,2433.3179561931993,1196.4165197391515,925.4861526416281,2925.983112092722,2395.2561382696617,1177.8349516834246,911.1468913752955
59,791254922,2023-02-11,HEL,NRT,AY73,7831.487310198503,12074.888664562726,48.0415325,42.89922630451085,1.5418385022265542,1.5418385022265542,0.8929612373316953,0.3401961621203419,1.5767447577472509,1.5767447577472509,1.0998613001558395,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3002.269386883515,2457.6721812803103,1208.3061171254287,934.6612686900711,1.5597227643729195,1.5597227643729195,1.029278946494228,2970.111453901526,2431.3611452041378,1195.461215485464,924.7489512794297,2936.324523611541,2403.7172931486953,1181.9656404889527,914.3345139599313
