,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
623,783653464,2023-01-01,ICN,FRA,OZ541,8546.290590793822,10268.884450539948,43.749671,43.39329674699692,1.2015604128417685,1.2015604128417685,0.9918542415323972,0.32494554748849447,,,,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,,,,,,,,,,,,2498.6830021461838,2045.8707381381193,1007.8968675945445,780.2879039279995
624,783664760,2023-01-01,ICN,FRA,KE945,8546.290590793822,10237.95710934679,43.749671,43.50511192606435,1.1979416099395512,1.1979416099395512,0.9944100362735152,0.3131288536359774,,,,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,,,,,,,,,,,,2491.2320238185316,2039.7744831427674,1004.9207097738969,777.9912245287089
625,783666579,2023-01-01,ICN,FRA,KE513,8546.290590793822,10244.123380405388,43.749671,43.43721297446068,1.198663124261243,1.198663124261243,0.9928580485659122,0.3154848575632473,1.1979416099395512,1.1979416099395512,0.9944100362735152,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2491.2320238185316,2039.7744831427674,1004.9207097738969,777.9912245287089,1.1979416099395512,1.1979416099395512,0.9944100362735152,2491.2320238185316,2039.7744831427674,1004.9207097738969,777.9912245287089,2492.7175945222366,2040.9899500821625,1005.5140939811155,778.4491348166408
626,783674185,2023-01-01,ICN,FRA,LH8409,8546.290590793822,10237.253319677446,43.749671,43.61647377076876,1.1978592596307398,1.1978592596307398,0.996955469008413,0.3128599502405236,,,,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,,,,,,,,,,,,2491.0624676468333,2039.6357553659236,1004.8529836439516,777.9389607655577
648,783802279,2023-01-02,ICN,FRA,LH8441,8546.290590793822,10253.85769174598,43.749671,43.44324851871772,1.1998021343659404,1.1998021343659404,0.9929960049006477,0.31920413547525534,1.1978592596307398,1.1978592596307398,0.996955469008413,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2491.0624676468333,2039.6357553659236,1004.8529836439516,777.9389607655577,1.1978592596307398,1.1978592596307398,0.996955469008413,2491.0624676468333,2039.6357553659236,1004.8529836439516,777.9389607655577,2495.062773255203,2042.9087326818621,1006.4508329863855,779.1720095113193
649,783803054,2023-01-02,ICN,FRA,LH713,8546.290590793822,10211.876903702963,43.749671,43.5349087463421,1.1948899695387534,1.1948899695387534,0.9950911115729784,0.3031641494676169,1.19883069699834,1.19883069699834,0.9949757369545303,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2493.062620451018,2041.2722440238927,1005.6519083151685,778.5554851384385,1.19883069699834,1.19883069699834,0.9949757369545303,2493.062620451018,2041.2722440238927,1005.6519083151685,778.5554851384385,2484.9488116335842,2034.6336731732652,1002.4109949068413,776.0544957728374
646,783782715,2023-01-02,ICN,FRA,OZ541,8546.290590793822,10303.357388137763,43.749671,43.35985195971539,1.2055940853727436,1.2055940853727436,0.9910897835029524,0.33811693998700026,1.2015604128417685,1.2015604128417685,0.9918542415323972,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2498.6830021461838,2045.8707381381193,1007.8968675945445,780.2879039279995,1.2015604128417685,1.2015604128417685,0.9918542415323972,2498.6830021461838,2045.8707381381193,1007.8968675945445,780.2879039279995,2506.988181350812,2052.6658847600875,1011.2142204245748,782.8478810407897
678,783971898,2023-01-03,ICN,FRA,LH8441,8546.290590793822,10228.642449350453,43.749671,43.68620623200801,1.1968517031668546,1.1968517031668546,0.9985493658228428,0.30956991577482873,1.1975171211784779,1.1975171211784779,0.9950141951606796,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2490.3580175118736,2039.0593870736836,1004.5716038457261,777.7218220165715,1.1975171211784779,1.1975171211784779,0.9950141951606796,2490.3580175118736,2039.0593870736836,1004.5716038457261,777.7218220165715,2488.9879469892717,2037.9384202824638,1004.024354085846,777.2995133469626
677,783955108,2023-01-03,ICN,FRA,KE945,8546.290590793822,10220.18314081467,43.749671,43.52933528369082,1.1958618809222317,1.1958618809222317,0.9949637171829434,0.3063377899174194,1.1992942485403708,1.1992942485403708,0.9944145686013018,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2494.017055546476,2042.0531454656311,1006.0331400606838,778.8496789107601,1.1992942485403708,1.1992942485403708,0.9944145686013018,2494.017055546476,2042.0531454656311,1006.0331400606838,778.8496789107601,2486.9499404185362,2036.2709603609533,1003.2103094158307,776.6713209806992
667,783951131,2023-01-03,ICN,FRA,OZ541,8546.290590793822,10340.038269815228,43.749671,43.456684862063305,1.2098861090627615,1.2098861090627615,0.993303123629508,0.35213194199819414,1.203577249107256,1.203577249107256,0.9914720125176748,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2502.835591748498,2049.2683114491033,1009.5555440095596,781.5678924843946,1.203577249107256,1.203577249107256,0.9914720125176748,2502.835591748498,2049.2683114491033,1009.5555440095596,781.5678924843946,2515.8252958221474,2059.8962511457253,1014.7440451253411,785.5718211548235
666,783948248,2023-01-03,ICN,FRA,KE517,8546.290590793822,10266.470965928982,43.749671,43.57360574121661,1.2012780114203183,1.2012780114203183,0.995975620964478,0.32402340521355943,1.1983023671003972,1.1983023671003972,0.9936340424197136,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2491.974809170384,2040.3822166124648,1005.2174018775062,778.2201796726748,1.1983023671003972,1.1983023671003972,0.9936340424197136,2491.974809170384,2040.3822166124648,1005.2174018775062,778.2201796726748,2498.1015482986604,2045.3950031719637,1007.6646164270393,780.1086773869305
683,784119680,2023-01-04,ICN,FRA,OZ541,8546.290590793822,10278.425032156769,43.749671,43.43912323611975,1.2026767546646289,1.2026767546646289,0.9929017120178972,0.3285908053021812,1.2056802024257578,1.2056802024257578,0.9920823828882859,2083.6777342780374,1706.3209735187268,842.1305588949382,652.3672460765964,2507.165493106381,2052.810958014644,1011.2850443814867,782.9025353745376,1.2056802024257578,1.2056802024257578,0.9920823828882859,2507.165493106381,2052.810958014644,1011.2850443814867,782.9025353745376,2500.9815077440676,2047.751333627297,1008.8149638646082,780.9963921591655
