,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
57,783713904,2023-01-01,NRT,HEL,AY74,7831.487310198503,12345.536242887172,48.0415325,63.70802293475274,1.5763974011437494,1.5763974011437494,1.326103053326884,0.19989960992149672,,,,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,,,,,,,,,,,,3001.6131611330634,2457.135269302668,1208.0439996807881,934.4589945596051
67,784560092,2023-01-06,NRT,HEL,AY74,7831.487310198503,12358.363773838006,48.0415325,63.33736232496083,1.578035344288231,1.578035344288231,1.3183876331372406,0.20552751073370124,1.5763974011437494,1.5763974011437494,1.326103053326884,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3001.6131611330634,2457.135269302668,1208.0439996807881,934.4589945596051,1.5763974011437494,1.5763974011437494,1.326103053326884,3001.6131611330634,2457.135269302668,1208.0439996807881,934.4589945596051,3004.7075616953366,2459.667051580892,1209.2800017235597,935.4128083692832
72,784918234,2023-01-08,NRT,HEL,AY74,7831.487310198503,12347.135372065408,48.0415325,63.40538333667266,1.5766015934146291,1.5766015934146291,1.3198035124435854,0.20060120560935804,1.57721637271599,1.57721637271599,1.3222453432320624,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3003.1603614142,2458.4011604417797,1208.6620007021738,934.9359014644441,1.57721637271599,1.57721637271599,1.3222453432320624,3003.1603614142,2458.4011604417797,1208.6620007021738,934.9359014644441,3001.998920968471,2457.4508909861834,1208.1980844332265,934.5779006452351
1,785841450,2023-01-13,NRT,HEL,AY74,7831.487310198503,12533.981736945569,48.0415325,63.34279020189426,1.6004599433651985,1.6004599433651985,1.318500616146961,0.2825774497281211,,,,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,,,,,,,,,,,,3047.072092006606,2494.328940017385,1226.2017430922087,948.4711934226148
6,786178779,2023-01-15,NRT,HEL,AY74,7831.487310198503,12340.683917621203,48.0415325,64.19028342964681,1.5757778093505468,1.5757778093505468,1.3361414611335891,0.19777071969234064,1.6004599433651985,1.6004599433651985,1.318500616146961,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3047.072092006606,2494.328940017385,1226.2017430922087,948.4711934226148,1.6004599433651985,1.6004599433651985,1.318500616146961,3047.072092006606,2494.328940017385,1226.2017430922087,948.4711934226148,3000.442628932525,2456.1775611385915,1207.5764518756869,934.0981913102917
17,787095736,2023-01-20,NRT,HEL,AY74,7831.487310198503,12775.032497538265,48.0415325,63.06674364238787,1.6312396345074915,1.6312396345074915,1.3127546179420455,0.38833511864522463,1.5881188763578726,1.5881188763578726,1.327321038640275,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3023.757360469566,2475.253250577988,1216.8890974839478,941.2846923664532,1.5881188763578726,1.5881188763578726,1.327321038640275,3023.757360469566,2475.253250577988,1216.8890974839478,941.2846923664532,3105.2210539520834,2541.905363427321,1249.4282886874762,966.3949501586497
22,787445237,2023-01-22,NRT,HEL,AY74,7831.487310198503,12308.380894361737,48.0415325,64.20488936906861,1.5716530470953107,1.5716530470953107,1.3364454884753856,0.1835982174753961,1.6024924624077457,1.6024924624077457,1.3224655650741985,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3050.9119249637383,2497.4706215277656,1227.7354945517907,949.6547782971854,1.6024924624077457,1.6024924624077457,1.3224655650741985,3050.9119249637383,2497.4706215277656,1227.7354945517907,949.6547782971854,2992.6501321753276,2449.8018819736117,1204.4638807277836,931.6962427359849
30,788344991,2023-01-27,NRT,HEL,AY74,7831.487310198503,12779.0434700851,48.0415325,64.01516672378324,1.631751794252884,1.631751794252884,1.3324963503981315,0.3900948770695533,1.5947826085796368,1.5947826085796368,1.3259605459244952,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3036.3464767666355,2485.553436639227,1221.9175910957888,945.1651444068852,1.5928901636511164,1.5928901636511164,1.3284471891836733,3032.7712716866454,2482.628268846508,1220.4895404303156,944.0631280683087,3106.1886256345656,2542.6970129857154,1249.8147676038313,966.6931931346421
35,788718756,2023-01-29,NRT,HEL,AY74,7831.487310198503,12654.453904677055,48.0415325,63.66909190540103,1.615842994241704,1.615842994241704,1.3252926913894976,0.335432937913867,1.6021764457142864,1.6021764457142864,1.3272677068192225,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3050.3149065402217,2496.982151908525,1227.4970263973973,949.4707541524367,1.611548158618562,1.611548158618562,1.3272321522718542,3068.0199372539923,2511.4680861288825,1234.5689790063636,954.9281286764256,3076.1337364489755,2518.1066491065963,1237.809888571178,957.4291150760155
43,789626548,2023-02-03,NRT,HEL,AY74,7831.487310198503,12888.94559702796,48.0415325,63.65371135595172,1.6457851601500286,1.6457851601500286,1.3249725402900443,0.438312906856847,1.6044542038021892,1.6044542038021892,1.326938537580935,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3054.618044858347,2500.5029014415363,1229.215836759694,950.7971476396997,1.6064159451966329,1.6064159451966329,1.3314115100876716,3058.324164752956,2503.5351813553075,1230.6961789675975,951.9395169822142,3132.7004465540017,2564.3885028288905,1260.4044324369925,974.865160662366
48,789989364,2023-02-05,NRT,HEL,AY74,7831.487310198503,12831.497918229872,48.0415325,63.45999708811424,1.6384496852239214,1.6384496852239214,1.320940315301437,0.41310853670905856,1.6103586261375948,1.6103586261375948,1.3266576808250934,1912.6837631857964,1566.1930346185404,773.0909503870785,598.808881840064,3065.772673672012,2509.6294159254444,1233.6713504278796,954.2354352143664,1.6311266495482055,1.6311266495482055,1.327587194025891,3105.007602879181,2541.7307216404006,1249.343029537334,966.3291562910078,3118.842274606847,2553.049998508491,1254.869037619464,970.5935366388823
