,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
252,783735611,2023-01-01,SIN,ZRH,SQ346,10308.666419056575,10715.324639158922,24.404123,26.685192581614835,1.0394481888899418,1.0394481888899418,1.093470664019143,0.06134652372160719,,,,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,,,,,,,,,,,,2607.504452518365,2135.458210532295,1053.186084458129,815.9300787119911
251,783730643,2023-01-01,SIN,ZRH,LX177,10308.666419056575,10660.057896845532,24.404123,27.272320968895485,1.034086996659371,1.034086996659371,1.1175292375348005,-0.061482588690394614,,,,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,,,,,,,,,,,,2594.1987783890004,2124.5717498809972,1047.8713748485022,811.8287558624568
263,783895933,2023-01-02,SIN,ZRH,SQ346,10308.666419056575,10848.614887049864,24.404123,26.368310844575426,1.0523781104212606,1.0523781104212606,1.0804859016886377,0.3575811515703622,1.0394481888899418,1.0394481888899418,1.093470664019143,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2607.504452518365,2135.458210532295,1053.186084458129,815.9300787119911,1.0394481888899418,1.0394481888899418,1.093470664019143,2607.504452518365,2135.458210532295,1053.186084458129,815.9300787119911,2639.5945763219775,2161.713766371615,1066.0039009546856,825.8214947139569
262,783887162,2023-01-02,SIN,ZRH,LX177,10308.666419056575,10610.75882115142,24.404123,27.065791132522502,1.0293047024527242,1.0293047024527242,1.1090663300017995,-0.17104869403279097,1.034086996659371,1.034086996659371,1.1175292375348005,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2594.1987783890004,2124.5717498809972,1047.8713748485022,811.8287558624568,1.034086996659371,1.034086996659371,1.1175292375348005,2594.1987783890004,2124.5717498809972,1047.8713748485022,811.8287558624568,2582.3298422330554,2114.860802117042,1043.1305440998492,808.1702911666614
269,784059536,2023-01-03,SIN,ZRH,LX177,10308.666419056575,10637.732859450583,24.404123,27.09693383133513,1.0319213394843874,1.0319213394843874,1.110342454483414,-0.1110994905196512,1.0316958495560478,1.0316958495560478,1.1132977837683,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2588.264310311028,2119.71627599902,1045.500959474176,809.9995235145592,1.0316958495560478,1.0316958495560478,1.1132977837683,2588.264310311028,2119.71627599902,1045.500959474176,809.9995235145592,2588.82394245569,2120.1741568446528,1045.7244943592314,810.172023763695
270,784069451,2023-01-03,SIN,ZRH,SQ346,10308.666419056575,10739.385302963668,24.404123,26.80652558850335,1.041782211820422,1.041782211820422,1.0984424881198702,0.11482081685837832,1.0459131496556013,1.0459131496556013,1.0869782828538903,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2623.5495144201714,2148.585988451955,1059.5949927064075,820.875786712974,1.0459131496556013,1.0459131496556013,1.0869782828538903,2623.5495144201714,2148.585988451955,1059.5949927064075,820.875786712974,2613.297146976576,2140.197687816287,1055.4998709377442,817.7156109526615
278,784235293,2023-01-04,SIN,ZRH,SQ346,10308.666419056575,10730.108077156963,24.404123,26.924116141406707,1.04088226749886,1.04088226749886,1.1032609588718558,0.09420238769492742,1.0445361703772083,1.0445361703772083,1.090799684609217,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2620.1320586056395,2145.7898882400655,1058.229952116853,819.8223947928698,1.0445361703772083,1.0445361703772083,1.090799684609217,2620.1320586056395,2145.7898882400655,1058.229952116853,819.8223947928698,2611.0636202977535,2138.37025689725,1054.6077293154644,817.0271517348993
288,784398648,2023-01-05,SIN,ZRH,LX177,10308.666419056575,10681.557717796952,24.404123,27.351984946191504,1.036172603087733,1.036172603087733,1.1207936030395973,-0.013699712154897532,1.0317710128654942,1.0317710128654942,1.1123126740066713,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2588.4508543592488,2119.868902947564,1045.5754711025274,810.0570235976045,1.0317710128654942,1.0317710128654942,1.1123126740066713,2588.4508543592488,2119.868902947564,1045.5754711025274,810.0570235976045,2599.3749403888723,2128.806791517256,1049.9388986473148,813.4242489788948
289,784411623,2023-01-05,SIN,ZRH,SQ346,10308.666419056575,10733.536337194711,24.404123,26.905077634742067,1.0412148284624598,1.0412148284624598,1.102480824028877,0.1018216198032063,1.0436226946576213,1.0436226946576213,1.0939150031748768,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2617.8649490286684,2143.934980404362,1057.324396416506,819.1235840283772,1.0436226946576213,1.0436226946576213,1.0939150031748768,2617.8649490286684,2143.934980404362,1057.324396416506,819.1235840283772,2611.888986675138,2139.045556660564,1054.9374069082492,817.2815615415645
299,784597935,2023-01-06,SIN,ZRH,SQ346,10308.666419056575,10776.025256585272,24.404123,27.365590846883617,1.045336498294749,1.045336498294749,1.1213511277124617,0.1962523033867252,1.0431411214185888,1.0431411214185888,1.095628167345677,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2616.669756557962,2142.957095655602,1056.8469985148545,818.7551795310146,1.0431411214185888,1.0431411214185888,1.095628167345677,2616.669756557962,2142.957095655602,1056.8469985148545,818.7551795310146,2622.118352327157,2147.41503764858,1059.0233410294818,820.4346472610081
