flight_id,date,origin,destination,airline_code,GCD,actual_distance,TIM,TIM_actual_distance
785445754,20230111,FRA,ICN,OZ796,8546.290590793822,10159.344491875843,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2983.511715671311, 2386.8093725370486, 895.0535147013932, 596.7023431342622]"
785492939,20230111,FRA,ICN,OZ542,8546.290590793822,10181.149720638423,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2989.5990167068467, 2391.679213365477, 896.8797050120538, 597.9198033413693]"
785604325,20230112,FRA,ICN,LH8406,8546.290590793822,10143.56736697743,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2979.107262511128, 2383.285810008902, 893.7321787533383, 595.8214525022255]"
785635854,20230112,FRA,ICN,OZ776,8546.290590793822,10187.242487822994,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2991.300778333279, 2393.040622666623, 897.3902334999838, 598.2601556666558]"
785681689,20230112,FRA,ICN,OZ542,8546.290590793822,10163.143805586742,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2984.5723588105557, 2387.6578870484445, 895.3717076431667, 596.9144717621111]"
785701594,20230112,FRA,ICN,KE946,8546.290590793822,10212.931169593665,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2998.4900310428106, 2398.7920248342484, 899.5470093128432, 599.6980062085621]"
785702092,20230112,FRA,ICN,KE538,8546.290590793822,10213.638165133907,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2998.687891316402, 2398.950313053121, 899.6063673949204, 599.7375782632803]"
792571828,20230218,FRA,ICN,OZ5423,8546.290590793822,10289.411188812106,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[3019.8937834930052, 2415.915026794404, 905.9681350479016, 603.978756698601]"
792582305,20230218,FRA,ICN,LH8408,8546.290590793822,10585.933080921972,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[3102.878610636621, 2482.3028885092967, 930.8635831909862, 620.5757221273242]"
792597601,20230218,FRA,ICN,OZ796,8546.290590793822,10233.727743115507,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[3004.31017486629, 2403.448139893032, 901.293052459887, 600.862034973258]"
792631380,20230218,FRA,ICN,OZ542,8546.290590793822,10194.438527403314,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2993.314667076678, 2394.6517336613424, 897.9944001230034, 598.6629334153356]"
792648733,20230218,FRA,ICN,KE530,8546.290590793822,10515.538932935493,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[3083.1780544280577, 2466.542443542446, 924.9534163284172, 616.6356108856115]"
799970700,20230328,FRA,ICN,LH8390,8546.290590793822,10240.436002634147,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[3006.18755313549, 2404.9500425083916, 901.856265940647, 601.2375106270979]"
799992457,20230328,FRA,ICN,OZ794,8546.290590793822,10213.80399758193,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2998.734301302983, 2398.9874410423863, 899.6202903908949, 599.7468602605966]"
799994865,20230328,FRA,ICN,OZ5423,8546.290590793822,10233.224384738141,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[3004.1693046336077, 2403.335443706886, 901.2507913900822, 600.8338609267215]"
807655683,20230503,FRA,ICN,OZ542,8546.290590793822,10097.306084235935,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2966.192637427224, 2372.9541099417793, 889.8577912281672, 593.2385274854448]"
785841286,20230113,FRA,ICN,LH712,8546.290590793822,10303.644114207438,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[3023.877020094106, 2419.1016160752843, 907.1631060282316, 604.7754040188211]"
785842389,20230113,FRA,ICN,OZ794,8546.290590793822,10165.558056771486,"[2501.0926277526805, 2000.8741022021443, 750.3277883258041, 500.21852555053607]","[2985.2463381527095, 2388.1970705221675, 895.5739014458128, 597.0492676305419]"
