flight_id,date,origin,destination,airline_code,GCD,actual_distance,TIM,TIM_actual_distance
785673950,20230112,HEL,NRT,AY73,7831.487310198503,12662.985382172057,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3734.109458381572, 2987.287566705257, 1120.2328375144714, 746.8218916763143]"
792629138,20230218,HEL,NRT,AY73,7831.487310198503,12111.44043518612,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3580.1376466621, 2864.1101173296797, 1074.04129399863, 716.0275293324199]"
800039987,20230328,HEL,NRT,AY73,7831.487310198503,12739.065990907779,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3755.348469323064, 3004.278775458451, 1126.6045407969193, 751.0696938646128]"
807872447,20230504,HEL,NRT,AY73,7831.487310198503,12672.566512029955,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3736.784170443755, 2989.427336355004, 1121.0352511331264, 747.356834088751]"
786034319,20230114,HEL,NRT,AY73,7831.487310198503,12659.166606248027,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3733.0433914167897, 2986.4347131334316, 1119.913017425037, 746.6086782833579]"
800477894,20230330,HEL,NRT,AY73,7831.487310198503,12700.25466767328,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3744.5137226966967, 2995.6109781573573, 1123.354116809009, 748.9027445393393]"
814752794,20230603,HEL,NRT,AY73,7831.487310198503,12663.82011083342,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3734.342485055075, 2987.47398804406, 1120.3027455165225, 746.868497011015]"
808331390,20230506,HEL,NRT,AY73,7831.487310198503,12747.304063233532,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3757.6482472976504, 3006.1185978381204, 1127.2944741892952, 751.5296494595301]"
793583249,20230223,HEL,NRT,AY73,7831.487310198503,12772.049384289645,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3764.5562643784165, 3011.6450115027333, 1129.3668793135248, 752.9112528756833]"
815192767,20230605,HEL,NRT,AY73,7831.487310198503,12659.667170335983,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3733.1831311785722, 2986.5465049428576, 1119.9549393535715, 746.6366262357144]"
801244003,20230403,HEL,NRT,AY73,7831.487310198503,12704.969610854072,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3745.8299678144667, 2996.6639742515736, 1123.7489903443402, 749.1659935628934]"
786923790,20230119,HEL,NRT,AY73,7831.487310198503,12065.405892021472,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3567.2864329006948, 2853.8291463205555, 1070.1859298702084, 713.4572865801389]"
815423032,20230606,HEL,NRT,AY73,7831.487310198503,12683.912738616733,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3739.9516349872943, 2991.9613079898354, 1121.9854904961883, 747.9903269974589]"
808958717,20230509,HEL,NRT,AY73,7831.487310198503,12843.468694552977,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3784.494005904459, 3027.595204723567, 1135.3482017713375, 756.8988011808917]"
801451030,20230404,HEL,NRT,AY73,7831.487310198503,2912.6891081244244,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[920.393809431118, 736.3150475448945, 276.1181428293354, 184.07876188622362]"
793969008,20230225,HEL,NRT,AY73,7831.487310198503,12083.20054322629,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3572.254069173848, 2857.803255339078, 1071.6762207521544, 714.4508138347695]"
787311075,20230121,HEL,NRT,AY73,7831.487310198503,12691.884993474976,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3742.1772061410525, 2993.741764912842, 1122.6531618423157, 748.4354412282105]"
801871806,20230406,HEL,NRT,AY73,7831.487310198503,2929.885370533427,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[925.2266038267713, 740.181283061417, 277.5679811480314, 185.04532076535426]"
