flight_id,date,origin,destination,airline_code,GCD,actual_distance,TIM,TIM_actual_distance
785515982,20230111,LHR,ICN,KE908,8863.736032710949,10933.811563463456,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3200.236129622072, 2560.188903697658, 960.0708388866217, 640.0472259244145]"
785530349,20230111,LHR,ICN,OZ522,8863.736032710949,10811.491463010761,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3166.0035395086393, 2532.8028316069117, 949.8010618525918, 633.2007079017279]"
785535196,20230111,LHR,ICN,KE540,8863.736032710949,10834.400537255366,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3172.4148892834637, 2537.9319114267705, 951.724466785039, 634.4829778566926]"
792459983,20230217,LHR,ICN,KE908,8863.736032710949,10876.063852561543,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3184.0748142701545, 2547.2598514161236, 955.2224442810464, 636.8149628540309]"
792474045,20230217,LHR,ICN,OZ522,8863.736032710949,11052.098170243731,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3233.339903334095, 2586.6719226672762, 970.0019710002287, 646.6679806668191]"
785702629,20230112,LHR,ICN,KE908,8863.736032710949,10835.520544543037,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3172.7283353177704, 2538.182668254216, 951.818500595331, 634.545667063554]"
807650688,20230503,LHR,ICN,KE908,8863.736032710949,10869.242439217229,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3182.1657686910066, 2545.7326149528053, 954.649730607302, 636.4331537382013]"
807676163,20230503,LHR,ICN,KE540,8863.736032710949,10810.233164073494,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3165.651391075143, 2532.521112860114, 949.6954173225427, 633.1302782150285]"
807692905,20230503,LHR,ICN,OZ522,8863.736032710949,10770.550952846084,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3154.5458992817644, 2523.6367194254112, 946.3637697845293, 630.9091798563528]"
785887813,20230113,LHR,ICN,KE908,8863.736032710949,10790.389633503684,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3160.0979665285176, 2528.0783732228138, 948.0293899585552, 632.0195933057034]"
785901823,20230113,LHR,ICN,OZ522,8863.736032710949,10830.595163323855,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3171.349914634622, 2537.0799317076976, 951.4049743903865, 634.2699829269244]"
800085169,20230328,LHR,ICN,KE908,8863.736032710949,10820.525322298836,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3168.531761779604, 2534.825409423683, 950.5595285338812, 633.7063523559208]"
800085400,20230328,LHR,ICN,OZ522,8863.736032710949,10813.505958805237,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3166.567317731207, 2533.2538541849653, 949.970195319362, 633.3134635462413]"
792848309,20230219,LHR,ICN,KE908,8863.736032710949,10823.23522442812,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3169.290156912505, 2535.4321255300038, 950.7870470737514, 633.8580313825009]"
807921802,20230504,LHR,ICN,KE908,8863.736032710949,10831.864559371352,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3171.705168713263, 2537.3641349706104, 951.5115506139788, 634.3410337426526]"
807934449,20230504,LHR,ICN,OZ522,8863.736032710949,10825.933833018047,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3170.045391427467, 2536.036313141974, 951.0136174282402, 634.0090782854935]"
786061901,20230114,LHR,ICN,KE908,8863.736032710949,10859.90153559273,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3179.5516167741653, 2543.641293419332, 953.8654850322497, 635.910323354833]"
786073209,20230114,LHR,ICN,OZ522,8863.736032710949,10842.501130848854,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3174.681927154877, 2539.745541723901, 952.404578146463, 634.9363854309753]"
793045878,20230220,LHR,ICN,KE908,8863.736032710949,10834.411341302726,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3172.417912911824, 2537.934330329459, 951.7253738735473, 634.4835825823648]"
793056340,20230220,LHR,ICN,OZ522,8863.736032710949,10840.27203192792,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3174.058089949052, 2539.2464719592417, 952.2174269847155, 634.8116179898104]"
800522082,20230330,LHR,ICN,KE908,8863.736032710949,10993.908611872665,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3217.054932235917, 2573.6439457887336, 965.1164796707751, 643.4109864471834]"
800537205,20230330,LHR,ICN,OZ522,8863.736032710949,10794.273794552046,"[2603.9938348198566, 2083.1950678558856, 781.198150445957, 520.7987669639714]","[3161.184990595789, 2528.9479924766306, 948.3554971787365, 632.2369981191576]"
