flight_id,date,origin,destination,airline_code,GCD,actual_distance,TIM,TIM_actual_distance
792411955,20230217,LHR,PVG,MU552,9244.034182063435,9489.361141141857,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[2796.474450934467, 2237.1795607475733, 838.94233528034, 559.2948901868933]"
807690313,20230503,LHR,PVG,CA850,9244.034182063435,9598.815752768054,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[2827.030570200669, 2261.6244561605354, 848.1091710602008, 565.4061140401338]"
785850826,20230113,LHR,PVG,MU552,9244.034182063435,9527.371678615318,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[2807.0857399350443, 2245.6685919480356, 842.1257219805132, 561.4171479870089]"
792786040,20230219,LHR,PVG,MU7552,9244.034182063435,9566.351930478571,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[2817.9677412254778, 2254.3741929803823, 845.3903223676433, 563.5935482450956]"
807825769,20230504,LHR,PVG,BA169,9244.034182063435,10989.236039489891,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[3215.747262813125, 2572.5978102505, 964.7241788439376, 643.149452562625]"
807872290,20230504,LHR,PVG,VS250,9244.034182063435,10978.3513809265,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[3212.701074543608, 2570.160859634886, 963.8103223630822, 642.5402149087215]"
807949616,20230504,LHR,PVG,MU552,9244.034182063435,9497.711296145257,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[2798.8055389387487, 2239.0444311509987, 839.6416616816244, 559.7611077877497]"
807955982,20230504,LHR,PVG,CA850,9244.034182063435,9565.777559564629,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[2817.807395801117, 2254.245916640893, 845.3422187403349, 563.5614791602233]"
786076064,20230114,LHR,PVG,CA850,9244.034182063435,9562.660086001106,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[2816.937099953359, 2253.549679962687, 845.0811299860077, 563.3874199906718]"
792973789,20230220,LHR,PVG,MU7552,9244.034182063435,9543.660548185722,"[2727.268997876065, 2181.815198300852, 818.1806993628195, 545.453799575213]","[2811.6330553373837, 2249.306444269907, 843.4899166012152, 562.3266110674767]"
