flight_id,date,origin,destination,airline_code,GCD,actual_distance,TIM,TIM_actual_distance
792405611,20230217,NRT,HEL,AY74,7831.487310198503,12328.315830195146,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3640.6815745312592, 2912.545259625007, 1092.2044723593776, 728.1363149062518]"
785841450,20230113,NRT,HEL,AY74,7831.487310198503,12533.981736945567,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3698.096210354398, 2958.4769682835185, 1109.4288631063193, 739.6192420708796]"
800031189,20230328,NRT,HEL,AY74,7831.487310198503,12416.072649337651,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3665.1801698097584, 2932.1441358478064, 1099.5540509429275, 733.0360339619516]"
792793082,20230219,NRT,HEL,AY74,7831.487310198503,12363.409746355595,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3650.478552784953, 2920.3828422279626, 1095.1435658354858, 730.0957105569906]"
808097532,20230505,NRT,HEL,AY74,7831.487310198503,11892.964048476479,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3511.154889117277, 2808.9239112938217, 1053.3464667351832, 702.2309778234554]"
786178779,20230115,NRT,HEL,AY74,7831.487310198503,12340.683917621203,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3644.1343064235584, 2915.3074451388466, 1093.2402919270673, 728.8268612847116]"
800681403,20230331,NRT,HEL,AY74,7831.487310198503,12325.919955215259,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3640.0127311063984, 2912.0101848851186, 1092.0038193319197, 728.0025462212797]"
814967039,20230604,NRT,HEL,AY74,7831.487310198503,12505.444363772014,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3690.129586649008, 2952.1036693192063, 1107.0388759947023, 738.0259173298016]"
808520122,20230507,NRT,HEL,AY74,7831.487310198503,11863.164739765707,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3501.1939518550303, 2800.955161484024, 1050.358185556509, 700.238790371006]"
793756083,20230224,NRT,HEL,AY74,7831.487310198503,12320.474466299745,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3638.4925434977517, 2910.7940347982017, 1091.5477630493256, 727.6985086995504]"
815414723,20230606,NRT,HEL,AY74,7831.487310198503,12764.48350222577,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[3762.4441381138276, 3009.9553104910624, 1128.7332414341483, 752.4888276227656]"
