flight_id,date,origin,destination,airline_code,GCD,actual_distance,TIM,TIM_actual_distance
785502678,20230111,SIN,ZRH,SQ346,10308.666419056577,10722.540669568534,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3141.109707334671, 2512.887765867737, 942.3329122004013, 628.2219414669343]"
792433190,20230217,SIN,ZRH,LX177,10308.666419056577,10607.159651584107,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3108.819093764916, 2487.0552750119327, 932.6457281294748, 621.7638187529832]"
792445390,20230217,SIN,ZRH,SQ346,10308.666419056577,10727.758958858787,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3142.5701014784418, 2514.056081182753, 942.7710304435325, 628.5140202956883]"
785679623,20230112,SIN,ZRH,LX177,10308.666419056577,10858.943742918702,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3179.283568236744, 2543.426854589395, 953.7850704710231, 635.8567136473488]"
785692137,20230112,SIN,ZRH,SQ346,10308.666419056577,10769.57206703778,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3154.271947604816, 2523.4175580838532, 946.2815842814449, 630.8543895209633]"
792638209,20230218,SIN,ZRH,LX177,10308.666419056577,10602.706932795783,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3107.5729527250796, 2486.058362180064, 932.271885817524, 621.514590545016]"
792645867,20230218,SIN,ZRH,SQ346,10308.666419056577,10733.91926308263,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3144.2941285899988, 2515.4353028719993, 943.2882385769997, 628.8588257179998]"
807668552,20230503,SIN,ZRH,SQ346,10308.666419056577,10623.790502058351,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3113.473415380216, 2490.778732304173, 934.042024614065, 622.6946830760432]"
785870399,20230113,SIN,ZRH,LX177,10308.666419056577,10624.238296848329,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3113.598735547903, 2490.8789884383227, 934.079620664371, 622.7197471095807]"
785879123,20230113,SIN,ZRH,SQ346,10308.666419056577,10737.069551037643,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3145.175770412595, 2516.1406163300758, 943.5527311237784, 629.0351540825189]"
