flight_id,date,origin,destination,airline_code,GCD,actual_distance,TIM,TIM_actual_distance
785435641,20230111,ZRH,SIN,SQ345,10308.666419056577,10690.974364319884,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3132.2755387477146, 2505.8204309981716, 939.6826616243144, 626.4551077495429]"
792370761,20230217,ZRH,SIN,SQ345,10308.666419056577,10734.63490180001,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3144.494407749276, 2515.595526199421, 943.3483223247829, 628.8988815498552]"
785625644,20230112,ZRH,SIN,SQ345,10308.666419056577,10761.235609704643,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3151.938900739851, 2521.5511205918806, 945.5816702219552, 630.3877801479701]"
792489339,20230217,ZRH,SIN,LX176,10308.666419056577,10756.594772988437,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3150.640112883224, 2520.5120903065795, 945.1920338649674, 630.1280225766449]"
785732116,20230112,ZRH,SIN,LX176,10308.666419056577,10688.45390073153,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3131.570160019308, 2505.2561280154464, 939.4710480057923, 626.3140320038616]"
799992562,20230328,ZRH,SIN,SQ345,10308.666419056577,10697.513863242199,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3134.10568755667, 2507.284550045336, 940.231706267001, 626.821137511334]"
807706487,20230503,ZRH,SIN,LX176,10308.666419056577,10616.435766099221,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3111.415113755629, 2489.1320910045033, 933.4245341266889, 622.2830227511258]"
785917102,20230113,ZRH,SIN,LX176,10308.666419056577,11022.450534486677,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3225.042694952583, 2580.0341559620665, 967.5128084857749, 645.0085389905166]"
792761503,20230219,ZRH,SIN,SQ345,10308.666419056577,10755.429356006454,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3150.313958459644, 2520.251166767715, 945.0941875378933, 630.0627916919287]"
800110676,20230328,ZRH,SIN,LX176,10308.666419056577,10651.474877789013,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3121.2211844175754, 2496.9769475340604, 936.3663553252726, 624.2442368835151]"
807811979,20230504,ZRH,SIN,SQ345,10308.666419056577,10660.320094414345,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3123.6966130190795, 2498.9572904152633, 937.1089839057239, 624.7393226038158]"
785990884,20230114,ZRH,SIN,SQ345,10308.666419056577,10677.757790355265,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3128.576738979236, 2502.8613911833886, 938.5730216937708, 625.7153477958472]"
807947987,20230504,ZRH,SIN,LX176,10308.666419056577,10785.612254955002,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3158.7609659777613, 2527.0087727822092, 947.6282897933285, 631.7521931955523]"
786089502,20230114,ZRH,SIN,LX176,10308.666419056577,10789.412336172916,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3159.824459404019, 2527.859567523215, 947.9473378212057, 631.9648918808037]"
800425945,20230330,ZRH,SIN,SQ345,10308.666419056577,10720.732359129852,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3140.6036322920886, 2512.482905833671, 942.1810896876267, 628.1207264584177]"
792951181,20230220,ZRH,SIN,SQ345,10308.666419056577,10712.826669311904,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3138.391140329605, 2510.7129122636843, 941.5173420988815, 627.6782280659211]"
808051932,20230505,ZRH,SIN,SQ345,10308.666419056577,10642.184628278575,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3118.621208597041, 2494.896966877633, 935.5863625791123, 623.7242417194083]"
814589161,20230602,ZRH,SIN,LX176,10308.666419056577,10689.442941040637,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3131.8469535420577, 2505.4775628336456, 939.5540860626172, 626.3693907084114]"
793069769,20230220,ZRH,SIN,LX176,10308.666419056577,10647.241722183278,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3120.036490485824, 2496.029192388659, 936.010947145747, 624.0072980971647]"
800548437,20230330,ZRH,SIN,LX176,10308.666419056577,10634.691077896909,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3116.5240582696565, 2493.2192466157253, 934.957217480897, 623.3048116539313]"
808185093,20230505,ZRH,SIN,LX176,10308.666419056577,10827.718672302155,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3170.5448978160753, 2536.43591825286, 951.1634693448227, 634.108979563215]"
786250296,20230115,ZRH,SIN,LX176,10308.666419056577,10619.833079991873,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3112.3658884324263, 2489.8927107459413, 933.7097665297281, 622.4731776864853]"
814693983,20230603,ZRH,SIN,SQ345,10308.666419056577,10751.08515743632,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3149.098187965078, 2519.2785503720625, 944.7294563895235, 629.8196375930156]"
800644014,20230331,ZRH,SIN,SQ345,10308.666419056577,10794.673857416408,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3161.2969524729015, 2529.0375619783213, 948.3890857418706, 632.2593904945803]"
793151760,20230221,ZRH,SIN,SQ345,10308.666419056577,10705.932687965977,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3136.4617858180295, 2509.169428654424, 940.9385357454089, 627.292357163606]"
786318934,20230116,ZRH,SIN,SQ345,10308.666419056577,10693.419331648794,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3132.95978903938, 2506.367831231504, 939.887936711814, 626.591957807876]"
814823279,20230603,ZRH,SIN,LX176,10308.666419056577,10927.245307444693,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3198.3984925531176, 2558.7187940424938, 959.5195477659352, 639.6796985106234]"
808397878,20230506,ZRH,SIN,LX176,10308.666419056577,10711.581632365924,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3138.0427034064005, 2510.4341627251206, 941.4128110219202, 627.6085406812801]"
793345970,20230222,ZRH,SIN,SQ345,10308.666419056577,10922.089298623578,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3196.955528265636, 2557.5644226125087, 959.0866584796906, 639.3911056531272]"
814916097,20230604,ZRH,SIN,SQ345,10308.666419056577,10692.563064741818,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3132.7201535751706, 2506.1761228601363, 939.816046072551, 626.5440307150341]"
793451904,20230222,ZRH,SIN,LX176,10308.666419056577,10753.700958492878,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3149.83024790499, 2519.8641983239922, 944.9490743714971, 629.9660495809981]"
786500776,20230117,ZRH,SIN,SQ345,10308.666419056577,10724.302538461006,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3141.602785213175, 2513.2822281705403, 942.4808355639525, 628.3205570426351]"
800927977,20230401,ZRH,SIN,LX176,10308.666419056577,10749.151084715662,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3148.5569170010185, 2518.8455336008146, 944.5670751003055, 629.7113834002037]"
793528847,20230223,ZRH,SIN,SQ345,10308.666419056577,10717.100385571533,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3139.587185594738, 2511.6697484757906, 941.8761556784215, 627.9174371189476]"
808480884,20230507,ZRH,SIN,SQ345,10308.666419056577,10613.95149363136,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3110.7198634998854, 2488.5758907999084, 933.2159590499656, 622.1439726999771]"
786686327,20230118,ZRH,SIN,SQ345,10308.666419056577,10695.955933658493,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3133.6696842778374, 2506.9357474222697, 940.1009052833512, 626.7339368555674]"
793638829,20230223,ZRH,SIN,LX176,10308.666419056577,10620.34732431968,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3112.5098052149256, 2490.0078441719406, 933.7529415644777, 622.5019610429852]"
808598858,20230507,ZRH,SIN,LX176,10308.666419056577,10785.93453633373,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3158.85115987311, 2527.080927898488, 947.655347961933, 631.770231974622]"
786792949,20230118,ZRH,SIN,LX176,10308.666419056577,10777.899373065915,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3156.602433379069, 2525.2819467032555, 946.9807300137209, 631.3204866758139]"
815137150,20230605,ZRH,SIN,SQ345,10308.666419056577,10675.406269972587,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3127.918640816255, 2502.3349126530043, 938.3755922448765, 625.5837281632511]"
793721654,20230224,ZRH,SIN,SQ345,10308.666419056577,10686.950855337436,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3131.149516668726, 2504.9196133349806, 939.3448550006177, 626.2299033337451]"
801109507,20230402,ZRH,SIN,LX176,10308.666419056577,10998.775361006925,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3218.416944102172, 2574.7335552817376, 965.5250832306516, 643.6833888204344]"
815265526,20230605,ZRH,SIN,LX176,10308.666419056577,10767.698282109115,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3153.7475488250057, 2522.9980390600044, 946.1242646475016, 630.7495097650011]"
801194931,20230403,ZRH,SIN,SQ345,10308.666419056577,10586.232636581391,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3102.962444496037, 2482.369955596829, 930.888733348811, 620.5924888992073]"
793838004,20230224,ZRH,SIN,LX176,10308.666419056577,10622.440643068674,"[3025.282565893112, 2420.2260527144895, 907.5847697679335, 605.0565131786224]","[3113.0956428854793, 2490.4765143083832, 933.9286928656437, 622.6191285770958]"
